Date,FilingID,Company,Shares,Value
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,September,30,1999
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Microsoft Corporation,3347177,303128717
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Intel Corporation,2231651,165839565
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Cisco Systems, Inc.",2228508,152792080
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"MCI WorldCom, Inc.",1283954,92284194
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Dell Computer Corporation,1781207,74476718
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,QUALCOMM Incorporated,368970,69804512
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Sun Microsystems, Inc.",641303,59641179
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Nextel Communications, Inc.",770019,52216913
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Oracle Corporation,1126276,51245558
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Yahoo! Inc.,237245,42585477
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Amgen Inc.,452923,36913225
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Amazon.com, Inc.",427567,34178637
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Applied Materials, Inc.",369979,28742744
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,JDS Uniphase Corporation,248181,28246100
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Biogen, Inc.",351942,27737429
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Apple Computer, Inc.",427589,27071729
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Comcast Corporation,662348,26411126
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Xilinx, Inc.",399557,26183470
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,VERITAS Software Corporation,330190,25073803
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"BMC Software, Inc.",347143,24842421
2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"CMGI, Inc.",237829,24377472
