Date,Count,Top,BufferRule,Type,Tickers,Weights
2000-06-30,9,MSFT,True,Rebal,MSFT|INTC|CSCO|FULO|ORCL|AMGN|AMZN|AMAT|BIIB,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2000-09-30,9,MSFT,True,Rebal,MSFT|CSCO|INTC|ORCL|BIIB|AMGN|AMZN|POAI|CMCSV,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2000-12-31,9,MSFT,True,Recon,MSFT|CSCO|INTC|BIIB|ORCL|AMGN|PAYX|POAI|FULO,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2001-03-31,9,MSFT,True,Rebal,MSFT|INTC|ORCL|QCOM|FULO|OSIS|AMGN|VPER|NIU,0.300000|0.300000|0.200162|0.189838|0.002000|0.002000|0.002000|0.002000|0.002000
2001-06-30,9,MSFT,True,Rebal,MSFT|INTC|ORCL|QCOM|OSIS|VPER|FULO|VRSN|AMGN,0.300000|0.298173|0.223364|0.168463|0.002000|0.002000|0.002000|0.002000|0.002000
2001-09-30,9,MSFT,True,Rebal,MSFT|OSIS|INTC|ORCL|AMGN|QCOM|VRSN|VPER|FULO,0.243706|0.234527|0.149431|0.126338|0.119006|0.116991|0.003333|0.003333|0.003333
2001-12-31,9,INTC,True,Recon,INTC|MSFT|OSIS|ORCL|QCOM|VPER|CIEN|NIU|GOLD,0.294531|0.267769|0.233256|0.194444|0.002000|0.002000|0.002000|0.002000|0.002000
2002-03-31,9,MSFT,True,Rebal,MSFT|INTC|AMGN|CSCO|ORCL|CMCSV|AMAT|GOLD|ALGN,0.300000|0.237560|0.166243|0.157771|0.128426|0.002500|0.002500|0.002500|0.002500
2002-06-30,9,MSFT,True,Rebal,MSFT|INTC|CSCO|AMGN|ORCL|INTU|ALGN|CMCSV|GOLD,0.300000|0.203405|0.185140|0.166141|0.135315|0.002500|0.002500|0.002500|0.002500
2002-09-30,9,MSFT,True,Rebal,MSFT|AMGN|INTC|CSCO|ORCL|INTU|CMCSV|GOLD|EBAY,0.300000|0.199675|0.186881|0.167882|0.135562|0.002500|0.002500|0.002500|0.002500
2002-12-31,9,MSFT,True,Recon,MSFT|AMGN|CSCO|INTC|ORCL|INTU|EBAY|CMCSV|GOLD,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2003-03-31,9,INTC,False,Rebal,INTC|AMGN|CSCO|QCOM|ALGN|ORCL|BBBY-WT|SBUX|EBAY,0.183736|0.152760|0.144810|0.134941|0.087746|0.086640|0.071964|0.068800|0.068603
2003-06-30,12,INTC,False,Rebal,INTC|CSCO|ALGN|AMGN|QCOM|SBAC|SBAC|ORCL|BBBY-WT|EBAY|SBAC|SBAC,0.156718|0.124861|0.121813|0.116671|0.089941|0.084405|0.084405|0.063927|0.056898|0.055748|0.022307|0.022307
2003-09-30,12,INTC,False,Rebal,INTC|CSCO|ALGN|AMGN|QCOM|SBAC|SBAC|BBBY-WT|ORCL|EBAY|SBAC|SBAC,0.189422|0.133045|0.110450|0.104255|0.095402|0.080667|0.080667|0.056248|0.054687|0.052517|0.021319|0.021319
