Date,Count,Top,Type,Tickers,Weights
2000-06-30,3,MSFT,Rebal,MSFT|INTC|CSCO,0.350000|0.338308|0.311692
2000-09-30,4,MSFT,Rebal,MSFT|CSCO|INTC|ORCL,0.350000|0.286474|0.222495|0.141031
2000-12-31,3,MSFT,Recon,MSFT|CSCO|INTC,0.350000|0.350000|0.300000
2001-03-31,5,MSFT,Rebal,MSFT|INTC|ORCL|QCOM|FULO,0.327528|0.241596|0.155011|0.147016|0.128850
2001-06-30,5,MSFT,Rebal,MSFT|INTC|ORCL|QCOM|OSIS,0.350000|0.229665|0.172044|0.129758|0.118533
2001-09-30,6,MSFT,Rebal,MSFT|OSIS|INTC|ORCL|AMGN|QCOM,0.246168|0.236896|0.150941|0.127614|0.120208|0.118173
2001-12-31,4,INTC,Recon,INTC|MSFT|OSIS|ORCL,0.297506|0.270474|0.235612|0.196408
2002-03-31,6,MSFT,Rebal,MSFT|INTC|AMGN|CSCO|ORCL|CMCSV,0.350000|0.199115|0.139340|0.132239|0.107642|0.071664
2002-06-30,8,MSFT,Rebal,MSFT|INTC|CSCO|AMGN|ORCL|INTU|ALGN|CMCSV,0.350000|0.136990|0.124689|0.111893|0.091133|0.066446|0.059494|0.059356
2002-09-30,7,MSFT,Rebal,MSFT|AMGN|INTC|CSCO|ORCL|INTU|CMCSV,0.350000|0.146903|0.137490|0.123513|0.099734|0.080229|0.062131
2002-12-31,5,MSFT,Recon,MSFT|AMGN|CSCO|INTC|ORCL,0.350000|0.179692|0.162910|0.162797|0.144601
2003-03-31,17,INTC,Rebal,INTC|AMGN|CSCO|QCOM|ALGN|ORCL|BBBY-WT|SBUX|EBAY|EA|AMAT|INTU|FULO|SBAC|SBAC|SBAC|SBAC,0.134587|0.111897|0.106074|0.098845|0.064274|0.063464|0.052714|0.050397|0.050252|0.041828|0.041262|0.040834|0.040721|0.040675|0.040675|0.010750|0.010750
