Date,Ticker,Value,Name,IsMapped,Weight
2000-09-15,ALGN,22391137.832836386,Linear Technology Corporation,True,0.014639706618246116
2000-09-15,AMAT,23192420.767278865,"Applied Materials, Inc.",True,0.01516359902451957
2000-09-15,AMGN,35533911.46257602,Amgen Inc.,True,0.023232675476097
2000-09-15,AMZN,41061429.08020122,"Amazon.com, Inc.",True,0.026846660475579678
2000-09-15,ATHM,20284357.965167955,At Home Corporation,True,0.013262258120445224
2000-09-15,BIIB,34608981.51230353,"Biogen, Inc.",True,0.022627940548577558
2000-09-15,"BMC Software, Inc.",24277434.79452189,"BMC Software, Inc.",False,0.01587299964337626
2000-09-15,CAPC,21505913.302422907,"Costco Companies, Inc",True,0.014060931769318021
2000-09-15,CMCSV,25810463.050879855,Comcast Corporation,True,0.016875319582546545
2000-09-15,CSCO,150838988.6285846,"Cisco Systems, Inc.",True,0.09862109539056475
2000-09-15,"Conexant Systems, Inc.",14560687.632076789,"Conexant Systems, Inc.",False,0.009520025140523485
2000-09-15,Dell Computer Corporation,72782908.91837776,Dell Computer Corporation,False,0.04758670333514734
2000-09-15,FULO,22538726.558197346,"Nextel Communications, Inc.",True,0.014736202636250023
2000-09-15,GIB,24189954.686180286,"CMGI, Inc.",True,0.015815803661170507
2000-09-15,Global Crossings Ltd.,22046669.328597326,Global Crossings Ltd.,False,0.014414487253382463
2000-09-15,IMNM,18130168.418942567,Immunex Corporation,True,0.011853812368725356
2000-09-15,INTC,142741612.36163706,Intel Corporation,True,0.09332689311238403
2000-09-15,JDS Uniphase Corporation,27603704.60469794,JDS Uniphase Corporation,False,0.018047771399847472
2000-09-15,"MCI WorldCom, Inc.",90185393.05810848,"MCI WorldCom, Inc.",False,0.05896474334974299
2000-09-15,MSFT,243213336.73311818,Microsoft Corporation,True,0.1590170147671552
2000-09-15,"Maxim Integrated Products, Inc.",22209446.174161192,"Maxim Integrated Products, Inc.",False,0.014520913522609563
2000-09-15,NTL Incorporated,15129003.738839325,NTL Incorporated,False,0.00989159987386402
2000-09-15,NTRA,22593426.164264586,Altera Corporation,True,0.014771966168721503
2000-09-15,"Novell, Inc.",15472723.664062975,"Novell, Inc.",False,0.010116329805039756
2000-09-15,ORCL,47740279.01423252,Oracle Corporation,True,0.031213406118944097
2000-09-15,PAYX,16001741.17315721,"Paychex, Inc",True,0.010462210447054181
2000-09-15,POAI,26456042.08915336,"Apple Computer, Inc.",True,0.01729741013416441
2000-09-15,QUALCOMM Incorporated,68216961.963708,QUALCOMM Incorporated,False,0.044601409584116375
2000-09-15,Qwest Communications International Inc.,21504077.56311764,Qwest Communications International Inc.,False,0.014059731531748259
2000-09-15,September,1953.5371433504513,September,False,1.2772557991473193e-06
2000-09-15,"Sun Microsystems, Inc.",58284771.6106618,"Sun Microsystems, Inc.",False,0.03810757466019676
2000-09-15,"Tellabs, Inc.",23705798.94505002,"Tellabs, Inc.",False,0.01549925440580876
2000-09-15,VERITAS Software Corporation,24503554.520036004,VERITAS Software Corporation,False,0.016020840564495972
2000-09-15,WEAV,22957026.432713438,"Level 3 Communications, Inc.",True,0.015009694206311474
2000-09-15,"Xilinx, Inc.",25587984.585693967,"Xilinx, Inc.",False,0.016729859379339598
2000-09-15,Yahoo! Inc.,41616964.025410876,Yahoo! Inc.,False,0.027209878668186485
2000-12-15,ALGN,15663070.158111157,Linear Technology Corporation,True,0.016230645311843348
2000-12-15,AMAT,12527867.142626867,"Applied Materials, Inc.",True,0.012981833449847338
2000-12-15,AMGN,31494466.547992114,Amgen Inc.,True,0.03263571641230643
2000-12-15,AMZN,21530776.160084266,"Amazon.com, Inc.",True,0.022310976559218973
2000-12-15,ATHM,14189333.48955318,At Home Corporation,True,0.014703505555144034
2000-12-15,BIIB,49519510.68543896,"Biogen, Inc.",True,0.05131392542062906
2000-12-15,"BMC Software, Inc.",16982574.413343072,"BMC Software, Inc.",False,0.017597963809299396
2000-12-15,CAPC,8877570.083876653,"Costco Companies, Inc",True,0.00919926232902792
2000-12-15,CMCSV,18054959.805857085,Comcast Corporation,True,0.018709208716447018
2000-12-15,CSCO,115796001.14708802,"Cisco Systems, Inc.",True,0.09614334351527482
2000-12-15,"Conexant Systems, Inc.",10185506.142394645,"Conexant Systems, Inc.",False,0.010554593438579429
2000-12-15,Dell Computer Corporation,50913170.07696502,Dell Computer Corporation,False,0.04227229223523454
2000-12-15,FULO,18987971.098762594,"Nextel Communications, Inc.",True,0.019676029091649873
2000-12-15,GIB,12751295.12338892,"CMGI, Inc.",True,0.013213357683084098
2000-12-15,Global Crossings Ltd.,15422107.220477693,Global Crossings Ltd.,False,0.015980950715921278
2000-12-15,IMNM,12682432.757294869,Immunex Corporation,True,0.013141999984489608
2000-12-15,INTC,80537469.7207524,Intel Corporation,True,0.06686881706197903
2000-12-15,JDS Uniphase Corporation,19309369.85315279,JDS Uniphase Corporation,False,0.020009074218404546
2000-12-15,"MCI WorldCom, Inc.",63086572.431100346,"MCI WorldCom, Inc.",False,0.05237964993920755
2000-12-15,MSFT,186376690.46443558,Microsoft Corporation,True,0.12733589724830402
2000-12-15,"Maxim Integrated Products, Inc.",15535973.035212839,"Maxim Integrated Products, Inc.",False,0.01609894263151984
2000-12-15,NTL Incorporated,10583055.16909717,NTL Incorporated,False,0.010966548258505699
2000-12-15,NTRA,15804575.085238202,Altera Corporation,True,0.016377277885080463
2000-12-15,"Novell, Inc.",10823494.460021617,"Novell, Inc.",False,0.011215700232584353
2000-12-15,ORCL,34824120.38287597,Oracle Corporation,True,0.0360860253146919
2000-12-15,PAYX,14166932.41428085,"Paychex, Inc",True,0.014680292742861456
2000-12-15,POAI,18506555.87232652,"Apple Computer, Inc.",True,0.01917716905277312
2000-12-15,QUALCOMM Incorporated,47719194.49505745,QUALCOMM Incorporated,False,0.044
2000-12-15,Qwest Communications International Inc.,15042552.90959946,Qwest Communications International Inc.,False,0.015587642677697654
2000-12-15,September,1366.5401714379127,September,False,1.4160588315764192e-06
2000-12-15,"Sun Microsystems, Inc.",40771419.19730827,"Sun Microsystems, Inc.",False,0.042248833541060564
2000-12-15,"Tellabs, Inc.",16582703.157044563,"Tellabs, Inc.",False,0.01718360261025814
2000-12-15,VERITAS Software Corporation,17140749.900060255,VERITAS Software Corporation,False,0.017761871025191257
2000-12-15,WEAV,16058921.092874786,"Level 3 Communications, Inc.",True,0.016640840506888358
2000-12-15,"Xilinx, Inc.",17899331.457048245,"Xilinx, Inc.",False,0.018547940937877053
2000-12-15,Yahoo! Inc.,29111938.48941735,Yahoo! Inc.,False,0.030166853828286377
2001-03-16,ALGN,78338478.04444444,Linear Technology Corporation,True,0.014016411990064292
2001-03-16,AMAT,124164625.91190304,"Applied Materials, Inc.",True,0.02221567989087153
