Date,Open,High,Low,Close,Volume,Adj Close
2003-10-22,5.71,5.71,5.6,5.64,3716800,5.64
2003-10-23,5.51,5.56,5.3,5.39,5042300,5.39
2003-10-24,5.42,5.73,5.4,5.56,7651700,5.56
2003-10-27,5.62,5.68,5.42,5.47,5614200,5.47
2003-10-28,5.51,5.75,5.5,5.74,5458100,5.74
2003-10-29,5.74,5.93,5.67,5.92,5452500,5.92
2003-10-30,6.04,6.07,5.75,5.8,9441500,5.8
2003-10-31,5.82,5.92,5.76,5.82,4133300,5.82
2003-11-03,5.94,6.3,5.92,6.3,11187100,6.3
2003-11-04,6.28,6.66,6.2,6.61,12843000,6.61
2003-11-05,6.61,6.9,6.59,6.81,11229800,6.81
2003-11-06,7.03,7.05,6.77,6.85,15975000,6.85
2003-11-07,6.92,7.05,6.81,6.88,8925900,6.88
2003-11-10,6.8,6.87,6.42,6.46,9950600,6.46
2003-11-11,6.36,6.47,6.29,6.37,6032300,6.37
2003-11-12,6.37,6.72,6.35,6.69,4837600,6.69
2003-11-13,6.68,6.87,6.55,6.68,5621000,6.68
2003-11-14,6.75,6.83,6.36,6.39,4788800,6.39
2003-11-17,6.26,6.28,6.01,6.19,5294500,6.19
2003-11-18,6.46,6.46,6.04,6.06,5399600,6.06
2003-11-19,6.15,6.21,6.06,6.19,2675400,6.19
2003-11-20,6.18,6.34,6.07,6.11,3466500,6.11
2003-11-21,6.21,6.22,5.99,6.03,4828700,6.03
2003-11-24,6.07,6.4,6.07,6.36,4122200,6.36
2003-11-25,6.44,6.5,6.29,6.32,3546500,6.32
2003-11-26,6.47,6.5,6.27,6.5,4933100,6.5
2003-11-28,6.43,6.55,6.41,6.49,1552800,6.49
2003-12-01,6.51,6.6,6.32,6.41,3842100,6.41
2003-12-02,6.31,6.52,6.3,6.4,2694400,6.4
2003-12-03,6.45,6.51,6.24,6.25,3386300,6.25
2003-12-04,6.36,6.4,6.13,6.28,3110600,6.28
2003-12-05,6.15,6.2,6.02,6.08,3385400,6.08
2003-12-08,6.04,6.13,5.9,6.0,2826800,6.0
2003-12-09,6.18,6.18,5.85,5.88,3036100,5.88
2003-12-10,5.87,5.95,5.7,5.81,3304000,5.81
2003-12-11,5.71,6.02,5.68,5.93,3291900,5.93
2003-12-12,6.0,6.03,5.85,5.9,2640100,5.9
2003-12-15,6.16,6.19,5.75,5.76,3877600,5.76
2003-12-16,5.77,5.79,5.53,5.72,3757400,5.72
2003-12-17,5.71,5.73,5.56,5.65,2142600,5.65
2003-12-18,5.59,5.85,5.58,5.67,4896600,5.67
2003-12-19,5.65,5.77,5.58,5.75,4512100,5.75
2003-12-22,5.66,5.72,5.6,5.65,2238800,5.65
2003-12-23,5.69,5.75,5.62,5.74,2467000,5.74
2003-12-24,5.72,5.8,5.69,5.73,961200,5.73
2003-12-26,5.72,5.76,5.7,5.72,762400,5.72
2003-12-29,5.72,5.77,5.47,5.77,2351400,5.77
2003-12-30,5.77,5.94,5.71,5.81,5642800,5.81
2003-12-31,5.8,6.02,5.8,5.97,5217400,5.97
2004-01-02,6.02,6.08,5.95,6.03,4864800,6.03
2004-01-05,6.23,6.49,6.1,6.47,7299400,6.47
2004-01-06,6.46,6.76,6.43,6.58,8428100,6.58
2004-01-07,6.54,6.85,6.44,6.72,8921000,6.72
2004-01-08,6.86,7.5,6.8,7.18,19347200,7.18
2004-01-09,6.98,7.65,6.96,7.32,15518200,7.32
2004-01-12,7.4,7.48,7.14,7.42,7342800,7.42
2004-01-13,7.41,7.46,7.11,7.32,7229900,7.32
2004-01-14,7.34,7.4,7.15,7.36,7007600,7.36
2004-01-15,7.62,7.95,7.46,7.93,17250800,7.93
2004-01-16,8.42,9.05,8.21,8.98,24564500,8.98
2004-01-20,9.06,9.2,8.33,8.41,25071400,8.41
2004-01-21,7.85,8.25,7.63,8.01,17798600,8.01
