Date,Open,High,Low,Close,Volume,Adj Close
2004-08-24,17.04,17.16,16.69,17.0,3366300,17.0
2004-08-25,16.94,17.1,16.81,17.08,2606100,17.08
2004-08-26,17.05,17.05,16.77,16.92,1561500,16.92
2004-08-27,16.81,17.01,16.75,16.97,1322700,16.97
2004-08-30,16.94,17.11,16.71,16.71,974700,16.71
2004-08-31,16.85,16.95,16.47,16.8,1083100,16.8
2004-09-01,16.75,16.93,16.5,16.82,909100,16.82
2004-09-02,16.87,17.25,16.28,17.24,1149900,17.24
2004-09-03,17.0,17.17,16.29,16.53,1881100,16.53
2004-09-07,16.64,16.88,16.52,16.73,1416100,16.73
2004-09-08,16.51,17.04,16.49,16.8,1222200,16.8
2004-09-09,16.9,17.11,16.71,17.07,1505700,17.07
2004-09-10,17.0,17.57,16.89,17.5,1049900,17.5
2004-09-13,17.59,17.6,17.37,17.53,997700,17.53
2004-09-14,17.62,17.73,17.27,17.41,1057700,17.41
2004-09-15,17.26,17.48,17.14,17.43,1294800,17.43
2004-09-16,17.56,17.7,17.34,17.55,935300,17.55
2004-09-17,17.81,17.98,17.5,17.7,1715000,17.7
2004-09-20,17.48,17.97,17.4,17.58,1463600,17.58
2004-09-21,17.74,17.85,17.51,17.84,885500,17.84
2004-09-22,17.56,17.57,17.09,17.18,827900,17.18
2004-09-23,17.35,17.35,16.85,16.98,1293200,16.98
2004-09-24,17.1,17.11,16.76,16.78,639100,16.78
2004-09-27,16.68,16.89,16.39,16.47,885200,16.47
2004-09-28,16.39,16.69,16.35,16.52,731600,16.52
2004-09-29,16.37,17.57,16.36,17.3,1123800,17.3
2004-09-30,17.26,17.5,16.96,17.39,852800,17.39
2004-10-01,17.5,17.88,17.33,17.74,1209600,17.74
2004-10-04,17.89,17.99,17.43,17.53,1680300,17.53
2004-10-05,17.53,17.63,17.42,17.51,1119600,17.51
2004-10-06,17.52,17.59,17.36,17.39,1542000,17.39
2004-10-07,17.57,17.63,17.15,17.46,1108600,17.46
2004-10-08,17.42,17.46,16.75,16.86,1357300,16.86
2004-10-11,16.83,17.18,16.71,16.79,919000,16.79
2004-10-12,16.67,16.69,16.16,16.35,2120300,16.35
2004-10-13,16.5,16.53,16.15,16.28,985200,16.28
2004-10-14,16.25,16.45,16.08,16.21,661000,16.21
2004-10-15,16.34,16.58,16.15,16.3,819700,16.3
2004-10-18,16.18,16.51,15.89,16.49,742700,16.49
2004-10-19,16.44,16.7,15.94,16.01,1190800,16.01
2004-10-20,15.87,16.16,15.7,16.07,1407700,16.07
2004-10-21,15.93,16.35,15.81,16.29,887200,16.29
2004-10-22,16.34,16.42,15.94,16.11,1006200,16.11
2004-10-25,16.12,16.4,16.01,16.25,592400,16.25
2004-10-26,16.35,16.55,16.18,16.48,1029700,16.48
2004-10-27,16.65,17.11,16.28,17.04,1093600,17.04
2004-10-28,16.99,17.21,16.76,17.08,1445400,17.08
2004-10-29,19.25,19.98,18.96,19.28,7916700,19.28
2004-11-01,19.21,20.15,19.2,19.74,2636900,19.74
2004-11-02,19.09,20.2,19.07,20.06,2639300,20.06
2004-11-03,20.1,20.17,19.85,20.03,2415600,20.03
2004-11-04,20.03,20.63,19.91,20.28,1893900,20.28
2004-11-05,20.21,20.75,20.14,20.57,1259800,20.57
2004-11-08,20.5,20.63,20.12,20.4,1708600,20.4
2004-11-22,20.74,20.81,20.36,20.56,894600,20.56
2004-11-23,20.8,21.04,20.56,20.84,854000,20.84
2004-11-24,20.98,21.25,20.85,21.15,807700,21.15
2004-11-26,20.94,21.42,20.9,21.3,453800,21.3
2004-11-29,21.26,21.42,20.92,21.34,847900,21.34
2004-11-30,21.06,21.5,20.98,21.14,1254500,21.14
2004-12-01,21.15,21.77,21.11,21.46,1257600,21.46
2004-12-02,21.36,21.57,21.16,21.39,839800,21.39
2004-12-03,21.21,21.41,20.7,20.79,1256800,20.79
2004-12-06,20.71,20.72,20.41,20.71,787300,20.71
2004-12-07,20.64,20.75,20.04,20.25,1202800,20.25
2004-12-08,20.26,20.54,20.16,20.36,1043500,20.36
2004-12-09,20.25,20.47,19.84,20.41,1122400,20.41
2004-12-10,20.4,20.4,20.07,20.29,716300,20.29
2004-12-13,20.36,20.51,20.1,20.44,926900,20.44
2004-12-14,20.26,20.84,20.25,20.75,823700,20.75
2004-12-15,20.65,20.95,20.61,20.8,814300,20.8
2004-12-16,20.8,20.97,20.34,20.43,943900,20.43
2004-12-17,20.58,20.82,20.31,20.31,2325700,20.31
