Date,Open,High,Low,Close,Volume,Adj Close
2004-08-19,71.05,71.8,69.71,70.51,3611200,70.51
2004-08-20,70.56,73.51,70.49,72.57,2509700,72.57
2004-08-23,72.32,72.98,72.06,72.53,1876900,72.53
2004-08-24,72.23,72.74,71.63,72.05,2936500,72.05
2004-08-25,72.27,74.0,71.95,73.34,2728500,73.34
2004-08-26,75.98,80.47,75.6,79.42,10603700,79.42
2004-08-27,79.4,80.0,77.89,78.63,2627300,78.63
2004-08-30,78.41,79.44,78.03,78.09,1732200,78.09
2004-08-31,78.7,78.89,77.76,78.0,1845500,78.0
2004-09-01,79.06,81.23,78.6,81.18,5092400,81.18
2004-09-02,80.8,82.77,80.45,82.77,3107800,82.77
2004-09-03,82.89,84.35,82.35,83.74,2144000,83.74
2004-09-07,84.5,84.63,82.13,82.72,2953600,82.72
2004-09-08,84.44,85.28,81.58,82.07,3436700,82.07
2004-09-09,82.42,82.66,79.85,80.5,2890500,80.5
2004-09-10,80.64,81.49,79.99,80.43,1279200,80.43
2004-09-13,80.69,80.95,79.9,80.63,1758500,80.63
2004-09-14,78.88,80.45,78.03,80.09,4299100,80.09
2004-09-15,79.45,80.0,78.34,78.68,2809900,78.68
2004-09-16,79.08,79.81,78.48,78.82,1327700,78.82
2004-09-17,79.2,79.91,77.6,78.35,2581900,78.35
2004-09-20,75.39,76.05,74.53,75.82,4685400,75.82
2004-09-21,75.79,75.8,71.75,72.0,6011700,72.0
2004-09-22,73.56,74.93,72.9,73.11,4819100,73.11
2004-09-23,73.52,73.95,72.24,72.48,2896400,72.48
2004-09-24,72.64,73.59,71.81,72.82,2531100,72.82
2004-09-27,72.2,73.41,72.04,73.11,1831400,73.11
2004-09-28,73.01,74.75,72.07,73.17,2827800,73.17
2004-09-29,72.8,74.42,72.6,73.96,1581000,73.96
2004-09-30,74.06,74.06,73.22,73.37,1707800,73.37
2004-10-01,73.7,77.0,73.7,76.33,2958200,76.33
2004-10-04,76.03,76.33,73.87,74.43,3531500,74.43
2004-10-05,74.36,76.62,74.36,76.21,3910200,76.21
2004-10-06,75.79,76.07,73.25,73.95,4952500,73.95
2004-10-07,73.99,74.53,71.68,71.9,3342800,71.9
2004-10-08,71.01,71.39,68.93,69.81,5423900,69.81
2004-10-11,69.52,70.37,67.12,69.28,6402200,69.28
2004-10-12,68.69,69.1,67.38,68.06,5969000,68.06
2004-10-13,68.83,69.1,67.75,68.03,3477800,68.03
2004-10-14,67.79,68.37,67.66,68.01,2160400,68.01
2004-10-15,68.32,68.68,67.87,68.21,2741900,68.21
2004-10-18,68.39,71.47,67.87,71.32,3764200,71.32
2004-10-19,71.4,71.68,70.0,70.1,2342600,70.1
2004-10-20,69.89,71.12,69.25,70.54,2561800,70.54
2004-10-21,69.19,70.33,68.44,69.99,2829600,69.99
2004-10-22,69.59,71.11,69.59,70.16,1895800,70.16
2004-10-25,69.89,71.9,69.85,70.95,2193500,70.95
2004-10-26,67.88,68.2,66.45,66.75,7189500,66.75
2004-10-27,66.99,68.36,66.36,68.29,4232200,68.29
2004-10-28,67.74,67.95,66.7,67.17,4248300,67.17
2004-10-29,66.96,67.61,65.77,66.0,3657700,66.0
2004-11-01,65.47,65.67,64.14,64.38,5309300,64.38
2004-11-02,64.77,65.91,64.22,64.27,3706300,64.27
2004-11-03,64.71,65.45,63.57,63.87,3941800,63.87
2004-11-04,63.55,64.17,62.56,62.96,4943500,62.96
2004-11-05,62.97,65.19,62.55,65.13,3479300,65.13
2004-11-08,64.83,68.44,64.45,67.14,3203900,67.14
2004-11-09,66.54,67.33,66.16,66.51,1581100,66.51
2004-11-10,66.23,68.85,66.23,68.6,3276400,68.6
2004-11-11,68.98,73.45,68.94,73.2,3969500,73.2
2004-11-12,72.7,74.47,72.42,74.2,3483600,74.2
2004-11-15,74.19,74.3,73.18,73.97,1538300,73.97
2004-11-16,73.26,75.96,72.7,74.77,2782100,74.77
2004-11-17,75.14,75.96,74.82,75.45,2441400,75.45
2004-11-18,75.45,76.39,74.58,76.21,1748800,76.21
2004-11-19,76.7,76.7,74.43,75.0,2308700,75.0
2004-12-01,79.9,81.73,79.75,81.41,1744700,81.41
2004-12-02,84.35,84.74,80.77,82.84,2997300,82.84
2004-12-03,82.65,83.7,81.85,83.1,2054200,83.1
2004-12-06,82.76,85.67,82.51,84.83,2252800,84.83
2004-12-07,84.9,84.93,82.94,83.12,2949400,83.12
2004-12-08,83.48,83.74,82.65,83.26,1846800,83.26
2004-12-09,82.96,84.54,82.42,83.86,1678500,83.86
2004-12-10,83.32,83.46,82.46,83.23,1335200,83.23
2004-12-13,83.5,84.0,82.17,83.09,1429000,83.09
2004-12-14,83.5,85.68,82.56,84.84,1723600,84.84
2004-12-15,84.91,87.45,83.65,85.33,2171300,85.33
2004-12-16,80.07,81.98,79.62,79.63,5339200,79.63
2004-12-17,79.0,80.5,78.85,79.51,4159500,79.51
2004-12-20,80.58,80.84,79.24,79.86,1760900,79.86
2004-12-21,79.78,80.67,79.65,80.25,1405200,80.25
2004-12-22,80.99,81.0,79.83,80.17,1428500,80.17
2004-12-23,79.52,81.17,79.52,80.08,832300,80.08
2004-12-27,81.0,81.0,78.34,78.85,1265700,78.85
2004-12-28,79.15,80.94,79.0,80.94,1026100,80.94
2004-12-29,80.8,81.8,80.7,81.6,1482000,81.6
2004-12-30,81.7,82.19,80.83,80.83,1007400,80.83
2004-12-31,81.25,81.87,80.35,80.71,952200,80.71
2005-01-03,80.58,82.0,80.18,81.01,3013300,81.01
2005-01-04,81.64,84.2,81.27,82.21,2993600,82.21
2005-01-05,82.38,83.02,81.11,81.18,2231600,81.18
2005-01-06,81.01,82.08,80.84,81.51,1205900,81.51
