Date,Open,High,Low,Close,Volume,Adj Close
2003-08-11,2.76,2.96,2.75,2.95,3994900,2.95
2003-08-12,2.92,3.0,2.88,2.96,4420900,2.96
2003-08-13,2.95,3.12,2.94,3.07,4608800,3.07
2003-08-14,3.03,3.16,3.01,3.09,3932100,3.09
2003-08-15,3.03,3.12,3.0,3.08,1848100,3.08
2003-08-18,3.11,3.88,3.09,3.83,28504800,3.83
2003-08-19,3.86,3.96,3.6,3.72,16706500,3.72
2003-08-20,3.6,3.81,3.52,3.54,10052500,3.54
2003-08-21,3.64,4.0,3.63,3.99,19258800,3.99
2003-08-22,4.15,4.26,3.92,3.98,22725700,3.98
2003-08-25,4.02,4.05,3.76,3.8,7238300,3.8
2003-08-26,3.78,4.09,3.75,4.07,7314900,4.07
2003-08-27,4.07,4.52,4.05,4.45,19195900,4.45
2003-08-28,4.49,4.61,4.35,4.35,10592600,4.35
2003-08-29,4.42,4.62,4.33,4.58,10315800,4.58
2003-09-02,4.72,4.82,4.63,4.72,11863100,4.72
2003-09-03,4.78,4.81,4.51,4.6,10362100,4.6
2003-09-04,4.58,4.79,4.48,4.69,13263000,4.69
2003-09-05,4.65,5.08,4.59,4.91,16194600,4.91
2003-09-08,5.02,5.12,4.6,4.96,12106500,4.96
2003-09-09,4.97,5.03,4.84,4.85,8286900,4.85
2003-09-10,4.74,4.75,4.31,4.34,16478500,4.34
2003-09-11,4.39,4.68,4.31,4.64,9976400,4.64
2003-09-12,4.58,4.66,4.46,4.56,7629900,4.56
2003-09-15,4.65,4.69,4.4,4.44,6359000,4.44
2003-09-16,4.47,4.67,4.47,4.67,5744600,4.67
2003-09-17,4.63,4.82,4.56,4.68,5609400,4.68
2003-09-18,4.68,4.81,4.56,4.64,5921000,4.64
2003-09-19,4.65,4.8,4.6,4.71,5007700,4.71
2003-09-22,4.51,4.66,4.41,4.57,5267600,4.57
2003-09-23,4.63,4.67,4.53,4.55,4644000,4.55
2003-09-24,4.59,4.6,4.23,4.27,10294200,4.27
2003-09-25,4.24,4.34,3.91,4.03,11419400,4.03
2003-09-26,4.01,4.17,3.88,3.92,10457900,3.92
2003-09-29,4.01,4.25,3.94,4.21,6832700,4.21
2003-09-30,4.07,4.21,3.98,4.02,6980600,4.02
2003-10-01,4.14,4.16,4.04,4.1,4998300,4.1
2003-10-02,4.13,4.35,4.11,4.21,7127000,4.21
2003-10-03,4.33,4.49,4.32,4.44,8642800,4.44
2003-10-06,4.52,4.68,4.47,4.6,5994500,4.6
2003-10-07,4.55,4.75,4.51,4.72,4993500,4.72
2003-10-08,4.74,4.84,4.59,4.64,6610900,4.64
2003-10-09,4.71,4.77,4.56,4.61,5887900,4.61
2003-10-10,4.74,4.79,4.65,4.77,4716100,4.77
2003-10-13,4.86,4.92,4.76,4.85,3881200,4.85
2003-10-14,4.82,4.95,4.75,4.92,3740200,4.92
2003-10-15,5.1,5.18,4.93,5.09,13930400,5.09
2003-10-16,4.98,5.06,4.88,5.05,8418600,5.05
2003-10-17,5.4,5.44,5.12,5.22,14355900,5.22
