Date,Open,High,Low,Close,Volume,Adj Close
2003-10-07,5.94,6.09,5.89,6.04,10322600,6.04
2003-10-08,6.36,6.5,6.24,6.38,28992700,6.38
2003-10-09,6.51,6.55,6.15,6.21,19402700,6.21
2003-10-10,6.21,6.39,6.16,6.33,9220700,6.33
2003-10-13,6.38,6.45,6.22,6.29,7631800,6.29
2003-10-14,6.13,6.26,6.09,6.24,10561700,6.24
2003-10-15,6.34,6.45,6.1,6.13,9355800,6.13
2003-10-16,6.09,6.26,6.08,6.17,7877000,6.17
2003-10-17,6.2,6.2,5.99,6.0,7795100,6.0
2003-10-20,6.04,6.09,5.89,5.94,7985100,5.94
2003-10-21,6.01,6.09,5.92,6.08,7372200,6.08
2003-10-22,5.96,6.06,5.95,5.97,7723700,5.97
2003-10-23,5.89,6.27,5.88,6.2,13937200,6.2
2003-10-24,6.1,6.16,5.99,6.06,9040300,6.06
2003-10-27,6.05,6.33,6.04,6.23,10198000,6.23
2003-10-28,6.29,6.72,6.28,6.71,28237700,6.71
2003-10-29,6.67,6.84,6.54,6.62,14218900,6.62
2003-10-30,6.81,6.88,6.63,6.74,18706600,6.74
2003-10-31,6.81,6.82,6.53,6.56,9952600,6.56
2003-11-03,6.65,6.84,6.52,6.77,10179600,6.77
2003-11-04,6.75,7.25,6.74,6.9,24945800,6.9
2003-11-05,6.93,7.09,6.72,6.93,16155200,6.93
2003-11-06,7.06,7.18,6.99,7.08,12227000,7.08
2003-11-07,7.13,7.18,6.84,6.89,10077300,6.89
2003-11-10,6.86,7.01,6.75,6.75,8822200,6.75
2003-11-11,6.78,6.84,6.56,6.73,8390400,6.73
2003-11-12,7.21,7.54,7.09,7.51,36977400,7.51
2003-11-13,7.46,8.28,7.45,7.95,48856800,7.95
2003-11-14,8.12,8.27,7.55,7.63,24117100,7.63
2003-11-17,7.46,7.6,7.25,7.5,20519300,7.5
2003-11-18,7.73,7.77,7.25,7.28,15520400,7.28
2003-11-19,7.32,7.35,7.12,7.18,16112700,7.18
2003-11-20,7.17,7.43,7.05,7.15,21599000,7.15
2003-11-21,6.35,6.36,5.9,5.91,75128800,5.91
2003-11-24,5.82,6.05,5.75,6.02,26400800,6.02
2003-11-25,6.06,6.06,5.9,5.93,11846900,5.93
2003-11-26,6.03,6.1,5.95,6.04,10041200,6.04
2003-11-28,6.0,6.11,6.0,6.09,3604700,6.09
2003-12-01,6.11,6.17,5.95,5.99,10427200,5.99
2003-12-02,6.07,6.09,5.98,6.01,7508700,6.01
2003-12-03,6.04,6.07,5.82,5.84,8554100,5.84
2003-12-04,5.86,5.93,5.63,5.8,12422900,5.8
2003-12-05,5.64,5.76,5.6,5.66,7794800,5.66
2003-12-08,5.61,5.69,5.52,5.64,6774400,5.64
2003-12-09,5.66,5.73,5.48,5.49,10091000,5.49
2003-12-10,5.53,5.55,5.39,5.52,11532300,5.52
2003-12-11,5.7,5.89,5.64,5.78,14749800,5.78
2003-12-12,5.8,5.85,5.6,5.65,10165500,5.65
2003-12-15,5.8,5.85,5.5,5.51,10263400,5.51
2003-12-16,5.47,5.72,5.43,5.66,11842600,5.66
2003-12-17,5.67,5.68,5.55,5.59,5997400,5.59
2003-12-18,5.63,5.67,5.53,5.61,9091300,5.61
2003-12-19,5.56,5.74,5.51,5.69,15799100,5.69
2003-12-22,5.7,5.75,5.62,5.73,5651100,5.73
2003-12-23,5.69,5.78,5.64,5.68,5974800,5.68
2003-12-24,5.67,5.7,5.62,5.66,2093300,5.66
2003-12-26,5.68,5.71,5.59,5.6,3627700,5.6
2003-12-29,5.64,5.76,5.62,5.76,6627700,5.76
2003-12-30,5.71,5.79,5.69,5.75,6411700,5.75
2003-12-31,5.71,5.83,5.71,5.78,7541600,5.78
2004-01-02,5.85,6.04,5.84,6.03,10831500,6.03
2004-01-05,6.16,6.34,6.12,6.31,16152100,6.31
2004-01-06,7.0,7.0,6.49,6.63,23394600,6.63
2004-01-07,6.66,6.69,6.42,6.58,9828500,6.58
2004-01-08,6.68,6.68,6.44,6.57,9346600,6.57
2004-01-09,6.39,6.57,6.36,6.43,9337800,6.43
2004-02-11,6.65,6.84,6.65,6.76,17220700,6.76
2004-02-12,7.18,7.2,6.72,6.76,36164300,6.76
2004-02-13,6.84,6.88,6.61,6.62,15404900,6.62
2004-02-17,6.63,6.74,6.6,6.64,8769700,6.64
2004-02-18,6.7,6.7,6.51,6.52,7392300,6.52
2004-02-19,6.53,6.6,6.23,6.26,13348700,6.26
2004-02-20,6.29,6.4,6.26,6.32,8143200,6.32
2004-02-23,6.33,6.39,6.14,6.14,7266500,6.14
2004-02-24,6.1,6.31,6.05,6.26,9437900,6.26
2004-02-25,6.25,6.53,6.24,6.36,8772900,6.36
2004-02-26,6.38,6.67,6.29,6.58,12092600,6.58
2004-02-27,6.63,6.98,6.62,6.96,28866600,6.96
2004-03-01,6.94,7.12,6.94,7.08,17565900,7.08
2004-03-02,7.01,7.47,7.01,7.34,28507500,7.34
2004-03-03,7.16,7.35,7.13,7.31,15699800,7.31
2004-03-04,7.31,7.44,7.07,7.23,17349200,7.23
2004-03-05,7.06,7.45,7.05,7.44,17499100,7.44
2004-03-08,7.38,7.65,7.31,7.38,15328800,7.38
2004-03-09,7.44,7.49,7.01,7.02,14466900,7.02
2004-03-10,7.08,7.26,7.07,7.1,10165900,7.1
2004-03-11,6.96,7.19,6.89,6.94,9104100,6.94
2004-03-12,7.02,7.1,6.86,7.05,6434900,7.05
2004-03-15,6.96,7.02,6.75,6.84,5283000,6.84
2004-03-16,7.05,7.24,6.76,6.88,9105200,6.88
2004-03-17,7.0,7.04,6.82,6.87,7994600,6.87
2004-03-18,6.82,7.17,6.79,7.12,10072000,7.12
2004-03-19,7.09,7.12,6.92,7.0,5334600,7.0
2004-03-22,6.83,6.92,6.52,6.6,9090500,6.6
2004-03-23,6.82,6.89,6.66,6.75,6639900,6.75
2004-03-24,6.75,6.99,6.75,6.9,6495000,6.9
2004-03-25,7.0,7.25,6.98,7.2,7398300,7.2
2004-03-26,7.15,7.24,7.05,7.12,3866900,7.12
2004-03-29,7.22,7.29,7.11,7.17,4959100,7.17
2004-03-30,7.08,7.18,7.04,7.09,7008200,7.09
2004-03-31,6.97,6.98,6.6,6.64,20840800,6.64
2004-04-01,6.71,6.9,6.64,6.84,8340300,6.84
2004-04-02,7.03,7.05,6.63,6.83,10179300,6.83
2004-04-05,6.88,7.01,6.82,6.99,5545200,6.99
2004-04-06,6.95,7.08,6.86,6.89,4937900,6.89
2004-04-07,6.89,6.91,6.75,6.8,4717900,6.8
2004-04-08,6.88,7.01,6.82,6.88,4740800,6.88
2004-04-12,6.88,6.95,6.83,6.87,3219400,6.87
2004-04-13,6.92,6.93,6.58,6.64,7679400,6.64
2004-04-14,6.58,6.65,6.51,6.57,6998500,6.57
2004-04-15,6.61,6.64,6.31,6.41,5837100,6.41
2004-04-16,6.34,6.57,6.24,6.4,6541100,6.4
2004-04-19,6.43,6.44,6.25,6.34,4052800,6.34
2004-04-20,6.42,6.42,6.15,6.18,5861700,6.18
2004-04-21,6.23,6.27,6.1,6.22,5826200,6.22
2004-04-22,6.24,6.3,6.07,6.26,5588100,6.26
2004-04-23,6.27,6.3,6.11,6.15,7427200,6.15
2004-04-26,6.25,6.32,6.19,6.22,7012500,6.22
2004-04-27,6.28,6.33,6.03,6.04,7926800,6.04
2004-04-28,5.98,6.14,5.89,5.9,8447600,5.9
2004-04-29,5.86,5.93,5.53,5.67,11202100,5.67
2004-04-30,5.69,5.71,5.31,5.35,10333600,5.35
2004-05-03,5.41,5.46,4.93,5.13,19391800,5.13
2004-05-04,5.17,5.53,5.16,5.4,10653100,5.4
2004-05-05,5.42,5.52,5.16,5.27,6583300,5.27
2004-05-06,5.32,5.34,5.17,5.21,3807700,5.21
2004-05-07,5.21,5.22,5.02,5.04,6442300,5.04
2004-05-10,5.01,5.14,4.88,4.98,5846400,4.98
2004-05-11,5.19,5.25,5.12,5.16,5932000,5.16
2004-05-12,5.21,5.25,5.0,5.13,6768000,5.13
2004-05-13,5.1,5.33,5.08,5.27,4737200,5.27
2004-05-14,5.3,5.3,5.08,5.1,3030400,5.1
2004-09-07,5.05,5.07,4.9,4.93,3869300,4.93
2004-09-08,4.95,4.99,4.81,4.85,4674900,4.85
2004-09-09,4.89,5.12,4.87,5.1,5771200,5.1
2004-09-10,5.1,5.3,5.06,5.23,6653000,5.23
2004-09-13,5.18,5.38,5.17,5.23,7028900,5.23
2004-09-14,5.31,5.35,5.12,5.22,5692500,5.22
2004-09-15,5.2,5.22,5.07,5.14,4146100,5.14
2004-09-16,5.17,5.23,5.12,5.14,1755800,5.14
2004-09-17,5.16,5.26,5.06,5.23,3419900,5.23
2004-09-20,5.2,5.41,5.17,5.34,5445500,5.34
2004-09-21,5.36,5.65,5.35,5.64,10267100,5.64
2004-09-22,5.54,5.6,5.44,5.48,4554000,5.48
2004-09-23,5.48,5.64,5.42,5.58,5801700,5.58
2004-09-24,5.6,5.65,5.44,5.54,3958400,5.54
2004-09-27,5.44,5.55,5.4,5.47,3764100,5.47
2004-09-28,5.47,5.51,5.33,5.45,5387800,5.45
2004-09-29,5.42,5.55,5.42,5.54,4078200,5.54
2004-09-30,5.5,5.66,5.28,5.65,3045700,5.65
2004-10-01,5.69,6.01,5.67,5.97,9093800,5.97
2004-10-04,6.08,6.12,5.98,6.01,8569600,6.01
2004-10-05,6.0,6.1,5.87,6.0,5052900,6.0
2004-10-06,5.98,6.23,5.94,6.19,7901900,6.19
2004-10-07,6.15,6.45,6.03,6.32,11785600,6.32
