Date,Open,High,Low,Close,Volume,Adj Close
2003-12-24,60.15,60.41,59.42,59.49,478600,59.49
2003-12-26,59.49,60.0,59.09,59.11,480300,59.11
2003-12-29,59.2,59.45,58.87,58.95,1138900,58.95
2003-12-30,58.86,59.3,58.58,58.62,726600,58.62
2003-12-31,58.64,58.76,57.75,57.76,1327600,57.76
2004-01-02,58.16,59.25,58.06,58.86,1110000,58.86
2004-01-05,59.08,63.35,58.99,62.8,2441400,62.8
2004-01-06,62.69,63.95,62.22,63.19,1800100,63.19
2004-01-07,63.11,64.5,62.76,64.1,1586600,64.1
2004-01-08,65.21,65.21,62.75,63.86,1284600,63.86
2004-01-09,63.19,64.85,63.19,63.91,1620500,63.91
2004-01-12,63.89,68.28,63.26,68.12,3388000,68.12
2004-01-13,67.34,67.74,65.49,65.6,3612600,65.6
2004-01-14,65.59,66.89,65.56,65.66,1129200,65.66
2004-01-15,65.44,65.63,64.52,64.52,2350000,64.52
2004-01-16,65.49,66.03,64.85,65.44,1560900,65.44
2004-01-20,65.66,67.99,65.65,67.93,2702200,67.93
2004-01-21,67.75,69.68,66.49,69.1,2678100,69.1
2004-01-22,68.28,69.1,67.26,68.55,2562100,68.55
2004-01-23,68.71,69.4,67.97,68.2,1275600,68.2
2004-01-26,68.16,69.7,67.5,69.37,1015600,69.37
2004-01-27,69.63,70.21,68.83,69.16,955400,69.16
2004-01-28,69.48,69.68,67.53,67.6,1077100,67.6
2004-01-29,67.6,68.6,66.69,67.17,1200700,67.17
2004-01-30,67.52,68.33,66.92,67.94,888700,67.94
2004-02-02,67.94,69.07,67.19,68.0,1154700,68.0
2004-02-03,67.98,69.52,67.68,68.78,855700,68.78
2004-02-04,68.28,68.75,67.62,67.73,664400,67.73
2004-02-05,67.92,68.22,66.84,66.84,1949800,66.84
2004-02-06,66.89,69.2,66.75,69.13,660600,69.13
2004-02-09,68.95,69.37,68.31,68.42,503200,68.42
2004-02-10,68.37,69.77,67.93,69.18,498300,69.18
2004-02-11,68.67,68.75,67.53,68.5,847200,68.5
2004-02-12,68.58,69.34,67.93,68.61,451900,68.61
2004-02-13,68.5,68.91,67.09,67.29,480400,67.29
2004-02-17,67.66,69.25,67.62,68.22,459200,68.22
2004-02-18,68.1,68.51,67.54,68.32,458600,68.32
2004-02-19,68.7,69.35,66.71,66.71,571700,66.71
2004-02-20,66.54,67.35,65.61,66.81,716600,66.81
2004-02-23,67.07,67.45,65.82,66.24,727300,66.24
2004-02-24,66.12,67.97,65.8,66.98,945600,66.98
2004-02-25,67.2,68.96,67.1,68.74,728300,68.74
2004-02-26,68.74,69.27,68.44,69.19,881800,69.19
2004-02-27,69.3,70.15,68.75,69.27,908800,69.27
2004-03-01,69.26,74.43,69.26,74.34,1938200,74.34
2004-03-02,73.9,74.45,71.35,72.43,1641600,72.43
2004-03-03,72.48,72.48,70.6,71.81,835100,71.81
2004-03-04,71.98,72.09,71.23,71.63,587800,71.63
2004-03-05,71.38,72.52,70.53,71.63,797400,71.63
2004-03-08,71.57,72.35,70.87,71.47,763500,71.47
2004-03-09,71.51,72.06,70.95,71.18,805200,71.18
2004-03-10,71.36,71.6,69.0,69.43,1432600,69.43
2004-03-11,69.4,69.95,68.05,68.09,1239300,68.09
2004-03-12,68.45,69.88,68.14,69.1,1132600,69.1
2004-03-15,68.78,69.0,67.3,67.77,913900,67.77
2004-03-16,68.27,68.74,66.93,67.28,951300,67.28
2004-03-17,67.62,67.62,66.69,67.14,731000,67.14
2004-03-18,67.32,68.23,66.71,67.6,724100,67.6
2004-03-19,67.79,68.0,66.68,66.79,419600,66.79
2004-03-22,66.3,66.56,65.22,65.8,1041900,65.8
2004-03-23,66.19,66.4,65.42,65.81,874400,65.81
2004-03-24,65.78,66.43,64.75,65.05,1202900,65.05
2004-03-25,65.05,65.6,64.3,65.32,3462400,65.32
2004-03-26,65.37,67.15,64.95,66.03,1235800,66.03
2004-03-29,66.56,67.31,66.38,66.57,687600,66.57
2004-03-30,66.44,67.07,66.34,66.94,432800,66.94
2004-06-25,64.0,65.3,64.0,64.99,572400,64.99
2004-06-28,65.14,65.82,64.51,64.88,535500,64.88
2004-06-29,65.35,65.49,63.75,64.14,1082900,64.14
2004-06-30,64.08,64.19,63.29,63.76,1088400,63.76
2004-07-01,63.74,63.95,60.75,61.01,2249200,61.01
2004-07-02,61.0,62.09,60.93,61.03,655000,61.03
2004-07-06,61.09,61.09,59.16,59.16,1294600,59.16
2004-07-07,59.84,60.64,59.32,60.11,1763400,60.11
2004-07-08,59.97,60.2,59.05,59.15,974200,59.15
2004-07-09,59.61,60.39,59.05,60.39,1293300,60.39
2004-07-12,59.85,60.3,58.89,60.02,720500,60.02
2004-07-13,59.82,60.54,59.57,60.51,867400,60.51
2004-07-14,60.2,61.07,59.04,59.85,1046100,59.85
2004-07-15,59.65,60.2,59.43,59.71,560300,59.71
2004-07-16,59.73,60.07,59.13,59.14,935900,59.14
2004-07-19,59.48,59.93,58.25,58.61,997000,58.61
2004-07-20,59.35,62.31,59.2,61.68,2548500,61.68
2004-07-21,62.13,62.87,61.15,61.26,1144100,61.26
2004-07-22,61.33,62.58,61.15,62.35,877700,62.35
2004-07-23,61.67,62.88,61.61,62.04,695600,62.04
2004-07-26,62.15,62.64,61.3,61.76,721400,61.76
2004-07-27,62.03,64.15,61.82,63.75,1057100,63.75
2004-07-28,63.5,63.9,62.3,63.38,915600,63.38
2004-07-29,63.8,64.85,63.5,64.37,782000,64.37
2004-07-30,64.16,65.2,63.75,64.3,750900,64.3
2004-08-02,64.74,64.74,62.52,63.49,1039100,63.49
2004-08-03,63.53,63.54,61.42,61.62,853200,61.62
2004-08-04,61.52,63.42,61.2,62.4,624300,62.4
2004-08-05,62.37,62.39,60.43,60.51,730700,60.51
2004-08-06,60.51,61.04,59.22,59.25,1015500,59.25
2004-08-09,59.24,59.93,57.9,58.45,1209200,58.45
2004-08-10,58.76,59.96,58.17,59.93,794300,59.93
2004-08-11,59.04,59.16,56.07,56.51,2519500,56.51
2004-08-12,57.32,57.85,56.68,57.26,1738500,57.26
2004-08-13,57.52,58.42,57.05,57.2,841200,57.2
2004-08-16,57.42,58.7,57.24,57.92,593300,57.92
2004-08-17,57.91,59.69,57.46,59.42,1062200,59.42
2004-08-18,59.54,60.0,59.02,59.41,813000,59.41
2004-08-19,59.21,59.86,58.2,58.67,754700,58.67
2004-08-20,58.75,59.46,58.29,58.97,704400,58.97
2004-08-23,58.89,59.49,57.85,59.02,592100,59.02
2004-08-24,59.34,59.35,57.06,58.15,975600,58.15
2004-08-25,58.25,59.5,57.8,59.15,626200,59.15
2004-08-26,59.2,60.23,58.7,58.83,572600,58.83
2004-08-27,59.41,60.28,59.07,60.09,576900,60.09
2004-08-30,59.87,60.11,58.99,58.99,411500,58.99
2004-08-31,59.02,59.21,57.9,58.5,689500,58.5
2004-09-01,58.23,58.91,57.8,58.7,523800,58.7
2004-09-02,58.61,59.51,58.41,59.29,665300,59.29
2004-09-03,58.81,59.15,58.23,58.29,727900,58.29
2004-09-07,58.79,59.19,58.31,59.05,462200,59.05
2004-09-08,58.75,59.4,57.86,57.99,841800,57.99
2004-09-09,58.35,59.09,57.13,58.94,1093800,58.94
2004-09-10,58.63,60.49,58.44,60.23,860200,60.23
2004-09-13,60.35,63.22,60.08,62.65,1167300,62.65
2004-09-14,61.99,62.07,60.07,61.0,1042900,61.0
2004-09-15,60.43,60.75,60.05,60.13,544800,60.13
