Date,Open,High,Low,Close,Volume,Adj Close
2003-08-11,43.58,44.79,43.43,44.42,1912700,44.42
2003-08-12,44.45,44.59,43.76,44.1,1659600,44.1
2003-08-13,43.74,44.33,43.07,43.2,1568000,43.2
2003-08-14,43.23,43.85,43.01,43.2,1060000,43.2
2003-08-15,43.6,44.26,42.96,44.01,752200,44.01
2003-08-18,44.14,45.16,44.14,45.13,1296800,45.13
2003-08-19,45.12,45.67,45.01,45.45,1339700,45.45
2003-08-20,45.33,45.33,44.0,44.86,1718300,44.86
2003-08-21,44.99,45.85,42.0,44.13,5566000,44.13
2003-08-22,44.2,44.79,43.25,43.28,1415200,43.28
2003-08-25,43.25,43.64,42.71,43.62,1250300,43.62
2003-08-26,42.66,43.72,42.58,43.43,1140200,43.43
2003-08-27,43.55,43.79,42.73,43.48,1143900,43.48
2003-08-28,43.43,44.17,43.0,43.83,849400,43.83
2003-08-29,43.86,44.8,43.77,44.35,921900,44.35
2003-09-02,44.61,45.51,43.88,45.08,1150100,45.08
2003-09-03,45.52,46.0,45.24,45.57,1404600,45.57
2003-09-04,45.33,46.08,44.76,46.03,1077800,46.03
2003-09-05,45.97,47.07,45.65,47.07,1657800,47.07
2003-09-08,47.01,48.5,46.91,48.4,2259400,48.4
2003-09-09,48.4,49.33,48.14,48.84,1551000,48.84
2003-09-10,48.64,49.5,47.5,47.61,1340700,47.61
2003-09-11,47.55,49.2,47.34,48.32,2153100,48.32
2003-09-12,48.55,48.97,47.44,48.91,1263600,48.91
2003-09-15,48.69,49.2,47.64,48.22,1106400,48.22
2003-09-16,48.09,48.21,47.19,48.16,1216400,48.16
2003-09-17,48.13,49.72,47.89,48.06,1320400,48.06
2003-09-18,48.09,49.35,47.53,48.71,949800,48.71
2003-09-19,49.39,50.0,48.0,49.62,1861900,49.62
2003-09-22,49.57,49.94,48.1,48.12,2236400,48.12
2003-09-23,47.96,47.99,44.9,46.31,5889300,46.31
2003-09-24,46.1,47.48,45.5,45.67,2700900,45.67
2003-09-25,46.4,48.7,45.67,46.9,4984600,46.9
2003-09-26,46.49,46.68,45.31,45.76,2784500,45.76
2003-09-29,46.21,46.9,45.17,46.8,1942100,46.8
2003-09-30,46.55,46.93,45.52,45.89,2144400,45.89
2003-10-01,45.77,46.13,44.29,44.8,2620400,44.8
2003-10-02,44.87,46.4,44.7,45.72,1861200,45.72
2003-10-03,46.24,47.5,45.9,45.98,1674500,45.98
2003-10-06,46.15,46.64,45.69,46.21,1008300,46.21
2003-10-07,45.87,47.73,45.83,47.43,1940900,47.43
2003-10-08,47.34,47.81,46.9,47.39,1337900,47.39
2003-10-09,47.99,48.45,47.4,48.12,2236700,48.12
2003-10-10,48.16,48.23,46.36,47.1,2157200,47.1
2003-10-13,47.19,47.51,46.53,46.76,1518800,46.76
2003-10-14,46.58,47.5,46.5,47.35,969200,47.35
2003-10-15,47.51,48.15,46.29,46.38,1800100,46.38
2003-10-16,46.55,47.5,46.4,47.33,1774400,47.33
2003-10-17,47.6,48.19,45.7,45.77,1885100,45.77
2003-10-20,46.0,46.31,44.87,45.55,1600500,45.55
2003-10-21,45.3,47.75,45.03,47.73,2682000,47.73
2003-10-22,47.66,47.66,46.48,46.6,1382000,46.6
2003-10-23,46.57,47.65,45.91,47.16,1182500,47.16
2003-10-24,47.03,47.61,46.57,47.55,527600,47.55
2003-10-27,47.56,47.69,46.1,46.77,1062800,46.77
2003-10-28,46.96,48.0,46.82,48.0,885400,48.0
2003-10-29,47.7,47.89,47.12,47.32,661600,47.32
2003-10-30,47.92,48.24,47.01,47.01,878900,47.01
2003-10-31,47.14,47.42,46.63,47.07,981800,47.07
2003-11-03,47.35,47.95,46.32,46.42,1733900,46.42
2003-11-04,45.9,47.0,45.34,45.85,3101000,45.85
2003-11-05,46.15,46.65,45.86,46.42,833200,46.42
2003-11-06,46.75,46.75,45.01,45.81,1536600,45.81
2003-11-07,45.94,46.85,45.81,46.6,857700,46.6
2003-11-10,46.57,46.85,46.19,46.29,836400,46.29
2003-11-11,46.55,46.71,46.06,46.46,883100,46.46
2004-06-03,54.19,54.58,53.5,53.77,765800,53.77
2004-06-04,53.99,54.47,53.72,53.95,678200,53.95
2004-06-07,53.95,54.15,53.06,53.93,694100,53.93
2004-06-08,53.93,54.11,53.15,53.51,532200,53.51
2004-06-09,53.35,53.8,51.65,51.79,1515200,51.79
2004-06-10,51.91,52.56,51.0,52.37,2005600,52.37
2004-06-14,52.3,52.63,51.04,51.31,1120000,51.31
2004-06-15,51.68,52.71,51.64,52.48,946100,52.48
2004-06-16,52.46,52.65,51.75,52.51,921200,52.51
2004-06-17,52.25,52.25,51.38,51.79,488400,51.79
2004-06-18,52.12,53.14,52.09,52.57,791100,52.57
2004-06-21,52.58,52.73,51.67,51.73,470700,51.73
2004-06-22,51.59,51.92,51.0,51.66,588600,51.66
2004-06-23,51.73,52.51,51.4,52.45,616300,52.45
