Date,Open,High,Low,Close,Volume,Adj Close
2004-05-18,30.93,31.0,29.94,30.36,857800,30.36
2004-05-19,30.5,31.5,30.32,30.62,1075600,30.62
2004-05-20,30.51,31.11,30.47,30.84,556700,30.84
2004-05-21,30.85,31.2,30.73,31.05,458900,31.05
2004-05-24,30.84,30.86,29.9,30.06,1491600,30.06
2004-05-25,29.81,30.08,28.93,29.95,1140000,29.95
2004-05-26,29.84,30.44,29.52,30.36,843300,30.36
2004-05-27,30.25,30.3,29.44,29.84,688300,29.84
2004-05-28,30.19,30.66,30.0,30.66,725700,30.66
2004-06-01,30.45,31.09,30.12,31.02,1201400,31.02
2004-06-02,31.09,32.5,30.86,32.17,1424800,32.17
2004-06-03,32.02,32.09,31.45,31.45,732700,31.45
2004-06-04,31.9,32.9,31.6,32.9,809300,32.9
2004-06-07,32.88,33.4,32.05,33.37,812800,33.37
2004-06-08,33.37,33.37,32.64,33.08,1272300,33.08
2004-06-09,33.0,33.04,31.09,31.27,2078300,31.27
2004-06-10,31.35,31.81,30.96,31.1,967900,31.1
2004-06-14,31.0,31.47,30.66,30.79,783800,30.79
2004-06-15,31.01,31.72,30.95,31.15,929100,31.15
2004-06-16,31.25,31.65,31.06,31.51,1473800,31.51
2004-06-17,31.14,31.15,29.74,29.78,2150800,29.78
2004-06-18,29.73,30.13,29.55,29.75,984900,29.75
2004-06-21,29.89,29.95,29.33,29.43,927600,29.43
2004-06-22,29.4,30.0,29.2,29.98,1159100,29.98
2004-06-23,29.68,29.91,29.33,29.81,1149800,29.81
2004-06-24,29.95,30.2,29.67,29.84,1094000,29.84
2004-06-25,29.92,30.05,29.69,29.71,905000,29.71
2004-06-28,30.04,30.48,29.69,29.95,789100,29.95
2004-06-29,29.93,30.05,29.29,29.8,888700,29.8
2004-06-30,29.85,30.01,29.45,30.0,784100,30.0
2004-07-01,29.98,29.98,28.7,29.19,1042100,29.19
2004-07-02,29.15,29.6,28.86,29.37,625300,29.37
2004-07-06,29.24,29.3,27.89,27.98,1004500,27.98
2004-07-07,28.06,28.97,27.93,28.46,1444700,28.46
2004-07-08,30.54,31.91,30.1,30.81,4775700,30.81
2004-07-09,30.62,31.93,30.6,31.88,1424200,31.88
2004-07-12,31.78,31.78,31.22,31.5,1857200,31.5
2004-07-13,31.5,31.8,31.11,31.37,1062000,31.37
2004-07-14,31.11,31.95,30.79,30.85,1430900,30.85
2004-07-15,30.87,31.5,30.75,31.28,932000,31.28
2004-07-16,31.42,31.49,30.75,30.85,764900,30.85
2004-07-19,30.95,31.18,29.73,30.36,982200,30.36
2004-07-20,30.33,31.21,30.16,31.18,550700,31.18
2004-07-21,31.25,31.25,30.0,30.06,570300,30.06
2004-07-22,30.02,30.81,29.39,30.53,727700,30.53
2004-07-23,30.46,30.46,29.42,29.43,585100,29.43
2004-07-26,29.52,29.74,29.04,29.65,580100,29.65
2004-07-27,29.53,30.29,29.41,30.27,591700,30.27
2004-07-28,30.23,30.27,29.03,29.67,488700,29.67
2004-07-29,29.9,30.47,29.75,30.47,584600,30.47
2004-07-30,30.42,30.5,29.67,30.04,501900,30.04
2004-08-02,29.87,29.94,29.18,29.86,628900,29.86
2004-08-03,29.76,29.88,28.4,28.59,1823800,28.59
2004-08-04,27.95,28.0,25.74,26.17,4775500,26.17
2004-08-05,26.23,26.73,25.48,25.51,1333400,25.51
2004-08-06,25.27,25.67,24.86,25.26,1392800,25.26
2004-08-09,25.35,25.4,24.56,24.81,1004000,24.81
2004-08-10,24.87,26.03,24.78,26.0,916100,26.0
2004-08-11,25.56,26.3,25.0,26.0,1189900,26.0
2004-08-12,26.06,26.06,25.2,25.55,1093800,25.55
2004-08-13,25.64,25.99,25.44,25.72,396000,25.72
2004-08-16,25.68,26.4,25.5,25.84,614000,25.84
2004-08-17,26.1,26.59,25.9,26.1,463700,26.1
2004-08-18,25.96,26.85,25.7,26.73,373700,26.73
2004-08-19,26.61,26.71,25.93,25.97,665700,25.97
2004-08-20,25.95,25.99,25.3,25.57,1185200,25.57
2004-08-23,25.75,27.43,25.7,26.85,1601600,26.85
2004-08-24,26.81,27.31,26.55,26.55,612600,26.55
2004-08-25,26.66,27.92,26.5,27.85,1040000,27.85
2004-08-26,27.9,27.94,27.45,27.56,652400,27.56
2004-08-27,27.62,28.29,27.5,28.13,451600,28.13
2004-08-30,28.0,28.1,27.01,27.11,520700,27.11
2004-08-31,27.27,27.47,27.02,27.25,387700,27.25
2004-09-01,27.29,27.69,27.18,27.56,356000,27.56
2004-09-02,27.32,28.1,27.15,27.94,377200,27.94
2004-09-03,27.86,28.13,27.5,27.82,384600,27.82
2004-09-07,27.98,28.23,27.47,27.69,283200,27.69
2004-09-08,27.67,28.21,27.16,27.45,637600,27.45
2004-09-09,27.43,27.79,27.02,27.2,895800,27.2
2004-09-10,27.16,28.13,27.03,27.71,744800,27.71
2004-09-13,27.49,28.13,27.2,27.33,1119700,27.33
2004-09-14,27.55,29.04,27.55,28.58,1286000,28.58
2004-09-15,28.45,28.45,27.88,27.97,1184300,27.97
2004-09-16,28.05,28.43,27.82,27.9,582500,27.9
2004-09-17,27.91,27.95,27.49,27.81,1072800,27.81
2004-09-20,27.71,27.73,27.45,27.51,416200,27.51
2004-09-21,27.5,28.08,27.49,27.69,1283400,27.69
2004-09-22,27.51,27.59,27.12,27.13,783400,27.13
2004-09-23,27.06,27.97,27.05,27.7,908300,27.7
