Date,Open,High,Low,Close,Volume,Adj Close
2004-05-24,20.33,20.5,20.04,20.31,2218100,20.31
2004-05-25,20.25,20.98,20.2,20.96,2005700,20.96
2004-05-26,20.79,21.06,20.5,20.88,1398700,20.88
2004-05-27,20.96,21.19,20.35,20.48,1969600,20.48
2004-05-28,20.52,21.1,20.41,20.97,1407200,20.97
2004-06-01,20.26,20.8,20.15,20.45,2968100,20.45
2004-06-02,20.36,20.43,19.9,20.1,3075500,20.1
2004-06-03,19.91,20.36,19.85,20.07,2159200,20.07
2004-06-04,20.2,20.75,20.11,20.16,2134200,20.16
2004-06-07,20.45,21.02,20.35,20.98,2056000,20.98
2004-06-08,20.83,21.27,20.47,20.78,2683300,20.78
2004-06-09,20.75,20.81,20.3,20.64,1654100,20.64
2004-06-10,20.63,20.93,20.42,20.55,1280300,20.55
2004-06-14,20.09,20.11,19.7,19.79,3241300,19.79
2004-06-15,20.0,20.08,19.44,19.78,2546400,19.78
2004-06-16,19.75,19.81,19.16,19.55,3245900,19.55
2004-06-17,19.37,19.76,19.34,19.5,2941400,19.5
2004-06-18,19.38,19.83,19.27,19.31,3507700,19.31
2004-06-21,19.52,19.55,18.79,18.86,2277400,18.86
2004-06-22,19.12,19.3,18.76,19.11,3549400,19.11
2004-06-23,19.0,19.22,18.8,19.14,2708600,19.14
2004-06-24,19.16,20.01,19.16,19.57,3153300,19.57
2004-06-25,19.72,19.9,19.51,19.87,2117200,19.87
2004-06-28,19.84,20.09,19.54,19.67,2086300,19.67
2004-06-29,19.81,20.43,19.72,20.22,3032700,20.22
2004-06-30,20.28,20.5,20.07,20.36,1657700,20.36
2004-07-01,20.0,20.0,18.97,19.16,5173700,19.16
2004-07-02,19.23,19.34,18.39,18.88,3519900,18.88
2004-07-06,18.85,19.06,17.73,17.96,5131000,17.96
2004-07-07,18.02,18.12,17.18,17.58,6716800,17.58
2004-07-08,17.22,17.81,17.05,17.35,3931700,17.35
2004-07-09,17.37,17.92,17.3,17.59,2298500,17.59
2004-07-12,17.55,17.95,17.37,17.9,2191200,17.9
2004-07-13,17.91,18.0,17.09,17.29,2218300,17.29
2004-07-14,17.05,17.35,16.57,16.78,2867400,16.78
2004-07-15,16.6,17.45,16.5,17.07,1957700,17.07
2004-07-16,17.26,17.33,16.61,16.62,1881900,16.62
2004-07-19,16.73,17.01,16.51,16.72,1834500,16.72
2004-07-20,17.15,17.27,16.62,17.2,1869200,17.2
2004-07-21,17.22,17.57,16.42,16.5,3625600,16.5
2004-07-22,16.76,17.21,16.1,16.86,4786000,16.86
2004-07-23,16.73,17.06,16.57,16.7,1451700,16.7
2004-07-26,16.67,17.18,16.65,16.93,2014400,16.93
2004-07-27,17.09,17.4,17.0,17.29,1530000,17.29
2004-07-28,17.3,17.34,16.76,17.13,1428400,17.13
2004-07-29,17.27,17.35,17.07,17.34,1733500,17.34
2004-07-30,17.35,17.71,17.32,17.62,1533400,17.62
2004-08-02,17.53,17.55,17.01,17.55,2161700,17.55
2004-08-03,17.57,17.57,16.36,16.41,2244100,16.41
2004-08-04,16.4,16.45,15.84,15.9,3732400,15.9
2004-08-05,16.1,16.13,15.34,15.5,2784300,15.5
2004-08-06,15.5,15.58,15.06,15.09,1662600,15.09
2004-08-09,15.11,15.7,15.02,15.5,2190300,15.5
2004-08-10,15.83,15.99,15.51,15.98,1508000,15.98
2004-08-11,15.66,15.81,15.44,15.74,1355300,15.74
2004-08-12,15.83,15.86,15.32,15.41,1365700,15.41
2004-08-13,15.35,15.74,15.35,15.56,991300,15.56
2004-08-16,15.68,16.1,15.54,15.95,1025900,15.95
2004-08-17,16.02,16.21,15.77,15.81,929600,15.81
