Date,Open,High,Low,Close,Volume,Adj Close
2004-04-28,21.47,21.61,20.3,20.66,1837300,20.66
2004-04-29,20.77,22.49,20.76,21.54,2667100,21.54
2004-04-30,21.69,22.05,21.31,21.38,1597500,21.38
2004-05-03,21.6,21.64,21.05,21.27,872500,21.27
2004-05-04,21.21,22.0,21.14,21.7,1058300,21.7
2004-05-05,21.78,22.72,21.64,22.33,1494100,22.33
2004-05-06,19.93,21.16,18.63,19.75,7563600,19.75
2004-05-07,19.36,19.59,18.41,18.51,4442500,18.51
2004-05-10,18.0,18.58,17.79,18.05,2275800,18.05
2004-05-11,18.32,18.54,18.11,18.43,1676300,18.43
2004-05-12,18.5,19.21,18.0,19.0,2504900,19.0
2004-05-13,18.94,19.73,18.64,19.4,2404900,19.4
2004-05-14,19.32,19.46,18.83,19.06,1184200,19.06
2004-05-17,18.86,19.07,18.34,18.73,1206800,18.73
2004-05-18,18.88,19.39,18.65,19.36,1499600,19.36
2004-05-19,19.46,19.83,19.23,19.33,1408000,19.33
2004-05-20,19.5,19.51,19.17,19.44,1653800,19.44
2004-05-21,19.4,20.34,19.4,20.26,3170100,20.26
2004-05-24,20.35,20.72,20.14,20.71,2322000,20.71
2004-05-25,20.72,21.43,20.54,21.35,2309000,21.35
2004-05-26,21.38,21.43,21.09,21.32,1584000,21.32
2004-05-27,21.31,21.93,21.19,21.84,2070700,21.84
2004-05-28,21.95,22.1,21.7,21.9,1357000,21.9
2004-06-01,21.81,22.71,21.79,22.71,2332700,22.71
2004-06-02,22.67,23.05,22.58,22.9,1744900,22.9
2004-06-03,22.75,22.91,22.52,22.6,1713900,22.6
2004-06-04,22.75,22.88,22.44,22.61,1334700,22.61
2004-06-07,22.7,23.41,22.65,23.34,1381700,23.34
2004-06-08,23.35,23.57,22.76,23.03,1923700,23.03
2004-06-09,23.1,23.22,21.74,22.09,2206000,22.09
2004-06-10,22.19,22.29,21.66,21.99,1823000,21.99
2004-06-14,21.99,22.07,21.48,21.63,1439400,21.63
2004-06-15,21.56,22.22,21.56,21.93,1119600,21.93
2004-06-16,22.03,22.05,21.7,22.01,599800,22.01
2004-06-17,22.4,22.95,22.19,22.61,1217100,22.61
2004-06-18,22.41,23.52,22.33,23.2,1689200,23.2
2004-06-21,23.23,24.02,23.2,23.59,2045500,23.59
2004-06-22,23.54,23.66,23.05,23.3,2176700,23.3
2004-06-23,23.09,23.99,22.93,23.91,1428100,23.91
2004-06-24,24.13,24.13,23.6,23.82,1075800,23.82
2004-06-25,23.84,28.48,23.42,23.84,4168900,23.84
2004-06-28,23.96,24.29,23.64,23.79,1479200,23.79
2004-06-29,23.85,25.07,23.76,24.88,2115800,24.88
2004-06-30,24.88,25.37,24.69,25.37,2122100,25.37
2004-07-01,24.99,25.18,23.96,24.17,2254600,24.17
2004-07-02,24.14,24.27,23.86,24.18,990100,24.18
2004-07-06,24.09,24.09,23.44,23.64,1259800,23.64
2004-07-07,23.65,24.48,23.65,24.04,1178200,24.04
2004-07-08,24.04,24.09,23.53,23.74,853300,23.74
2004-07-09,23.76,23.99,23.27,23.86,682200,23.86
2004-07-12,23.82,24.03,23.82,23.95,964700,23.95
2004-07-13,24.08,24.17,23.46,23.72,1104800,23.72
2004-07-14,23.78,24.31,23.53,24.08,875600,24.08
2004-07-15,23.94,24.35,23.91,23.93,1018600,23.93
2004-07-16,24.09,24.26,23.83,23.99,667100,23.99
2004-07-19,24.05,24.57,23.98,24.45,1803300,24.45
2004-07-20,24.5,24.75,24.21,24.74,1026700,24.74
2004-07-21,24.66,24.85,23.85,23.9,1043600,23.9
2004-07-22,23.9,23.98,22.8,23.47,1148400,23.47
2004-07-23,23.45,23.47,22.63,22.85,765200,22.85
2004-07-26,22.87,23.13,21.78,22.04,1283100,22.04
2004-07-27,22.06,22.55,22.02,22.4,996300,22.4
2004-07-28,22.28,22.3,21.32,21.52,1719800,21.52
2004-07-29,21.51,22.29,21.51,21.79,836100,21.79
2004-07-30,22.09,24.75,21.97,24.1,3419000,24.1
2004-08-02,23.88,24.05,23.15,23.92,1284500,23.92
2004-08-20,23.48,23.77,23.28,23.64,494600,23.64
2004-08-23,23.62,23.97,23.13,23.19,609000,23.19
2004-08-24,23.23,23.61,22.99,23.21,374500,23.21
2004-08-25,23.25,23.5,22.9,23.43,364600,23.43
2004-08-26,23.38,23.92,23.29,23.66,716900,23.66
2004-08-27,23.65,24.03,23.51,23.92,406100,23.92
2004-08-30,24.01,24.03,22.8,22.92,745300,22.92
2004-08-31,22.91,23.97,22.84,23.96,941400,23.96
2004-09-01,23.97,24.25,23.35,23.72,880600,23.72
2004-09-02,23.89,24.01,23.61,23.84,507400,23.84
2004-09-03,23.88,24.04,23.3,23.88,608400,23.88
2004-09-07,23.81,24.61,23.69,24.05,1009800,24.05
2004-09-08,24.2,24.24,23.46,23.51,760100,23.51
2004-09-09,23.54,23.73,23.28,23.52,826900,23.52
2004-09-10,23.61,23.65,23.13,23.37,772000,23.37
2004-09-13,23.47,23.6,23.36,23.46,907800,23.46
2004-09-14,23.4,24.01,23.24,23.57,1365700,23.57
2004-09-15,23.69,24.4,23.41,24.17,1257400,24.17
2004-09-16,24.28,24.48,24.07,24.18,402200,24.18
2004-09-17,24.17,24.39,23.98,24.19,662100,24.19
2004-09-20,24.29,24.74,24.01,24.21,885000,24.21
2004-09-21,24.08,25.0,24.08,24.89,738600,24.89
2004-09-22,24.76,24.92,24.22,24.4,557100,24.4
2004-09-23,24.37,24.45,24.14,24.29,690300,24.29
2004-09-24,24.3,24.93,24.26,24.77,529700,24.77
2004-09-27,24.6,24.66,23.56,23.66,1028000,23.66
2004-09-28,23.73,24.38,23.62,24.35,970100,24.35
2004-09-29,24.39,24.4,24.14,24.29,556200,24.29
2004-09-30,24.25,24.42,23.9,24.15,525000,24.15
2004-10-01,24.21,24.42,23.9,23.93,824600,23.93
2004-10-04,23.99,25.26,23.51,25.23,2162800,25.23
2004-10-05,25.98,27.0,25.76,26.56,3173900,26.56
2004-10-06,26.56,26.56,25.95,26.49,1564100,26.49
2004-10-07,26.36,26.84,26.13,26.54,1471100,26.54
2004-10-08,26.5,27.24,26.47,26.5,1383600,26.5
2004-10-11,26.64,26.68,26.1,26.49,779300,26.49
2004-10-12,26.4,26.48,26.0,26.41,529600,26.41
2004-10-13,26.29,26.42,25.27,25.52,1119800,25.52
2004-10-14,25.47,26.23,25.44,25.51,484700,25.51
2004-10-15,25.58,27.02,25.55,26.25,2221100,26.25
2004-10-18,26.16,28.71,25.91,27.89,4586600,27.89
2004-10-19,28.49,28.6,26.91,27.06,2105300,27.06
2004-10-20,26.93,27.15,26.5,27.03,1041700,27.03
2004-10-21,26.94,27.12,26.64,26.88,530500,26.88
2004-10-22,27.0,27.02,26.27,26.36,563600,26.36
2004-10-25,26.26,26.38,25.75,26.1,1002000,26.1
2004-10-26,26.12,27.5,26.0,26.93,1575600,26.93
2004-10-27,27.06,27.51,26.88,27.38,1619800,27.38
2004-10-28,26.46,27.0,24.85,25.62,6346500,25.62
2004-10-29,25.41,26.09,25.28,26.09,2392800,26.09
2004-11-01,26.17,26.25,25.55,25.78,1649800,25.78
2004-11-02,25.86,25.87,24.92,25.09,1752500,25.09
2004-11-03,25.47,25.87,25.36,25.55,889600,25.55
2004-11-04,25.4,25.49,25.1,25.35,826600,25.35
2004-11-05,25.35,26.0,25.09,25.69,924500,25.69
2004-11-08,25.63,25.79,25.15,25.54,1378800,25.54
2004-11-09,25.56,26.23,25.35,26.09,1508900,26.09
2004-11-10,26.4,26.76,26.04,26.05,911600,26.05
2004-11-11,26.21,27.14,26.09,26.75,1256600,26.75
2004-11-12,26.78,27.04,26.73,26.98,631700,26.98
2004-11-15,26.71,27.07,26.7,27.0,1048800,27.0
2004-11-16,26.83,26.94,26.5,26.73,812300,26.73
2004-11-17,26.91,27.24,26.56,26.7,1057500,26.7
2004-11-18,26.69,26.88,26.35,26.67,828500,26.67
2004-11-19,26.6,26.71,26.02,26.02,559600,26.02
2004-11-22,25.93,26.03,25.63,25.92,537700,25.92
2004-11-23,25.55,26.66,25.55,26.42,603700,26.42
2004-11-24,26.38,26.84,26.29,26.69,443600,26.69
2004-11-26,26.83,26.99,26.68,26.82,141600,26.82
2004-11-29,26.87,27.0,26.6,26.65,526500,26.65
2004-11-30,26.64,27.1,26.6,26.84,576000,26.84
2004-12-01,26.84,27.3,26.75,27.25,661000,27.25
2004-12-02,27.25,27.51,26.81,27.29,695600,27.29
2004-12-03,27.48,27.85,27.38,27.75,863700,27.75
2004-12-06,27.8,27.8,27.3,27.33,545300,27.33
2004-12-07,27.34,27.45,26.51,26.57,482100,26.57
2004-12-08,26.44,27.61,26.44,27.48,807400,27.48
2004-12-09,27.27,27.42,26.76,27.29,583500,27.29
2004-12-10,27.02,27.3,26.85,27.18,474500,27.18
2004-12-13,27.15,27.68,27.01,27.48,1110600,27.48
2004-12-14,27.4,28.13,26.96,27.39,1549600,27.39
2004-12-15,27.6,28.48,27.37,28.44,1328300,28.44
2004-12-16,28.43,29.05,28.4,28.62,1467300,28.62
2004-12-17,28.32,28.6,28.03,28.55,757000,28.55
2004-12-20,28.46,28.6,27.94,28.2,449700,28.2
2004-12-21,28.43,28.43,27.55,27.7,682200,27.7
2004-12-22,27.55,27.75,27.08,27.23,663200,27.23
2004-12-23,27.08,27.37,27.08,27.33,407700,27.33
2004-12-27,27.31,27.6,27.14,27.39,423400,27.39
2004-12-28,27.54,28.01,27.39,28.01,458200,28.01
2004-12-29,27.82,27.9,27.51,27.75,352300,27.75
2004-12-30,27.8,28.0,27.7,27.98,306200,27.98
2004-12-31,27.89,27.91,27.51,27.57,326800,27.57
2005-01-03,27.59,27.78,26.19,26.56,944400,26.56
2005-01-04,26.9,26.98,25.21,25.53,2156100,25.53
2005-01-05,25.4,25.46,24.21,25.29,1273400,25.29
2005-01-06,25.4,25.48,25.01,25.2,610700,25.2
2005-01-07,25.71,25.73,25.11,25.37,1314200,25.37
2005-01-10,25.5,25.65,25.21,25.4,789900,25.4
2005-01-11,25.35,25.41,24.37,24.77,1346100,24.77
2005-01-12,24.74,25.19,23.43,25.0,1467700,25.0
2005-01-13,24.99,25.5,24.96,25.25,1217400,25.25
2005-01-14,25.25,25.49,25.0,25.42,816000,25.42
2005-01-18,25.39,25.76,25.25,25.74,493300,25.74
2005-01-19,25.73,25.78,25.49,25.58,597900,25.58
2005-01-20,25.55,25.91,25.5,25.68,801700,25.68
2005-01-21,25.7,25.72,25.26,25.3,756900,25.3
2005-01-24,25.27,25.38,24.7,24.77,605400,24.77
2005-01-25,24.72,25.15,24.25,24.41,958400,24.41
2005-01-26,24.48,24.68,24.16,24.5,1627200,24.5
2005-01-27,24.48,24.77,24.26,24.63,497700,24.63
2005-01-28,24.71,24.78,24.24,24.38,387200,24.38
2005-01-31,24.3,25.24,24.18,25.05,603000,25.05
2005-02-01,25.0,25.22,24.7,24.93,555700,24.93
2005-02-02,24.93,25.18,24.32,24.44,610900,24.44
2005-02-03,25.51,26.13,25.3,26.08,2335500,26.08
2005-02-04,26.0,26.09,25.27,25.51,1391500,25.51
2005-02-07,25.4,25.97,25.29,25.42,1026800,25.42
2005-02-08,25.3,25.73,25.14,25.18,505700,25.18
2005-02-09,25.28,25.52,24.19,24.31,799100,24.31
2005-02-10,23.98,25.12,22.59,24.4,2795800,24.4
2005-02-11,24.33,24.52,23.76,23.92,1137500,23.92
2005-02-14,23.77,23.96,22.95,23.33,1667300,23.33
2005-02-15,23.33,24.07,23.24,23.8,1507500,23.8
2005-02-16,23.67,24.48,23.67,24.46,1383700,24.46
2005-02-17,24.41,24.81,24.2,24.3,1165600,24.3
2005-02-18,24.33,24.42,23.85,24.01,1077300,24.01
2005-02-22,23.95,24.01,23.67,23.7,660300,23.7
2005-02-23,23.65,24.11,23.44,23.55,640900,23.55
2005-02-24,23.56,23.65,22.67,23.11,1746200,23.11
2005-02-25,23.0,23.14,22.84,22.85,924400,22.85
2005-02-28,22.84,23.06,22.58,22.8,1307400,22.8
2005-03-01,22.79,23.65,22.75,23.51,1505600,23.51
2005-03-02,23.5,23.82,22.72,22.91,2186900,22.91
2005-03-03,23.04,23.06,22.18,22.32,1167900,22.32
2005-03-04,22.29,23.37,22.29,23.23,1395200,23.23
2005-03-07,23.16,23.23,22.81,23.07,1106200,23.07
2005-03-08,23.0,23.16,21.82,22.47,1437400,22.47
2005-03-09,22.5,22.59,22.02,22.06,1033900,22.06
2005-03-10,21.95,22.26,21.75,21.86,1129900,21.86
2005-03-11,21.84,22.22,21.62,22.16,1201200,22.16
2005-03-14,21.98,22.36,21.85,22.13,1113100,22.13
2005-03-15,22.25,22.49,22.07,22.26,936600,22.26
2005-03-16,22.15,22.37,21.76,21.8,1579800,21.8
2005-03-17,21.74,22.04,21.43,21.57,1360500,21.57
2005-03-18,21.65,21.65,21.02,21.28,1857500,21.28
2005-03-21,21.3,21.65,21.02,21.65,699100,21.65
2005-03-22,21.63,22.08,21.6,21.7,1785800,21.7
2005-03-23,21.68,22.32,21.63,22.2,844400,22.2
2005-03-24,22.13,23.23,22.13,22.91,1852900,22.91
2005-03-28,22.89,23.26,22.88,23.19,1148600,23.19
2005-03-29,23.19,23.54,22.96,23.02,1218500,23.02
2005-03-30,22.96,23.28,22.8,23.27,854300,23.27
2005-03-31,23.23,23.26,22.8,23.01,1510100,23.01
2005-04-01,23.01,23.15,22.96,23.03,884400,23.03
2005-04-04,23.07,23.09,22.8,22.94,865600,22.94
2005-04-05,22.85,22.91,22.6,22.83,747400,22.83
2005-04-06,22.9,22.91,22.59,22.82,719700,22.82
2005-04-07,22.78,22.9,22.65,22.85,699300,22.85
2005-04-08,23.0,23.2,22.68,23.1,967600,23.1
2005-04-11,23.05,23.3,22.64,22.78,878400,22.78
2005-04-12,22.71,22.8,22.38,22.7,600900,22.7
2005-04-13,22.71,22.81,22.46,22.6,1038300,22.6
2005-04-14,22.64,22.86,22.28,22.4,862900,22.4
2005-04-15,22.35,22.49,22.1,22.2,843100,22.2
2005-04-18,22.2,22.25,21.85,21.97,962200,21.97
2005-04-19,21.97,22.5,21.88,22.44,882900,22.44
2005-04-20,22.32,22.57,21.98,22.05,920800,22.05
2005-04-21,22.17,22.35,22.0,22.27,673600,22.27
2005-04-22,22.25,22.27,21.8,22.14,584300,22.14
2005-04-25,22.03,22.62,22.0,22.47,817800,22.47
2005-04-26,22.6,22.61,21.99,21.99,427400,21.99
2005-04-27,21.99,21.99,21.32,21.9,1195500,21.9
2005-04-28,21.42,21.7,19.83,21.26,4754500,21.26
2005-04-29,21.3,21.7,21.04,21.31,957900,21.31
2006-12-19,28.32,28.66,28.16,28.49,1258400,28.49
2006-12-20,28.61,28.96,28.51,28.84,765000,28.84
2006-12-21,28.84,29.0,28.29,28.43,425300,28.43
2006-12-22,28.51,28.56,28.21,28.41,456500,28.41
2006-12-26,28.3,28.56,28.15,28.51,336300,28.51
2006-12-27,28.63,28.9,28.59,28.69,205600,28.69
2006-12-28,28.59,28.62,28.36,28.42,299700,28.42
2006-12-29,28.42,28.64,28.23,28.3,306000,28.3
2007-01-03,28.35,28.9,28.35,28.69,941400,28.69
2007-01-04,28.69,28.98,28.65,28.73,900500,28.73
2007-01-05,28.69,29.0,28.36,28.96,800700,28.96
2007-01-08,29.0,29.5,29.0,29.38,1313400,29.38
2007-01-09,29.39,29.39,28.66,29.05,1102400,29.05
2007-01-10,28.9,29.12,28.66,29.05,627600,29.05
2007-01-11,29.1,29.37,29.07,29.19,955300,29.19
2007-01-12,29.14,29.27,28.84,28.99,854200,28.99
2007-01-16,28.99,29.08,28.5,28.68,1290700,28.68
2007-01-17,28.52,29.0,28.47,28.96,632700,28.96
2007-01-18,28.92,29.01,28.54,28.82,1046200,28.82
2007-01-19,28.74,28.77,28.49,28.51,435900,28.51
2007-01-22,28.56,28.61,28.12,28.24,459900,28.24
2007-01-23,28.15,28.48,28.12,28.17,489400,28.17
2007-01-24,28.3,28.46,28.26,28.3,596800,28.3
2007-01-25,28.2,28.32,28.07,28.11,472300,28.11
