Date,Open,High,Low,Close,Volume,Adj Close
2006-12-29,16.11,16.22,16.06,16.09,718200,16.09
2007-01-03,16.17,16.56,16.09,16.49,3000000,16.49
2007-01-04,16.5,16.66,16.28,16.42,2364500,16.42
2007-01-05,16.43,16.54,16.14,16.31,917400,16.31
2007-01-08,16.29,16.82,16.21,16.62,2889500,16.62
2007-01-09,16.69,16.77,16.49,16.51,820900,16.51
2007-01-10,16.43,16.65,16.4,16.63,867000,16.63
2007-01-11,16.7,16.86,16.7,16.77,1386600,16.77
2007-01-12,16.8,16.94,16.7,16.9,1194200,16.9
2007-01-16,16.9,17.39,16.77,17.34,2224200,17.34
2007-01-17,17.35,17.4,17.1,17.12,1010600,17.12
2007-01-18,17.31,17.44,17.04,17.19,1159000,17.19
2007-01-19,17.13,17.27,16.93,17.17,1107600,17.17
2007-01-22,17.17,17.33,16.79,17.01,994700,17.01
2007-01-23,16.89,17.19,16.86,16.98,742600,16.98
2007-01-24,16.98,17.24,16.9,17.09,566100,17.09
2007-01-25,16.87,16.96,16.51,16.62,934000,16.62
2007-01-26,16.68,16.71,16.33,16.43,977100,16.43
2007-01-29,16.35,16.82,16.33,16.73,914500,16.73
2007-01-30,16.58,16.73,16.47,16.51,760900,16.51
2007-01-31,16.59,16.6,16.28,16.57,972600,16.57
2007-02-01,16.56,16.84,16.56,16.71,822200,16.71
2007-02-02,16.72,16.78,16.39,16.58,689100,16.58
2007-02-05,16.51,16.59,16.3,16.43,813700,16.43
2007-02-06,16.55,16.57,16.11,16.22,1789000,16.22
2007-02-07,16.25,16.27,16.1,16.13,1500400,16.13
2007-02-08,16.11,16.31,16.05,16.16,974600,16.16
2007-02-09,16.13,16.25,15.89,16.05,1035700,16.05
2007-02-12,16.04,16.2,16.0,16.16,1154000,16.16
2007-02-13,16.12,16.37,16.1,16.33,1280100,16.33
2007-02-14,16.4,16.85,16.31,16.52,1518500,16.52
2007-02-15,16.47,16.64,16.45,16.61,612100,16.61
2007-02-16,16.58,16.65,16.38,16.39,1125600,16.39
2007-02-20,16.34,16.6,16.31,16.58,728300,16.58
2007-02-21,16.59,16.6,16.36,16.44,453400,16.44
2007-02-22,16.4,16.51,16.24,16.27,922700,16.27
2007-02-23,16.35,16.41,16.19,16.2,911200,16.2
2007-02-26,16.29,16.32,16.19,16.26,1007200,16.26
2007-02-27,16.2,16.36,15.88,15.89,1543700,15.89
2007-02-28,15.95,16.5,15.9,16.06,1761500,16.06
2007-03-01,15.81,16.54,15.52,16.18,1918800,16.18
2007-03-02,16.2,16.2,15.91,15.98,1054500,15.98
2007-03-05,15.9,16.02,15.64,15.96,1420100,15.96
2007-03-06,16.04,17.01,15.8,16.79,3629200,16.79
2007-03-07,16.81,17.11,16.6,17.01,1921100,17.01
2007-03-08,17.07,17.24,16.88,17.15,2174000,17.15
2007-03-09,17.25,17.26,17.11,17.24,2280500,17.24
2007-03-12,17.16,17.21,17.06,17.21,1915200,17.21
2007-03-13,16.94,17.21,16.92,16.97,1726200,16.97
2007-03-14,16.92,17.0,16.81,16.95,1503900,16.95
2007-03-15,16.97,17.03,16.93,17.0,1294900,17.0
2007-03-16,16.97,17.12,16.92,17.11,2013700,17.11
2007-03-19,17.18,17.45,17.11,17.29,1847100,17.29
2007-03-20,17.3,17.31,17.03,17.08,2050800,17.08
2007-03-21,17.18,17.9,17.08,17.9,3412900,17.9
2007-03-22,17.9,18.03,17.6,17.7,2281700,17.7
2007-03-23,17.75,18.39,17.66,18.35,3794300,18.35
2007-03-26,18.39,18.39,18.2,18.26,1955700,18.26
2007-03-27,18.25,18.32,18.17,18.3,1881000,18.3
2007-03-28,18.28,18.39,18.08,18.31,2831600,18.31
2007-03-29,18.8,19.47,18.46,19.43,4854700,19.43
2007-03-30,19.34,19.48,19.05,19.13,2652000,19.13
2007-04-02,19.13,19.35,19.12,19.35,3238200,19.35
2007-04-03,19.46,20.04,19.36,19.75,4270000,19.75
2007-04-04,19.78,20.08,19.7,20.08,3341300,20.08
2007-04-05,20.14,20.15,19.88,19.99,2214000,19.99
2007-10-23,27.77,28.25,27.1,28.24,1407600,28.24
2007-10-24,28.06,28.24,27.77,28.21,1239400,28.21
2007-10-25,28.47,29.0,28.24,28.6,1797700,28.6
2007-10-26,29.0,29.0,28.37,28.49,6991200,28.49
2007-10-29,28.56,28.57,28.15,28.28,1476500,28.28
2007-10-30,28.12,28.18,27.84,28.03,1655600,28.03
2007-10-31,28.18,28.51,27.9,28.51,1463700,28.51
2007-11-01,28.44,28.75,27.69,27.78,1443700,27.78
2007-11-02,28.08,28.17,27.52,28.05,1837000,28.05
2007-11-05,27.83,27.85,26.88,27.14,5360400,27.14
2007-11-06,27.23,27.71,26.93,27.47,2043400,27.47
2007-11-07,27.18,27.39,26.77,26.96,2114700,26.96
2007-11-08,26.83,26.84,24.88,26.0,7879900,26.0
2007-11-09,25.51,26.0,25.11,25.37,2996300,25.37
2007-11-12,25.39,25.7,23.44,23.48,2719800,23.48
2007-11-13,23.59,23.92,23.14,23.85,2464700,23.85
2007-11-14,23.89,24.33,23.16,23.24,1799900,23.24
2007-11-15,23.07,23.65,23.06,23.32,1973500,23.32
2007-11-16,23.48,23.51,22.9,23.25,2031000,23.25
2007-11-19,23.11,23.22,22.55,22.83,2077100,22.83
2007-11-20,23.1,24.07,22.82,23.72,3327600,23.72
2007-11-21,23.72,23.8,22.97,23.36,1779700,23.36
2007-11-23,23.56,23.56,23.18,23.23,612900,23.23
2007-11-26,23.09,23.57,22.56,22.61,1817200,22.61
2007-11-27,22.87,23.28,22.6,22.88,1842600,22.88
2007-11-28,23.25,23.98,23.02,23.87,2937400,23.87
2007-11-29,23.69,24.27,23.68,24.16,2798000,24.16
2007-11-30,24.27,24.8,24.19,24.46,2053500,24.46
2007-12-03,25.19,26.37,25.19,26.12,2546200,26.12
2007-12-04,26.38,26.38,25.6,26.2,2751100,26.2
2007-12-05,26.2,26.28,25.69,25.91,1572600,25.91
2007-12-06,25.92,27.57,25.81,27.5,1781600,27.5
2007-12-07,27.59,27.64,26.88,27.24,2395000,27.24
2007-12-10,27.37,27.71,26.7,26.96,3474200,26.96
2007-12-11,27.15,27.5,26.57,26.72,2256100,26.72
2007-12-12,27.2,27.43,26.82,27.42,1682600,27.42
2007-12-13,28.35,28.35,25.88,26.69,4363200,26.69
2007-12-14,26.39,26.98,26.12,26.61,1723400,26.61
2007-12-17,26.44,26.73,25.21,25.26,2374600,25.26
2007-12-18,25.58,25.87,25.21,25.58,1933900,25.58
2007-12-19,25.49,25.63,24.91,25.18,1129600,25.18
2007-12-20,25.4,25.54,24.95,25.48,1119700,25.48
2007-12-21,25.71,25.79,25.08,25.79,1700500,25.79
2007-12-24,25.89,25.89,24.6,25.68,366500,25.68
2007-12-26,25.93,25.94,25.43,25.71,516800,25.71
2007-12-27,25.58,25.77,25.03,25.1,761700,25.1
2007-12-28,25.0,25.27,24.74,25.06,862500,25.06
