Date,Open,High,Low,Close,Volume,Adj Close
2004-03-15,35.55,35.7,34.51,34.54,2203100,34.54
2004-03-16,34.78,35.16,34.35,34.56,1679100,34.56
2004-03-17,34.75,35.21,34.25,34.86,1656200,34.86
2004-03-18,34.58,34.73,33.43,33.75,4957300,33.75
2004-03-19,33.72,34.02,32.97,33.1,2210500,33.1
2004-03-22,33.0,33.7,32.92,33.65,2667800,33.65
2004-03-23,33.73,34.16,33.02,33.02,2020000,33.02
2004-03-24,33.17,33.55,32.95,33.49,2211300,33.49
2004-03-25,33.55,34.8,33.49,34.64,2832100,34.64
2004-03-26,33.66,34.55,32.98,33.7,7522900,33.7
2004-03-29,33.42,33.48,32.32,32.59,6249600,32.59
2004-03-30,32.45,32.85,32.24,32.4,3427900,32.4
2004-03-31,32.54,32.97,32.22,32.75,2943600,32.75
2004-04-01,32.97,33.42,32.94,33.24,2816300,33.24
2004-04-02,33.68,33.75,32.98,32.99,2245800,32.99
2004-04-05,33.05,33.1,32.47,32.73,2831800,32.73
2004-04-06,32.61,33.16,32.55,32.97,1964500,32.97
2004-04-07,33.05,33.12,32.63,32.96,1580100,32.96
2004-04-08,33.17,33.5,32.87,33.08,1816700,33.08
2004-04-12,33.17,34.3,33.11,33.78,2134100,33.78
2004-04-13,34.0,34.1,33.24,33.35,2035300,33.35
2004-04-14,33.23,33.71,33.05,33.62,1288400,33.62
2004-04-15,33.79,33.8,33.03,33.21,1263900,33.21
2004-04-16,33.03,33.2,32.95,33.01,2004100,33.01
2004-04-19,33.16,33.26,32.91,33.21,1438900,33.21
2004-04-20,33.42,33.47,32.82,32.83,2117900,32.83
2004-04-21,33.06,34.38,32.75,34.08,3774600,34.08
2004-04-22,33.85,34.91,33.84,34.65,3092300,34.65
2004-04-23,34.61,34.64,34.02,34.48,1438400,34.48
2004-04-26,34.42,34.85,34.07,34.47,1264100,34.47
2004-04-27,34.55,34.67,33.89,34.03,1853200,34.03
2004-04-28,34.36,34.36,33.3,33.33,1958100,33.33
2004-04-29,33.46,33.71,32.89,33.04,2692000,33.04
2004-04-30,33.87,33.89,33.13,33.19,2094100,33.19
2004-05-03,33.64,34.17,33.47,33.88,3042700,33.88
2004-05-04,34.01,34.43,33.66,33.89,2914600,33.89
2004-05-05,33.89,34.68,33.85,34.29,2267000,34.29
2004-05-06,33.5,33.51,31.78,32.25,8123200,32.25
2004-05-07,32.14,32.15,30.9,31.62,5177500,31.62
2004-05-10,31.42,31.6,29.27,29.54,7096500,29.54
2004-05-11,29.72,30.23,29.71,29.99,3357100,29.99
2004-05-12,29.75,30.18,29.35,30.18,3028200,30.18
2004-05-13,30.09,30.59,29.99,30.56,2857600,30.56
2004-05-14,30.55,30.94,30.11,30.27,2639600,30.27
2004-05-17,30.08,30.25,29.5,29.79,2927700,29.79
2004-05-18,29.95,30.66,29.86,30.38,3076500,30.38
2004-05-19,30.56,31.05,30.45,30.57,2916100,30.57
2004-05-20,30.56,31.45,30.51,31.18,2972100,31.18
2004-05-21,31.39,31.85,31.3,31.83,2128800,31.83
2004-05-24,31.94,32.32,31.38,31.82,2450300,31.82
2004-05-25,31.87,32.83,31.5,32.27,2733000,32.27
2004-05-26,32.41,32.8,32.22,32.73,1905600,32.73
2004-05-27,32.85,32.85,32.18,32.74,1471300,32.74
2004-05-28,32.66,32.72,31.7,32.16,2025700,32.16
2004-06-01,31.92,32.11,31.62,31.71,2611500,31.71
2004-06-02,31.85,31.91,31.27,31.42,2811700,31.42
2004-06-03,31.23,31.53,31.04,31.06,1898800,31.06
2004-06-04,31.08,32.09,31.05,31.34,1682300,31.34
2004-06-07,31.41,32.12,31.4,31.79,2333900,31.79
2004-06-08,31.75,31.87,31.34,31.49,2119900,31.49
2004-06-09,31.36,31.7,31.36,31.45,3531400,31.45
2004-06-10,31.7,31.9,31.56,31.68,2333300,31.68
2004-06-14,31.5,31.57,30.59,31.11,2030800,31.11
2004-06-15,31.4,31.75,31.3,31.3,1664200,31.3
2004-06-16,31.39,31.39,30.87,30.95,1831400,30.95
2004-06-17,31.08,31.28,30.83,30.86,1401900,30.86
2004-07-22,27.9,29.25,27.8,29.17,4855300,29.17
2004-07-23,29.02,29.11,28.34,28.9,2022900,28.9
2004-07-26,28.9,29.05,28.36,28.55,2129900,28.55
2004-07-27,28.68,28.9,28.19,28.43,1867900,28.43
