Date,Open,High,Low,Close,Volume,Adj Close
2004-03-16,73.98,75.72,73.92,74.24,1572900,74.24
2004-03-17,74.25,75.65,73.85,75.09,634100,75.09
2004-03-18,74.91,75.23,73.84,74.68,751600,74.68
2004-03-19,74.37,75.5,73.5,73.91,854400,73.91
2004-03-22,74.4,74.41,73.03,73.53,837400,73.53
2004-03-23,73.75,73.97,72.65,73.0,787900,73.0
2004-03-24,72.69,73.62,72.66,72.99,1944500,72.99
2004-03-25,73.19,74.6,73.08,74.0,1348200,74.0
2004-03-26,73.7,74.16,73.23,73.23,913700,73.23
2004-03-29,73.4,74.14,73.29,73.87,965100,73.87
2004-03-30,73.8,74.28,73.31,74.17,955000,74.17
2004-03-31,74.04,75.0,74.01,74.55,1633700,74.55
2004-04-01,73.86,74.64,73.7,74.35,1213700,74.35
2004-04-02,74.9,75.51,74.38,75.36,1240300,75.36
2004-04-05,75.07,78.45,75.04,77.95,1290000,77.95
2004-04-06,77.61,78.58,77.09,77.45,595600,77.45
2004-04-07,77.22,77.7,76.49,76.8,683900,76.8
2004-04-08,76.35,77.01,75.6,76.49,778400,76.49
2004-04-12,76.59,78.0,76.51,77.58,632900,77.58
2004-04-13,77.58,78.1,76.3,76.66,672900,76.66
2004-04-14,76.49,77.54,75.7,76.35,884400,76.35
2004-04-15,76.77,76.8,75.0,76.01,1010900,76.01
2004-04-16,76.04,77.91,75.65,77.22,802500,77.22
2004-04-19,77.25,78.88,77.1,78.61,803800,78.61
2004-04-20,78.71,79.45,78.1,78.15,895100,78.15
2004-04-21,78.15,80.0,78.07,79.36,906500,79.36
2004-04-22,79.09,79.97,78.1,79.75,1056000,79.75
2004-04-23,79.79,79.91,79.01,79.51,494000,79.51
2004-04-26,79.65,80.0,78.56,79.28,757700,79.28
2004-04-27,79.58,81.2,79.39,79.81,1182400,79.81
2004-04-28,78.71,79.77,77.82,78.2,1290400,78.2
2004-04-29,77.5,79.6,76.52,77.98,2371100,77.98
2004-04-30,77.9,78.68,77.25,77.34,1553400,77.34
2004-05-03,76.75,77.69,76.29,77.2,918900,77.2
2004-05-04,77.15,77.15,75.47,75.7,1389700,75.7
2004-05-05,76.08,76.9,75.85,76.74,653300,76.74
2004-05-06,76.5,76.64,75.02,76.32,804100,76.32
2004-05-07,76.13,76.76,74.71,74.95,782700,74.95
2004-05-10,74.83,74.95,72.8,73.66,902800,73.66
2004-05-11,73.97,74.8,73.11,74.35,606300,74.35
2004-05-12,74.05,75.17,72.83,74.66,797000,74.66
2004-05-13,74.35,74.92,73.53,74.03,799400,74.03
2004-05-14,76.25,77.98,75.27,76.71,1585300,76.71
2004-05-17,76.35,77.91,75.71,76.68,1073700,76.68
2004-05-18,77.02,77.45,76.3,76.86,510000,76.86
2004-05-19,77.2,77.65,75.99,76.36,704500,76.36
2004-05-20,76.01,76.9,75.96,76.27,703700,76.27
2004-05-21,76.51,77.78,75.87,76.71,607900,76.71
2004-05-24,77.0,77.84,76.51,77.41,573700,77.41
2004-05-25,77.85,79.34,76.84,79.02,974600,79.02
2004-05-26,78.77,79.29,78.0,78.36,634500,78.36
2004-05-27,78.31,79.7,77.99,79.32,711200,79.32
2004-05-28,79.25,79.27,77.94,78.34,646300,78.34
2004-06-01,78.17,79.25,77.95,78.97,568500,78.97
2004-06-02,79.25,79.98,78.48,79.66,630200,79.66
2004-06-03,79.26,79.99,78.66,79.34,609100,79.34
2004-06-04,79.53,79.99,78.74,78.81,414200,78.81
2004-06-07,78.87,79.35,78.3,79.2,540600,79.2
2004-06-08,79.16,79.52,78.58,79.51,366500,79.51
2004-06-09,79.2,79.8,78.42,78.59,562900,78.59
2004-06-10,78.38,79.0,77.79,78.35,586500,78.35
2004-06-14,76.39,77.19,75.35,75.83,1362100,75.83
2004-06-15,76.29,76.95,75.24,75.92,1043700,75.92
2004-06-16,75.86,76.7,75.68,76.07,523200,76.07
2004-06-17,75.86,77.07,75.82,76.86,796800,76.86
2004-06-18,76.98,78.05,76.95,77.65,832000,77.65
2004-11-02,63.6,64.45,62.69,63.41,1047500,63.41
2004-11-03,64.37,68.7,64.37,67.89,2793500,67.89
2004-11-04,67.07,71.23,67.06,70.69,2145600,70.69
2004-11-05,71.05,72.96,70.52,72.0,896500,72.0
2004-11-08,71.58,72.95,71.58,72.66,654200,72.66
2004-11-09,72.66,72.98,72.08,72.8,1019300,72.8
2004-11-10,72.81,74.67,72.73,73.7,1129200,73.7
2004-11-11,73.51,75.34,73.51,74.95,939300,74.95
2004-11-12,74.23,76.39,74.13,76.23,973700,76.23
2004-11-15,75.83,76.29,74.53,75.05,1420900,75.05
2004-11-16,74.82,75.08,73.79,74.22,975100,74.22
2004-11-17,74.2,74.58,73.71,74.15,643000,74.15
2004-11-18,73.73,74.53,73.55,74.32,531600,74.32
2004-11-19,74.34,74.5,73.4,73.65,777600,73.65
2004-11-22,73.88,75.9,72.82,75.35,1252900,75.35
2004-11-23,73.09,74.48,71.6,72.25,3193900,72.25
2004-11-24,73.13,73.5,69.36,69.65,2894500,69.65
2004-11-26,69.13,69.82,68.65,69.51,506500,69.51
2004-11-29,69.8,70.11,69.12,69.95,1284100,69.95
2004-11-30,69.71,72.49,69.71,71.96,1430200,71.96
2004-12-01,72.51,73.8,72.49,73.43,1628600,73.43
2004-12-02,73.19,74.17,73.09,74.07,1100900,74.07
2004-12-03,73.46,74.77,72.98,74.22,1088500,74.22
2004-12-06,74.15,74.96,73.33,74.93,1191000,74.93
2004-12-07,74.68,75.6,73.05,73.71,1274200,73.71
2004-12-08,74.08,76.09,73.82,75.65,1379800,75.65
2004-12-09,75.43,78.61,74.81,77.97,1590400,77.97
2004-12-10,78.56,79.46,77.74,79.3,1581400,79.3
2004-12-13,79.08,79.49,77.0,77.61,1023200,77.61
2004-12-14,77.27,78.32,77.27,78.18,981100,78.18
2004-12-15,77.91,78.4,76.71,77.4,530200,77.4
2004-12-16,77.05,77.46,75.54,76.2,851500,76.2
2004-12-17,75.99,76.29,74.97,75.25,1531300,75.25
2004-12-20,75.62,76.93,75.04,75.62,490800,75.62
2004-12-21,75.6,76.64,75.27,76.03,605200,76.03
2004-12-22,75.33,75.94,74.62,74.88,967600,74.88
2004-12-23,74.75,76.58,74.3,76.15,559500,76.15
2004-12-27,75.8,76.88,75.68,76.18,437300,76.18
2004-12-28,76.12,76.98,75.83,76.94,455400,76.94
2004-12-29,76.62,77.29,76.62,76.78,379100,76.78
2004-12-30,76.65,77.02,76.59,76.8,295600,76.8
2004-12-31,76.77,77.05,76.35,76.44,282200,76.44
2005-01-03,76.34,77.08,75.35,76.02,672700,76.02
2005-01-04,75.9,76.59,75.17,75.63,919900,75.63
2005-01-05,75.59,77.03,75.52,76.2,1105200,76.2
2005-01-06,76.53,77.77,76.38,76.38,955200,76.38
2005-01-07,76.32,77.13,76.04,76.84,369100,76.84
2005-01-10,76.68,78.25,76.53,76.94,1151100,76.94
2005-01-11,76.27,76.7,75.71,75.97,619600,75.97
2005-01-12,76.58,78.26,76.29,77.96,1050300,77.96
2005-01-13,77.7,78.2,77.37,77.7,663000,77.7
2005-01-14,77.55,78.43,76.76,77.33,672700,77.33
2005-01-18,76.98,77.79,76.44,77.54,670600,77.54
2005-01-19,77.8,77.8,76.37,76.48,565600,76.48
2005-01-20,76.73,77.1,75.46,75.64,824900,75.64
2005-01-21,75.23,75.57,73.59,73.85,1058300,73.85
2005-01-24,73.88,74.46,73.31,74.05,582000,74.05
2005-01-25,74.28,74.44,73.12,73.23,594600,73.23
2005-01-26,73.55,74.77,73.33,74.3,391600,74.3
2005-01-27,74.2,76.0,73.82,74.63,660900,74.63
2005-01-28,74.51,74.73,73.07,73.58,641000,73.58
2005-01-31,73.58,74.6,73.58,74.19,352200,74.19
2005-02-01,74.48,76.19,74.26,75.96,880300,75.96
2005-02-02,75.77,76.34,75.32,76.12,523100,76.12
2005-02-03,75.89,76.16,74.54,75.32,578500,75.32
2005-02-04,75.0,76.39,74.68,76.39,423700,76.39
2009-11-23,85.75,87.95,85.39,87.95,2296100,87.95
2009-11-24,87.79,88.58,86.7,88.19,2069400,88.19
2009-11-25,87.98,88.31,86.75,86.99,1534800,86.99
2009-11-27,85.01,86.54,84.62,85.74,866600,85.74
2009-11-30,85.74,86.0,84.95,85.8,1674500,85.8
2009-12-01,87.09,87.57,86.49,87.4,2262900,87.4
2009-12-02,88.61,89.23,86.96,87.29,2094600,87.29
2009-12-03,87.68,87.84,86.34,86.42,1334200,86.42
2009-12-04,87.31,88.82,86.07,87.02,1240200,87.02
2009-12-07,88.39,88.5,86.34,87.21,1009200,87.21
2009-12-08,87.01,88.27,86.57,87.12,1368400,87.12
2009-12-09,86.66,87.61,85.95,86.36,1883300,86.36
2009-12-10,86.36,87.77,86.15,87.73,2306900,87.73
2009-12-11,87.88,88.49,86.9,87.07,1617300,87.07
2009-12-14,87.83,88.71,87.08,88.02,1672000,88.02
2009-12-15,88.4,89.18,87.71,88.72,2257800,88.72
2009-12-16,89.0,89.11,83.73,83.95,10987000,83.95
2009-12-17,83.98,86.52,82.58,85.21,5779200,85.21
2009-12-18,85.83,85.86,83.93,84.38,3051000,84.38
2009-12-21,86.63,89.88,86.6,87.2,3601700,87.2
2009-12-22,87.73,88.61,87.43,88.11,2811800,88.11
2009-12-23,88.41,88.65,87.02,87.63,996500,87.63
2009-12-24,87.61,87.66,87.0,87.17,433200,87.17
2009-12-28,87.2,88.69,86.7,88.43,1411000,88.43
2009-12-29,88.5,88.89,87.94,87.98,902800,87.98
2009-12-30,87.73,88.33,87.35,87.85,908500,87.85
2009-12-31,87.78,87.85,86.42,86.42,1235000,86.42
2010-01-04,87.42,88.74,87.17,88.53,1843900,88.53
2010-01-05,88.21,88.58,86.5,86.92,2182100,86.92
2010-01-06,86.52,87.24,86.22,86.65,2712600,86.65
2010-01-07,86.24,88.83,86.23,88.67,2221900,88.67
2010-01-08,88.7,91.9,87.5,91.65,3128400,91.65
2010-01-11,91.65,93.0,89.66,90.23,3605200,90.23
2010-01-12,89.39,90.25,88.53,89.17,2163200,89.17
2010-01-13,89.38,90.41,89.31,90.1,1400200,90.1
2010-01-14,89.49,91.22,89.49,90.95,1415000,90.95
