Date,Open,High,Low,Close,Volume,Adj Close
2003-07-22,47.84,49.94,47.22,49.76,5276000,49.76
2003-07-23,49.3,50.76,48.85,50.74,4182600,50.74
2003-07-24,50.51,51.13,49.37,49.46,4176800,49.46
2003-07-25,49.45,50.45,48.15,50.45,2977900,50.45
2003-07-28,50.43,52.37,50.01,52.32,4170600,52.32
2003-07-29,52.22,52.43,50.16,51.94,2838300,51.94
2003-07-30,51.84,52.07,49.91,50.2,2866600,50.2
2003-07-31,50.79,51.54,50.14,50.48,3441200,50.48
2003-08-01,50.04,50.26,48.92,49.28,2642700,49.28
2003-08-04,47.75,47.97,45.01,47.62,6938300,47.62
2003-08-05,47.41,47.74,45.17,45.38,3138700,45.38
2003-08-06,45.35,45.36,43.0,43.49,5232400,43.49
2003-08-07,43.45,44.74,43.4,44.24,3635400,44.24
2003-08-08,44.22,44.61,43.15,43.38,2517900,43.38
2003-08-11,43.52,45.57,43.35,45.14,2927600,45.14
2003-08-12,45.48,46.87,45.3,46.65,2626300,46.65
2003-08-13,46.75,46.91,45.02,45.34,3325700,45.34
2003-08-14,45.52,45.65,44.31,45.12,2550600,45.12
2003-08-15,45.18,45.54,44.5,45.35,796800,45.35
2003-08-18,45.59,46.5,45.39,46.39,1960200,46.39
2003-08-19,46.4,46.74,45.58,46.21,1973200,46.21
2003-08-20,46.15,46.4,45.6,46.06,1463500,46.06
2003-08-21,46.36,47.74,46.07,47.16,2211800,47.16
2003-08-22,47.7,48.17,46.5,46.53,3212400,46.53
2003-08-25,46.4,46.79,45.89,46.03,1219500,46.03
2003-08-26,45.8,46.49,44.0,46.3,2012000,46.3
2003-08-27,46.25,47.29,45.86,47.2,1632100,47.2
2003-08-28,47.29,47.9,46.26,47.88,1434500,47.88
2003-08-29,47.81,48.0,46.81,47.13,1275500,47.13
2003-09-02,47.2,49.75,47.15,49.5,2942700,49.5
2003-09-03,49.8,50.28,48.46,48.89,3310200,48.89
2003-09-04,49.21,49.27,48.14,49.03,2405500,49.03
2003-09-05,49.03,49.49,48.12,48.56,2503800,48.56
2003-09-08,48.56,50.44,48.38,50.05,2493500,50.05
2003-09-09,49.9,50.26,48.48,48.94,2347700,48.94
2003-09-10,48.85,49.3,47.5,47.57,2017300,47.57
2003-09-11,47.51,48.6,47.04,48.46,2743600,48.46
2003-09-12,48.41,48.69,47.18,48.62,1692400,48.62
