Date,Open,High,Low,Close,Volume,Adj Close
2004-01-22,35.66,36.3,34.25,35.15,1461100,35.15
2004-01-23,35.45,35.54,31.89,32.0,523300,32.0
2004-01-26,32.15,33.7,32.05,33.15,1022100,33.15
2004-01-27,33.21,33.5,32.9,33.0,197300,33.0
2004-01-28,33.0,33.0,31.43,31.8,204600,31.8
2004-01-29,31.7,32.12,30.08,31.1,360900,31.1
2004-01-30,31.17,31.17,29.8,30.46,320100,30.46
2004-02-02,30.42,30.76,29.75,30.1,209500,30.1
2004-02-03,30.07,30.91,29.75,30.34,174600,30.34
2004-02-04,30.3,30.67,29.13,29.29,255600,29.29
2004-02-05,29.18,29.5,26.2,26.92,740300,26.92
2004-02-06,27.2,27.95,26.8,27.46,377700,27.46
2004-02-09,27.57,30.04,27.5,28.44,327800,28.44
2004-02-10,28.5,28.8,27.95,28.22,236400,28.22
2004-02-11,28.25,29.84,26.8,29.26,766900,29.26
2004-02-12,29.23,31.73,29.23,31.11,545200,31.11
2004-02-13,31.12,31.85,31.0,31.41,389800,31.41
2004-02-17,31.37,31.6,30.32,31.29,312900,31.29
2004-02-18,31.21,31.5,30.5,30.51,201600,30.51
2004-02-19,30.58,30.58,29.91,30.08,131800,30.08
2004-02-20,30.0,30.29,29.73,30.29,235200,30.29
2004-02-23,30.29,30.3,28.28,28.5,179300,28.5
2004-02-24,28.45,28.45,26.69,26.71,628100,26.71
2004-02-25,26.75,27.35,26.31,26.55,674900,26.55
2004-02-26,26.7,27.5,26.5,27.14,103000,27.14
2004-02-27,27.12,27.44,26.9,27.0,139600,27.0
2004-03-01,27.0,27.19,26.95,26.95,182700,26.95
2004-03-02,27.0,27.44,26.18,27.44,439200,27.44
2004-03-03,27.26,27.8,27.17,27.32,139600,27.32
2004-03-04,27.19,29.14,27.11,28.4,292600,28.4
2004-03-05,28.67,29.97,28.24,29.75,312500,29.75
2004-03-08,29.6,30.2,27.86,29.35,642800,29.35
2004-03-09,29.43,29.98,28.59,28.81,279100,28.81
2004-03-10,25.22,25.34,17.31,17.82,8070000,17.82
2004-03-11,17.5,18.73,16.64,17.0,2232600,17.0
2004-03-12,17.22,17.45,16.29,16.35,1070900,16.35
2004-03-15,16.3,16.3,14.63,14.75,920500,14.75
2004-03-16,14.9,15.27,14.35,14.52,579800,14.52
2004-03-17,14.8,15.44,12.25,15.44,1695900,15.44
2004-03-18,15.21,15.5,14.75,15.08,942000,15.08
2004-03-19,15.22,15.37,13.77,13.86,934700,13.86
2004-03-22,14.83,16.11,14.5,15.65,1791600,15.65
2004-03-23,16.6,17.27,16.2,16.57,1272300,16.57
2004-03-24,16.5,16.93,15.55,16.28,470600,16.28
2004-03-25,16.35,17.42,15.5,16.39,778700,16.39
2004-03-26,16.47,17.14,16.42,16.9,700200,16.9
2004-03-29,17.22,18.8,17.2,18.19,1627200,18.19
2004-03-30,19.01,20.7,18.51,20.68,1571400,20.68
2004-03-31,21.49,21.6,19.58,20.0,1011900,20.0
2004-04-01,20.04,20.97,19.81,20.28,338700,20.28
2004-04-02,20.3,20.91,19.62,20.44,351000,20.44
2004-04-05,20.32,20.45,19.84,19.98,215400,19.98
2004-04-06,20.0,20.32,19.5,19.85,272400,19.85
2004-04-07,20.02,20.06,19.13,19.71,196900,19.71
2004-04-08,19.98,20.0,19.65,19.75,139300,19.75
2004-10-26,14.26,14.5,13.9,14.0,82100,14.0
2004-10-27,14.03,14.03,13.8,13.85,318600,13.85
2004-10-28,13.9,14.1,13.71,13.81,198300,13.81
2004-10-29,13.82,13.94,13.66,13.79,67900,13.79
2004-11-01,13.55,13.96,12.9,13.54,147000,13.54
2004-11-02,13.58,13.6,12.78,13.23,149000,13.23
2004-11-03,13.18,13.64,12.81,13.37,207900,13.37
2004-11-04,13.4,14.28,13.26,13.8,74200,13.8
2004-11-05,13.74,14.03,13.51,13.8,62300,13.8
2004-11-08,13.72,14.28,13.72,14.15,126200,14.15
2004-11-09,14.1,14.9,14.02,14.79,193300,14.79
2004-11-10,14.84,15.12,14.73,14.95,85500,14.95
2004-11-11,15.06,15.15,14.6,15.15,169600,15.15
2004-11-12,15.2,15.2,14.8,15.06,89400,15.06
2004-11-15,14.93,15.17,14.5,14.6,125300,14.6
2004-11-16,14.5,15.15,14.5,14.88,156000,14.88
2004-11-17,14.96,15.42,14.88,15.32,147200,15.32
2004-11-18,15.21,15.21,14.81,14.89,116600,14.89
2004-11-19,15.0,15.0,14.64,14.9,93200,14.9
2004-11-22,14.8,15.5,14.8,15.05,192400,15.05
2004-11-23,15.13,15.21,14.83,15.06,149900,15.06
2004-11-24,15.22,15.29,14.63,15.05,101600,15.05
2004-11-26,14.68,15.51,14.68,15.41,176600,15.41
2004-11-29,15.29,15.48,14.73,14.87,143600,14.87
2004-11-30,14.91,15.34,14.85,15.05,175500,15.05
2004-12-01,15.46,15.46,15.1,15.19,104300,15.19
2004-12-02,15.48,15.7,15.2,15.6,422400,15.6
2004-12-03,15.62,16.0,15.46,16.0,392300,16.0
2004-12-06,16.01,16.7,15.91,16.7,949300,16.7
2004-12-07,16.7,17.31,16.31,16.42,436800,16.42
2004-12-08,16.37,16.49,15.7,15.91,128500,15.91
2004-12-09,15.95,15.95,14.25,14.44,446300,14.44
2004-12-10,14.21,15.95,14.21,15.54,444200,15.54
2004-12-13,15.4,15.8,14.88,15.44,116800,15.44
2004-12-14,15.75,15.75,15.2,15.31,78900,15.31
2004-12-15,15.14,15.58,15.14,15.39,93500,15.39
2004-12-16,15.51,15.73,15.27,15.73,148600,15.73
2004-12-17,15.69,16.21,15.28,15.5,412000,15.5
2004-12-20,15.33,15.98,15.3,15.96,547700,15.96
2004-12-21,16.0,16.2,15.76,16.05,153000,16.05
2004-12-22,16.0,16.41,15.79,16.23,944200,16.23
2004-12-23,16.77,16.77,16.0,16.34,702700,16.34
2004-12-27,16.5,17.17,16.34,17.06,204800,17.06
2004-12-28,17.19,18.0,17.1,18.0,690800,18.0
2004-12-29,17.95,18.0,17.1,17.65,471600,17.65
2004-12-30,17.57,18.63,17.57,18.35,401700,18.35
2004-12-31,18.07,18.43,18.05,18.14,241000,18.14
2005-01-03,18.11,18.35,17.52,18.02,447900,18.02
2005-01-04,17.9,17.95,16.79,16.92,278300,16.92
2005-01-05,16.82,17.29,16.18,17.01,297000,17.01
2005-01-06,17.07,17.19,16.51,17.11,676000,17.11
2005-01-07,17.2,17.2,16.36,16.91,167500,16.91
2005-01-10,16.88,17.33,16.41,17.32,435100,17.32
2005-01-11,17.33,17.33,16.79,17.04,332400,17.04
2005-01-12,17.29,18.56,16.85,18.5,604600,18.5
2005-01-13,18.5,23.24,18.12,20.53,1550800,20.53
2005-01-14,20.75,21.05,19.18,20.52,944700,20.52
2005-01-18,20.61,21.25,20.15,21.25,662400,21.25
2005-01-19,21.3,21.44,20.68,20.9,365300,20.9
2005-01-20,20.72,21.0,20.11,20.98,442700,20.98
2005-01-21,20.98,21.64,20.6,21.35,503200,21.35
2005-01-24,21.21,21.44,20.91,21.4,428900,21.4
2005-01-25,21.4,22.0,21.24,21.54,666300,21.54
2005-01-26,21.57,22.49,21.57,21.84,553200,21.84
2005-01-27,21.89,22.6,21.87,22.59,1022100,22.59
2005-01-28,22.64,24.61,22.46,24.61,1301100,24.61
2005-01-31,24.5,25.41,23.51,23.59,698500,23.59
2005-02-01,23.97,23.97,19.86,20.5,963800,20.5
2005-02-02,20.62,21.0,19.88,19.89,357500,19.89
2005-02-03,19.76,19.92,18.31,18.85,1196200,18.85
2005-02-04,18.88,18.9,18.18,18.7,397200,18.7
2005-02-07,18.63,18.9,18.14,18.69,329000,18.69
2005-02-08,18.72,19.15,18.28,18.75,112300,18.75
2005-02-09,19.16,19.16,17.74,18.04,304200,18.04
