Date,Open,High,Low,Close,Volume,Adj Close
2004-01-29,5.9,5.96,5.62,5.79,2342800,5.79
2004-01-30,5.75,5.93,5.72,5.85,1267000,5.85
2004-02-02,6.11,6.48,6.01,6.17,8008900,6.17
2004-02-03,6.2,6.4,6.2,6.23,2942100,6.23
2004-02-04,6.25,6.25,5.97,6.04,2020100,6.04
2004-02-05,6.14,6.23,5.67,5.72,4036700,5.72
2004-02-06,5.81,5.94,5.74,5.94,2037600,5.94
2004-02-09,5.94,6.15,5.9,6.09,2113000,6.09
2004-02-10,6.11,6.32,6.09,6.17,3072700,6.17
2004-02-11,6.96,7.26,6.61,7.0,14999300,7.0
2004-02-12,7.15,7.65,7.0,7.46,9474200,7.46
2004-02-13,7.46,7.84,7.4,7.67,9215000,7.67
2004-02-17,7.8,7.8,7.51,7.53,4239700,7.53
2004-02-18,7.61,7.69,7.43,7.55,4374000,7.55
2004-02-19,7.56,7.58,7.36,7.4,3574500,7.4
2004-02-20,7.34,7.48,7.13,7.35,2447000,7.35
2004-02-23,7.33,7.5,7.1,7.23,4422400,7.23
2004-02-24,7.19,7.35,6.9,7.24,4952400,7.24
2004-02-25,7.25,7.29,6.99,7.19,4712600,7.19
2004-02-26,7.16,7.29,7.11,7.2,2283000,7.2
2004-02-27,7.43,7.5,7.2,7.24,6653600,7.24
2004-03-01,7.33,7.5,7.24,7.5,3981100,7.5
2004-03-02,8.06,8.4,7.76,7.95,14587100,7.95
2004-03-03,7.97,7.97,7.6,7.88,3608000,7.88
2004-03-04,7.81,8.0,7.79,8.0,2169800,8.0
2004-03-05,7.92,8.0,7.78,7.88,2024400,7.88
2004-03-08,7.88,7.98,7.62,7.75,1892100,7.75
2004-03-09,7.81,7.83,7.02,7.16,5645900,7.16
2004-03-10,7.29,7.4,6.96,7.04,3766900,7.04
2004-03-11,6.92,7.13,6.74,6.95,3579500,6.95
2004-03-12,7.05,7.12,6.91,7.05,1773500,7.05
2004-03-15,7.03,7.11,6.64,6.69,2228400,6.69
2004-03-16,6.64,6.9,6.53,6.65,3748300,6.65
2004-03-17,6.66,6.9,6.58,6.75,2719800,6.75
2004-03-18,6.65,6.74,6.55,6.7,2125000,6.7
2004-03-19,6.74,6.78,6.54,6.56,2249200,6.56
2004-03-22,6.58,6.66,6.15,6.52,4336700,6.52
2004-03-23,6.61,6.76,6.33,6.5,1961000,6.5
2004-03-24,6.51,6.85,6.5,6.75,3457900,6.75
2004-03-25,6.71,6.83,6.56,6.82,1421700,6.82
2004-03-26,6.75,6.95,6.73,6.87,1617400,6.87
2004-03-29,6.93,6.98,6.6,6.74,3322900,6.74
2004-03-30,6.63,6.85,6.63,6.79,1488900,6.79
2004-03-31,6.84,6.84,6.69,6.71,983600,6.71
2004-04-01,6.75,6.86,6.73,6.8,1763800,6.8
2004-04-02,6.86,7.16,6.85,7.03,3629900,7.03
2004-04-05,7.05,7.06,6.89,7.0,889700,7.0
2004-04-06,6.93,6.93,6.7,6.72,1496600,6.72
2004-04-07,6.65,6.8,6.62,6.67,1488600,6.67
2004-04-08,6.78,6.8,6.5,6.54,1916200,6.54
2004-04-12,6.55,6.62,6.5,6.6,1432800,6.6
2004-04-13,6.81,6.85,6.39,6.46,1496300,6.46
2004-04-14,6.37,6.53,6.28,6.45,1857300,6.45
2004-04-15,6.48,6.48,6.2,6.25,1235300,6.25
2004-04-16,6.22,6.35,6.12,6.22,1550800,6.22
2004-04-19,6.32,6.33,6.2,6.3,1542600,6.3
2004-04-20,6.23,6.38,6.15,6.22,1235400,6.22
2004-04-21,6.17,6.26,6.12,6.26,1135500,6.26
2004-04-22,6.25,6.39,6.19,6.33,1621700,6.33
2004-04-23,6.32,6.45,6.22,6.27,1666600,6.27
2004-04-26,6.26,6.26,6.17,6.24,1387700,6.24
2004-04-27,6.22,6.32,6.04,6.18,2325700,6.18
2004-04-28,6.14,6.16,5.86,5.97,2942900,5.97
2004-04-29,5.86,6.02,5.6,5.67,4894500,5.67
2004-04-30,5.62,5.72,5.51,5.59,2006700,5.59
2004-05-03,5.74,5.8,5.48,5.58,2466300,5.58
2004-05-04,5.56,5.67,5.43,5.53,2501900,5.53
