Date,Open,High,Low,Close,Volume,Adj Close
2003-09-11,15.73,15.95,15.1,15.7,1661400,15.7
2003-09-12,15.74,15.86,15.25,15.62,1156900,15.62
2003-09-15,15.68,16.0,15.57,15.65,1399300,15.65
2003-09-16,15.35,15.77,15.3,15.57,1425800,15.57
2003-09-17,15.57,15.79,15.47,15.53,1136600,15.53
2003-09-18,15.41,15.61,15.35,15.58,1217600,15.58
2003-09-19,15.82,15.88,15.1,15.75,1227100,15.75
2003-09-22,15.49,15.59,15.25,15.38,836900,15.38
2003-09-23,15.22,15.48,15.02,15.37,1134100,15.37
2003-09-24,15.2,15.3,14.45,14.49,1736400,14.49
2003-09-25,14.34,14.49,14.03,14.06,1867800,14.06
2003-09-26,13.05,14.0,12.85,13.17,4185300,13.17
2003-09-29,13.17,13.78,13.0,13.58,1760800,13.58
2003-09-30,13.73,14.04,13.52,13.73,1845300,13.73
2003-10-01,13.76,13.93,13.5,13.59,2914000,13.59
2003-10-02,13.64,14.49,13.59,14.47,2025500,14.47
2003-10-03,14.61,14.9,14.4,14.48,1762600,14.48
2003-10-06,14.51,14.71,14.25,14.3,1974300,14.3
2003-10-07,13.93,14.84,13.8,14.74,1934500,14.74
2003-10-08,14.88,14.9,14.33,14.39,1410300,14.39
2003-10-09,14.71,15.52,14.71,15.25,2257400,15.25
2003-10-10,15.55,15.6,15.03,15.35,1468700,15.35
2003-10-13,15.55,15.75,15.25,15.47,1009100,15.47
2003-10-14,15.41,15.65,15.16,15.28,973900,15.28
2003-10-15,15.32,15.5,14.55,14.59,1627400,14.59
2003-10-16,14.54,15.05,14.36,14.42,1351500,14.42
2003-10-17,14.85,15.0,13.85,14.0,2386000,14.0
2003-10-20,14.03,14.42,13.7,13.9,1895600,13.9
2003-10-21,13.95,14.36,13.79,14.29,1819200,14.29
2003-10-22,14.18,14.43,13.6,13.65,1538500,13.65
2003-10-23,13.78,13.91,13.13,13.57,2417000,13.57
2003-10-24,13.48,14.14,13.4,14.09,1210000,14.09
2003-10-27,14.17,14.26,13.52,13.8,1045000,13.8
2003-10-28,14.11,14.15,13.59,13.9,1478600,13.9
2003-10-29,13.84,13.87,13.59,13.71,1516900,13.71
2003-10-30,13.95,14.09,13.57,13.6,1078900,13.6
2003-10-31,13.62,13.98,13.52,13.91,848300,13.91
2003-11-03,13.93,14.1,13.6,13.69,1178200,13.69
2003-11-04,13.81,14.37,13.58,13.66,1554900,13.66
2003-11-05,13.67,13.94,13.57,13.65,1020900,13.65
2003-11-06,13.64,14.1,13.62,14.02,1388600,14.02
2003-11-07,14.12,14.48,14.05,14.07,1307200,14.07
2003-11-10,14.06,14.22,13.32,13.38,1429200,13.38
2003-11-11,13.35,13.46,12.5,12.8,2778300,12.8
2003-11-12,12.65,13.49,12.54,13.4,1834200,13.4
2003-11-13,13.18,13.54,12.98,13.47,1480900,13.47
2003-11-14,13.47,13.53,12.83,12.91,2140700,12.91
2003-11-17,12.79,12.92,12.5,12.68,1182900,12.68
2003-11-18,12.64,12.73,12.08,12.12,2189300,12.12
2003-11-19,12.23,12.46,11.36,11.85,3101600,11.85
2003-11-20,11.79,12.45,11.7,11.99,2424400,11.99
2003-11-21,11.86,12.0,11.57,11.81,3007100,11.81
2003-11-24,11.83,12.53,11.7,12.49,1840700,12.49
2003-11-25,12.5,12.81,12.32,12.35,998400,12.35
2003-11-26,12.47,12.66,12.18,12.59,1027400,12.59
2003-11-28,12.66,12.8,12.5,12.73,425500,12.73
2003-12-01,12.78,13.2,12.75,13.19,1938100,13.19
2003-12-02,13.15,13.67,13.12,13.39,2140700,13.39
2003-12-03,13.45,13.74,12.81,12.97,1834400,12.97
2003-12-04,12.96,13.08,12.6,12.89,1238100,12.89
2003-12-05,13.1,13.25,12.75,12.79,1155800,12.79
2003-12-08,12.66,12.91,12.38,12.73,1554100,12.73
2003-12-09,12.88,12.88,12.45,12.5,1362100,12.5
2003-12-10,12.46,12.54,12.06,12.38,1213300,12.38
2003-12-11,12.23,12.96,12.2,12.85,1365600,12.85
2003-12-12,12.67,13.19,12.61,13.04,1306800,13.04
2004-03-16,12.16,12.3,11.56,11.84,1087400,11.84
2004-03-17,11.9,12.14,11.87,11.96,1036000,11.96
2004-03-18,11.58,12.17,11.58,12.0,1294900,12.0
2004-03-19,12.12,12.2,11.96,12.07,1248300,12.07
2004-03-22,11.94,12.08,11.42,11.5,1820200,11.5
2004-03-23,11.67,11.82,11.25,11.37,1074400,11.37
2004-03-24,11.31,11.64,11.21,11.39,1081800,11.39
2004-03-25,11.12,12.41,11.0,12.25,3579000,12.25
2004-03-26,12.0,12.41,11.93,12.15,2470400,12.15
2004-03-29,12.2,12.67,12.2,12.55,1692200,12.55
2004-03-30,12.51,12.8,12.32,12.62,1972100,12.62
2004-03-31,12.69,12.73,12.37,12.53,1153900,12.53
2004-04-01,12.48,12.66,12.23,12.66,2223600,12.66
2004-04-02,12.87,13.0,12.62,13.0,1562300,13.0
2004-04-05,12.95,13.13,12.87,13.09,1026300,13.09
2004-04-06,12.84,13.07,12.71,12.85,811300,12.85
2004-04-07,12.78,13.02,12.61,12.91,1313500,12.91
2004-04-08,13.0,13.06,12.79,12.85,922200,12.85
2004-04-12,12.8,13.5,12.78,13.35,1943500,13.35
2004-04-13,13.32,13.45,13.09,13.12,2295400,13.12
2004-04-14,13.01,13.28,12.72,12.86,1772800,12.86
2004-04-15,12.77,12.96,12.73,12.86,1285700,12.86
2004-04-16,12.9,13.42,12.78,13.26,2646900,13.26
2004-04-19,13.25,13.49,13.17,13.49,912900,13.49
2004-04-20,13.4,13.72,13.25,13.4,1872300,13.4
2004-04-21,13.38,13.52,13.24,13.51,1323300,13.51
2004-04-22,13.44,13.73,13.29,13.7,1525200,13.7
2004-04-23,13.61,13.86,13.51,13.67,1193500,13.67
2004-04-26,13.79,14.21,13.76,14.1,1744100,14.1
2004-04-27,14.04,14.05,13.52,13.75,1679000,13.75
2004-04-28,13.68,13.7,13.11,13.2,1148300,13.2
2004-04-29,13.06,13.1,12.59,12.75,1868200,12.75
2004-04-30,12.63,12.87,12.12,12.2,1426300,12.2
2004-05-03,12.22,13.03,12.14,12.75,1620900,12.75
2004-05-04,12.9,13.0,12.47,12.72,1148000,12.72
2004-05-05,12.76,12.97,12.55,12.9,877500,12.9
2004-05-06,12.89,12.89,12.15,12.39,1591600,12.39
2004-05-07,12.29,13.0,12.26,12.36,1291600,12.36
2004-05-10,12.1,12.14,11.63,11.8,1734400,11.8
2004-05-11,11.86,12.35,11.8,12.2,1959700,12.2
2004-05-12,12.1,12.43,11.9,12.36,1440300,12.36
2004-05-13,12.24,12.47,12.0,12.0,1155300,12.0
2004-05-14,12.0,12.3,11.75,11.75,924600,11.75
2004-05-17,11.5,12.0,11.47,11.52,1176000,11.52
2004-05-18,11.67,11.85,11.3,11.5,1485400,11.5
2004-05-19,11.71,11.71,11.09,11.17,1874500,11.17
2004-05-20,11.13,11.45,10.93,10.93,1779700,10.93
2004-05-21,10.92,10.97,10.52,10.69,2331300,10.69
2004-05-24,10.6,10.9,10.31,10.34,1874200,10.34
2004-05-25,10.34,10.69,10.32,10.55,1707300,10.55
2004-05-26,10.6,10.86,10.55,10.75,2391200,10.75
2004-05-27,10.76,10.98,10.58,10.66,920100,10.66
2004-05-28,10.65,10.87,10.6,10.87,1024500,10.87
2004-06-01,10.83,11.05,10.8,11.01,1298500,11.01
2004-06-02,11.17,11.19,10.94,11.05,1021800,11.05
2004-06-03,11.05,11.1,10.74,10.79,1177400,10.79
2004-06-04,10.8,10.99,10.71,10.75,1009100,10.75
2004-06-07,10.83,10.98,10.5,10.69,1068800,10.69
2004-06-08,10.87,11.05,10.75,11.01,1851100,11.01
2004-06-09,11.11,11.18,10.51,10.61,1386000,10.61
2004-06-10,10.67,10.77,10.39,10.68,1247200,10.68
2004-06-14,10.63,10.77,10.42,10.42,820000,10.42
2004-06-15,10.52,10.59,10.31,10.49,1128800,10.49
2004-06-16,10.59,10.89,10.35,10.81,1168800,10.81
2004-06-17,10.95,11.05,10.75,10.96,1314700,10.96
2004-06-18,11.14,11.38,10.95,11.09,1625900,11.09
2004-07-19,10.0,10.15,9.88,10.09,1242800,10.09
2004-07-20,10.1,10.21,10.03,10.13,1158700,10.13
2004-07-21,10.14,10.25,9.55,9.56,1134100,9.56
2004-07-22,9.51,9.86,9.32,9.8,1348800,9.8
2004-07-23,9.64,9.8,9.5,9.5,872000,9.5
2004-07-26,9.5,9.63,9.17,9.35,902900,9.35
2004-07-27,9.25,9.75,9.22,9.7,1021600,9.7
2004-07-28,9.8,9.96,9.5,9.77,1571200,9.77
2004-07-29,9.97,10.14,9.64,10.01,1212300,10.01
2004-07-30,9.7,10.09,9.67,10.03,1186100,10.03
2004-08-02,10.08,10.08,9.6,9.78,1121100,9.78
2004-08-03,9.92,9.94,9.38,9.39,649200,9.39
2004-08-04,9.3,9.47,9.13,9.37,1227800,9.37
2004-08-05,9.32,9.45,9.01,9.01,766100,9.01
2004-08-06,9.0,9.04,8.62,8.82,1016100,8.82
2004-08-09,8.91,8.94,8.51,8.54,1263500,8.54
2004-08-10,8.57,8.74,8.51,8.74,693300,8.74
2004-08-11,8.71,9.12,8.59,9.0,948000,9.0
2004-08-12,8.9,8.99,8.79,8.79,675900,8.79
2004-08-13,8.74,8.94,8.69,8.71,654000,8.71
2004-08-16,8.69,9.35,8.68,9.32,957100,9.32
2004-08-17,9.43,10.1,9.32,9.86,2341300,9.86
2004-08-18,9.85,10.51,9.77,10.43,1832300,10.43
2004-08-19,10.29,10.54,10.2,10.5,980900,10.5
2004-08-20,10.62,10.64,10.35,10.54,1242500,10.54
2004-08-23,10.6,10.84,10.51,10.53,1099000,10.53
2004-08-24,10.62,10.8,10.52,10.78,834600,10.78
2004-08-25,10.79,10.9,10.49,10.89,945000,10.89
2004-08-26,10.79,10.93,10.7,10.9,800200,10.9
2004-08-27,10.84,11.2,10.79,11.14,767400,11.14
2004-08-30,10.85,11.05,10.58,10.66,832000,10.66
2004-08-31,10.79,10.86,10.35,10.77,898700,10.77
2004-09-01,10.66,11.41,10.6,11.08,1867100,11.08
2004-09-02,11.11,11.4,10.9,11.36,601500,11.36
2004-09-03,11.26,11.51,10.83,10.84,1099000,10.84
2004-09-07,11.1,11.21,10.85,11.18,1287500,11.18
2004-09-08,11.18,11.36,11.1,11.18,831400,11.18
2004-09-09,11.14,11.35,11.03,11.22,756900,11.22
2004-09-10,11.33,11.68,11.11,11.63,769300,11.63
2004-09-13,11.69,12.55,11.63,12.55,2536600,12.55
2004-09-14,12.47,12.5,12.06,12.32,1083700,12.32
2004-09-15,12.18,12.44,12.1,12.19,1656900,12.19
2004-09-16,12.18,12.97,12.18,12.63,1308100,12.63
2004-09-17,12.77,13.0,12.51,12.7,1470800,12.7
2004-09-20,12.7,12.89,12.48,12.71,982300,12.71
2004-09-21,12.69,13.06,12.53,13.05,1180400,13.05
2004-09-22,12.9,13.85,12.54,12.63,1299800,12.63
2004-09-23,12.51,12.83,12.49,12.75,731600,12.75
2004-09-24,12.64,12.86,12.58,12.67,383800,12.67
2004-09-27,12.52,12.59,12.18,12.36,835700,12.36
2004-09-28,11.74,12.05,11.07,11.11,5675100,11.11
2004-09-29,10.87,11.03,10.81,10.92,5637700,10.92
2004-09-30,10.85,11.01,10.85,10.91,2416100,10.91
2004-10-01,11.0,11.1,10.82,10.93,2923400,10.93
2004-10-04,11.04,11.1,10.96,11.07,2048700,11.07
2004-10-05,11.08,11.08,10.89,10.96,1980900,10.96
2004-10-06,10.87,10.91,10.44,10.59,3649500,10.59
2004-10-07,10.6,10.64,10.16,10.23,1735500,10.23
2004-10-08,10.13,10.25,9.93,9.99,1882700,9.99
2004-10-11,10.01,10.2,9.99,10.11,950900,10.11
2004-10-12,10.0,10.05,9.83,9.92,1417100,9.92
2004-10-13,10.18,10.21,9.7,9.72,1191200,9.72
2004-10-14,9.72,10.0,9.4,9.5,1325100,9.5
2004-10-15,9.61,9.9,9.4,9.65,1199400,9.65
2004-10-18,9.51,9.96,9.51,9.85,821700,9.85
2004-10-19,9.99,10.05,9.75,9.76,1432600,9.76
2004-10-20,9.73,9.94,9.7,9.88,673100,9.88
2004-10-21,9.88,9.92,9.69,9.92,1194700,9.92
2004-10-22,9.86,10.02,9.5,9.59,898900,9.59
2004-10-25,9.54,9.62,9.35,9.49,1374300,9.49
2004-10-26,9.88,10.0,9.56,9.75,3077000,9.75
2004-10-27,9.73,10.32,9.73,10.32,2021600,10.32
2004-10-28,10.18,10.43,10.16,10.32,1124300,10.32
2004-10-29,10.24,10.5,10.08,10.29,879000,10.29
2004-11-01,10.45,10.5,10.17,10.26,1331400,10.26
2004-11-02,10.35,10.5,10.05,10.08,1826900,10.08
2004-11-03,10.2,10.47,10.2,10.42,1879400,10.42
2004-11-04,10.41,10.75,10.33,10.75,1502400,10.75
2004-11-05,10.82,11.02,10.7,11.01,1809700,11.01
2004-11-08,11.07,11.07,10.67,10.92,1054900,10.92
2004-11-09,10.86,10.92,10.69,10.73,1041100,10.73
2004-11-10,10.76,10.95,10.66,10.77,757400,10.77
2004-11-11,10.88,11.0,10.62,10.99,1100100,10.99
