Date,Open,High,Low,Close,Volume,Adj Close
2004-10-21,22.4,23.16,21.69,21.78,2747400,21.78
2004-10-22,21.79,22.18,21.56,21.65,770200,21.65
2004-10-25,21.66,21.83,21.11,21.63,727600,21.63
2004-10-26,21.56,22.16,21.46,21.8,478000,21.8
2004-10-27,21.77,22.58,21.77,22.42,665400,22.42
2004-10-28,22.56,22.95,22.33,22.69,768900,22.69
2004-10-29,22.74,22.93,22.16,22.52,612300,22.52
2004-11-01,22.41,22.62,22.1,22.3,634700,22.3
2004-11-02,22.3,22.74,21.8,21.85,902400,21.85
2004-11-03,22.2,23.11,22.15,22.67,1209200,22.67
2004-11-04,22.88,22.9,22.31,22.5,839300,22.5
2004-11-05,23.08,23.08,22.08,22.4,1575000,22.4
2004-11-08,22.44,23.1,22.4,22.9,1065100,22.9
2004-11-09,22.75,24.03,22.75,23.7,1447100,23.7
2004-11-10,23.97,23.99,23.39,23.45,613500,23.45
2004-11-11,23.58,24.42,23.33,24.23,979800,24.23
2004-11-12,24.21,24.39,23.65,23.99,775000,23.99
2004-11-15,24.0,24.06,23.72,23.8,752500,23.8
2004-11-16,23.89,24.21,23.46,23.92,439400,23.92
2004-11-17,23.83,24.15,23.36,23.45,585400,23.45
2004-11-18,23.36,23.92,23.31,23.77,654200,23.77
2004-11-19,23.67,23.9,23.38,23.41,388300,23.41
2004-11-22,23.4,23.8,23.28,23.75,555700,23.75
2004-11-23,23.75,23.9,23.46,23.52,601900,23.52
2004-11-24,23.45,23.7,23.3,23.54,291600,23.54
2004-11-26,23.04,23.43,23.03,23.22,371100,23.22
2004-11-29,23.31,24.35,23.19,24.12,825100,24.12
2004-11-30,24.09,24.4,23.75,24.15,437600,24.15
2004-12-01,24.16,25.03,24.07,25.03,884000,25.03
2004-12-02,24.99,26.11,24.81,25.86,1211800,25.86
2004-12-03,25.9,26.17,25.56,25.86,788900,25.86
2004-12-06,27.16,27.5,26.29,27.44,1980700,27.44
2004-12-07,27.76,27.76,26.77,26.96,1251200,26.96
2004-12-08,27.05,28.0,26.86,28.0,1141100,28.0
2004-12-09,27.75,28.24,26.9,28.0,1625200,28.0
2004-12-10,27.85,27.98,27.46,27.79,724900,27.79
2004-12-13,27.96,28.9,27.74,28.78,1049100,28.78
2004-12-14,28.64,29.48,28.5,29.47,1275800,29.47
2004-12-15,29.65,29.68,28.55,28.93,1459300,28.93
2004-12-16,28.89,29.35,28.58,28.75,699900,28.75
2004-12-17,28.88,28.95,28.03,28.28,834000,28.28
2004-12-20,28.38,28.44,27.9,27.98,794100,27.98
2004-12-21,27.86,28.5,27.85,28.5,649500,28.5
2004-12-22,28.57,28.72,28.09,28.21,300100,28.21
2004-12-23,28.13,28.62,28.06,28.31,358100,28.31
2004-12-27,28.38,28.6,27.79,28.07,256800,28.07
2004-12-28,27.96,28.32,27.92,28.18,391200,28.18
2004-12-29,28.01,28.93,27.86,28.68,679200,28.68
2004-12-30,28.58,28.86,28.42,28.5,362800,28.5
2004-12-31,28.29,28.64,28.04,28.28,350300,28.28
2005-01-03,28.3,29.28,28.26,28.86,933500,28.86
2005-01-04,28.77,28.98,27.4,27.7,769900,27.7
2005-01-05,27.27,27.45,26.28,26.92,1444600,26.92
2005-01-06,26.98,27.57,26.89,27.36,457100,27.36
2005-01-07,27.28,27.49,26.4,26.87,839400,26.87
2005-01-10,26.5,27.26,26.45,26.85,569300,26.85
2005-01-11,26.7,26.86,25.88,25.97,801100,25.97
2005-01-12,25.87,26.3,25.43,25.9,830000,25.9
2005-01-13,26.05,26.05,25.3,25.41,642300,25.41
2005-01-14,25.4,25.6,25.1,25.5,766400,25.5
2005-01-18,25.66,25.9,25.17,25.82,541400,25.82
2005-01-19,26.43,27.25,26.25,26.85,1315500,26.85
2005-01-20,26.55,27.45,26.55,26.87,682900,26.87
2005-01-21,26.91,27.18,26.15,26.26,423300,26.26
2005-01-24,26.38,26.8,26.04,26.22,552400,26.22
2005-01-25,26.15,26.73,25.63,25.66,602000,25.66
