Date,Open,High,Low,Close,Volume,Adj Close
2003-07-22,25.1,26.0,24.71,25.89,3607600,25.89
2003-07-23,25.99,26.62,25.15,26.33,3581100,26.33
2003-07-24,25.6,26.38,24.47,24.71,4915500,24.71
2003-07-25,24.56,24.75,22.74,24.15,6794300,24.15
2003-07-28,24.4,24.41,23.59,23.59,5468300,23.59
2003-07-29,23.75,23.77,22.9,22.93,4468100,22.93
2003-07-30,23.16,23.19,22.52,23.06,4137700,23.06
2003-07-31,24.8,25.43,24.54,24.66,7410200,24.66
2003-08-01,24.61,24.96,23.54,24.06,2665000,24.06
2003-08-04,24.05,24.66,24.0,24.51,1972600,24.51
2003-08-05,24.3,24.52,23.8,23.96,1888700,23.96
2003-08-06,23.78,24.2,23.45,23.8,1885100,23.8
2003-08-07,23.95,24.0,22.56,23.49,2945100,23.49
2003-08-08,23.55,23.75,22.74,23.01,1986500,23.01
2003-08-11,22.95,23.75,22.95,23.7,1398100,23.7
2003-08-12,23.63,24.0,23.31,23.99,1340600,23.99
2003-08-13,24.3,24.53,23.84,24.25,2069500,24.25
2003-08-14,24.3,24.87,23.99,24.75,1336500,24.75
2003-08-15,25.51,25.79,24.85,24.98,1074000,24.98
2003-08-18,25.06,26.99,25.05,26.76,3252100,26.76
2003-08-19,27.14,27.84,26.8,27.7,4372600,27.7
2003-08-20,27.13,27.4,26.53,26.92,1771100,26.92
2003-08-21,27.13,27.34,26.69,27.15,1678600,27.15
2003-08-22,28.25,30.03,27.2,27.58,4400600,27.58
2003-08-25,27.92,28.0,26.8,27.26,1536500,27.26
2003-08-26,27.12,27.59,26.02,27.59,2543900,27.59
2003-08-27,27.4,28.84,27.39,28.73,2606900,28.73
2003-08-28,28.46,29.14,28.12,28.88,1777500,28.88
2003-08-29,29.15,29.25,28.59,28.97,1338700,28.97
2003-09-02,29.24,29.44,28.19,28.62,1845400,28.62
2003-09-03,28.74,28.9,28.0,28.21,2060100,28.21
2003-09-04,28.07,29.15,27.75,29.0,1942400,29.0
2003-09-05,28.59,30.35,28.56,29.14,3215800,29.14
2003-09-08,29.4,30.06,29.4,29.91,2037500,29.91
2003-09-09,29.16,29.83,28.95,29.65,1073300,29.65
2003-09-10,28.94,29.06,27.0,27.1,2764800,27.1
2003-09-11,27.26,28.18,26.46,27.73,2072200,27.73
2003-09-12,27.48,28.26,26.96,28.05,1229200,28.05
2003-09-15,28.13,28.31,27.32,27.62,1372900,27.62
2003-09-16,27.62,29.17,27.62,28.69,3900900,28.69
2003-09-17,28.86,29.15,27.84,28.17,1938100,28.17
2003-09-18,27.91,28.35,27.01,28.35,2951300,28.35
2003-09-19,28.17,28.37,27.63,27.98,1529400,27.98
2003-09-22,27.03,27.58,26.99,27.06,1612900,27.06
2003-09-23,27.11,27.4,26.5,27.05,1971300,27.05
2003-09-24,27.1,27.3,25.55,25.55,1676500,25.55
2003-09-25,25.99,26.7,25.32,25.39,2626000,25.39
2003-09-26,25.45,25.73,24.39,24.5,1879200,24.5
2003-09-29,24.75,25.08,24.5,24.76,2588100,24.76
2003-09-30,24.56,24.65,23.65,23.8,2770000,23.8
