Date,Open,High,Low,Close,Volume,Adj Close
2003-11-10,64.9,65.01,62.7,62.7,591700,62.7
2003-11-11,62.85,63.43,61.16,62.05,751300,62.05
2003-11-12,62.0,64.23,61.84,63.99,768900,63.99
2003-11-13,64.02,65.36,63.26,65.32,743000,65.32
2003-11-14,65.49,66.0,62.82,63.5,998800,63.5
2003-11-17,62.91,63.66,62.49,63.55,416900,63.55
2003-11-18,63.78,63.87,62.26,62.76,927300,62.76
2003-11-19,62.86,65.4,62.51,64.12,1157300,64.12
2003-11-20,64.23,66.18,63.43,64.61,1320700,64.61
2003-11-21,65.17,66.9,64.25,64.85,1218400,64.85
2003-11-24,65.29,68.58,65.29,68.58,1157100,68.58
2003-11-25,67.99,68.4,66.87,67.89,1048900,67.89
2003-11-26,68.32,68.85,66.92,67.89,508400,67.89
2003-11-28,67.89,68.22,67.48,68.17,147100,68.17
2003-12-01,68.13,69.98,68.12,69.34,1142800,69.34
2003-12-02,69.04,70.0,68.13,68.26,1098700,68.26
2003-12-03,68.33,68.37,67.0,67.1,731000,67.1
2003-12-04,66.96,67.98,65.9,67.28,717600,67.28
2003-12-05,66.99,67.33,65.87,66.4,731100,66.4
2003-12-08,66.13,66.89,65.25,66.5,526400,66.5
2003-12-09,66.57,67.76,65.44,66.53,657600,66.53
2003-12-10,65.48,66.0,62.55,65.45,1875500,65.45
2003-12-11,65.27,67.24,64.43,66.7,746100,66.7
2003-12-12,66.59,66.86,64.73,65.56,582400,65.56
2003-12-15,66.1,66.62,64.8,64.91,561800,64.91
2003-12-16,64.7,65.74,63.21,64.05,866300,64.05
2003-12-17,63.9,65.14,63.62,64.28,531200,64.28
2003-12-18,64.18,64.7,63.8,64.21,679600,64.21
2003-12-19,64.48,64.95,63.11,64.39,741800,64.39
2003-12-22,64.43,64.92,63.45,64.68,500300,64.68
2003-12-23,64.64,65.57,64.2,65.15,379900,65.15
2003-12-24,65.3,69.65,65.15,69.55,1775900,69.55
2003-12-26,69.16,69.99,68.95,69.5,379200,69.5
2003-12-29,69.91,70.94,69.42,70.76,1065800,70.76
2003-12-30,69.77,70.5,69.5,70.48,844900,70.48
2003-12-31,70.43,70.6,69.9,69.91,407200,69.91
2004-01-02,70.43,70.52,68.56,69.34,579800,69.34
2004-01-05,69.17,69.17,67.25,67.68,1065000,67.68
2004-01-06,68.24,69.0,67.18,67.3,907800,67.3
2004-01-07,67.17,68.14,66.76,68.02,556700,68.02
2004-01-08,68.18,69.0,67.52,68.19,682200,68.19
2004-01-09,67.69,69.65,67.64,69.36,1106000,69.36
2004-01-12,69.28,70.45,68.85,70.06,1081900,70.06
2004-01-13,70.16,71.0,69.7,70.26,874400,70.26
2004-01-14,70.34,72.22,70.3,72.02,1515200,72.02
2004-01-15,71.57,74.4,71.55,73.75,1502200,73.75
2004-01-16,73.99,76.45,73.75,76.14,1669600,76.14
