Date,Open,High,Low,Close,Volume,Adj Close
2003-09-11,16.55,16.89,16.26,16.79,9208500,16.79
2003-09-12,17.19,17.45,16.62,17.18,13667200,17.18
2003-09-15,16.92,17.0,16.35,16.4,10855800,16.4
2003-09-16,16.33,16.8,16.2,16.73,11545900,16.73
2003-09-17,16.75,16.98,16.56,16.79,7475800,16.79
2003-09-18,16.73,16.83,16.55,16.67,6198600,16.67
2003-09-19,16.76,16.81,16.28,16.41,6069900,16.41
2003-09-22,15.99,16.36,15.9,16.17,6344900,16.17
2003-09-23,16.03,16.11,15.85,16.05,7477000,16.05
2003-09-24,16.11,16.6,15.68,15.68,11769200,15.68
2003-09-25,15.82,15.83,15.17,15.3,7208800,15.3
2003-09-26,15.31,15.68,14.99,15.0,7861300,15.0
2003-09-29,15.2,15.48,14.75,15.41,7886600,15.41
2003-09-30,15.24,15.39,14.91,15.0,7235100,15.0
2003-10-01,15.07,15.43,15.01,15.17,7847900,15.17
2003-10-02,15.29,15.42,15.12,15.24,6622900,15.24
2003-10-03,15.85,16.94,15.81,16.63,19404800,16.63
2003-10-06,16.91,17.33,16.8,17.29,9615600,17.29
2003-10-07,17.18,18.2,17.05,18.04,17376800,18.04
2003-10-08,18.11,18.41,17.79,17.95,13722800,17.95
2003-10-09,18.4,18.9,18.12,18.4,18921700,18.4
2003-10-10,18.85,18.9,17.51,17.62,38745600,17.62
2003-10-13,17.8,17.85,17.43,17.6,10421800,17.6
2003-10-14,17.6,17.95,17.5,17.78,10916400,17.78
2003-10-15,17.97,17.99,17.05,17.09,12701100,17.09
2003-10-16,16.96,17.44,16.87,17.41,7152400,17.41
2003-10-17,17.46,17.5,16.96,17.09,6302000,17.09
2003-10-20,17.19,17.3,16.93,17.0,4296300,17.0
2003-10-21,17.05,17.3,16.98,17.03,5026200,17.03
2003-10-22,16.9,16.93,16.64,16.76,5051300,16.76
2003-10-23,16.44,16.59,16.27,16.49,7750400,16.49
2003-10-24,16.51,16.75,16.32,16.49,8073800,16.49
2003-10-27,16.7,16.94,16.66,16.86,7031200,16.86
2003-10-28,17.06,17.73,16.98,17.68,10180800,17.68
2003-10-29,17.67,18.0,17.66,17.95,7051400,17.95
2003-10-30,18.3,18.4,17.79,17.86,10264000,17.86
2003-10-31,18.18,18.55,17.83,18.0,12002600,18.0
2003-11-03,18.31,18.6,18.24,18.55,8091600,18.55
2003-11-04,18.64,18.8,18.37,18.5,7734200,18.5
2003-11-05,18.36,19.05,18.36,19.01,10073800,19.01
2003-11-06,19.37,19.38,18.82,19.0,11232900,19.0
2003-11-07,19.25,19.29,18.65,18.7,6229100,18.7
2003-11-10,18.83,18.95,18.19,18.33,7628400,18.33
2003-11-11,18.33,18.65,18.16,18.36,5430700,18.36
2003-11-12,18.41,18.68,18.18,18.6,5742400,18.6
2003-11-13,18.51,18.95,18.4,18.46,6497900,18.46
2003-11-14,18.68,18.84,17.69,17.75,9746500,17.75
2003-11-17,17.56,17.77,17.44,17.61,7507800,17.61
2003-11-18,17.82,18.11,17.26,17.3,8446100,17.3
2003-11-19,17.46,17.92,17.31,17.69,6611900,17.69
2003-11-20,17.56,17.9,17.4,17.4,5656800,17.4
2003-11-21,17.5,17.64,17.21,17.42,4813600,17.42
2003-11-24,17.67,18.38,17.64,18.3,6570800,18.3
2003-11-25,18.42,18.82,18.26,18.63,8981600,18.63
2003-11-26,18.73,18.87,18.2,18.67,5581300,18.67
2003-11-28,18.64,18.9,18.54,18.87,2013300,18.87
2003-12-01,18.93,19.09,18.59,18.95,6766300,18.95
2003-12-02,18.86,18.95,18.31,18.38,6040500,18.38
2003-12-03,18.54,18.65,17.91,17.97,4781200,17.97
2003-12-04,18.13,18.4,17.79,18.14,8009100,18.14
2003-12-05,17.96,18.13,17.76,17.9,3189600,17.9
