Date,Open,High,Low,Close,Volume,Adj Close
2004-06-23,23.5,23.75,23.34,23.67,2930500,23.67
2004-06-24,23.85,23.88,23.5,23.62,3619200,23.62
2004-06-25,23.54,23.97,23.24,23.36,3376200,23.36
2004-06-28,23.54,23.58,23.0,23.12,2290600,23.12
2004-06-29,23.2,23.42,23.11,23.17,2148300,23.17
2004-06-30,23.09,23.56,23.0,23.39,3351900,23.39
2004-07-01,23.48,23.53,23.15,23.3,1993300,23.3
2004-07-02,23.4,23.72,23.16,23.45,1553300,23.45
2004-07-06,23.66,23.69,22.99,22.99,2784000,22.99
2004-07-07,23.05,23.2,22.25,22.74,3521500,22.74
2004-07-08,22.62,23.06,22.55,22.64,2050100,22.64
2004-07-09,22.89,23.06,22.6,22.67,1896100,22.67
2004-07-12,22.72,23.12,22.5,22.99,1479800,22.99
2004-07-13,22.8,23.43,22.78,23.12,2139100,23.12
2004-07-14,23.01,23.47,22.74,22.75,2235200,22.75
2004-07-15,22.96,23.5,22.8,23.21,1419900,23.21
2004-07-16,23.54,23.56,22.51,22.54,1618200,22.54
2004-07-19,22.71,23.05,22.08,22.62,2537400,22.62
2004-07-20,22.47,23.25,22.45,23.25,2348800,23.25
2004-07-21,23.08,23.47,22.1,22.5,3268900,22.5
2004-07-22,22.24,23.34,21.95,23.18,2891900,23.18
2004-07-23,22.96,23.08,22.41,22.51,3052200,22.51
2004-07-26,22.56,22.74,22.06,22.51,2802600,22.51
2004-07-27,22.39,23.34,22.37,23.15,2055400,23.15
2004-07-28,23.18,23.51,22.56,23.21,1819800,23.21
2004-07-29,23.44,23.52,22.9,23.12,1365700,23.12
2004-07-30,22.95,23.26,22.9,23.04,1181600,23.04
2004-08-02,22.9,23.07,22.6,22.75,1747000,22.75
2004-08-03,22.63,22.9,22.51,22.51,1276000,22.51
2004-08-04,22.49,22.8,22.35,22.53,1803400,22.53
2004-08-05,22.62,22.83,22.35,22.46,2134500,22.46
2004-08-06,22.57,22.64,22.03,22.16,1731000,22.16
2004-08-09,22.25,22.45,21.75,21.85,1713300,21.85
2004-08-10,21.89,22.23,21.7,22.13,2603100,22.13
2004-08-11,22.05,22.53,21.96,22.37,2695400,22.37
2004-08-12,22.28,22.45,22.1,22.17,1815000,22.17
2004-08-13,22.03,22.25,21.88,21.96,2007300,21.96
2004-08-16,21.87,22.43,21.87,22.38,1514000,22.38
2004-08-17,22.3,22.6,22.28,22.38,1933200,22.38
2004-08-18,22.58,23.51,22.46,23.45,2283300,23.45
2004-08-19,23.2,23.51,22.88,23.14,1613900,23.14
2004-08-20,23.01,23.44,23.01,23.38,1552200,23.38
2004-08-23,23.44,23.44,23.0,23.14,1157000,23.14
2004-08-24,23.29,23.42,23.06,23.13,962800,23.13
2004-08-25,23.2,23.79,23.14,23.7,984800,23.7
2004-08-26,23.81,23.84,23.49,23.53,1934200,23.53
2004-08-27,24.05,25.15,23.98,24.49,6038900,24.49
2004-08-30,23.56,24.13,23.5,23.76,4336500,23.76
2004-08-31,23.78,24.0,23.53,23.87,1766400,23.87
2004-09-01,23.89,24.02,23.55,23.85,2057900,23.85
2004-09-02,23.78,24.53,23.6,24.39,1401600,24.39
2004-09-03,24.36,24.5,23.6,23.6,1854800,23.6
