Date,Open,High,Low,Close,Volume,Adj Close
2004-01-07,50.73,50.99,50.16,50.55,1921000,50.55
2004-01-08,50.65,50.85,49.7,50.33,1991700,50.33
2004-01-09,49.62,51.04,49.07,50.19,3710300,50.19
2004-01-12,50.09,51.0,49.5,50.9,1971400,50.9
2004-01-13,50.51,50.69,49.0,49.63,3208100,49.63
2004-01-14,49.66,49.94,48.8,49.6,1837800,49.6
2004-01-15,49.52,50.29,48.7,49.68,2032500,49.68
2004-01-16,49.84,52.0,48.66,51.7,5005100,51.7
2004-01-20,52.67,54.25,52.3,54.0,5604000,54.0
2004-01-21,53.67,53.88,52.62,53.04,4792500,53.04
2004-01-22,50.9,52.62,48.75,50.28,9499900,50.28
2004-01-23,50.58,50.89,49.02,49.85,4775300,49.85
2004-01-26,49.75,50.04,48.42,49.12,3190500,49.12
2004-01-27,49.2,49.76,48.07,48.19,2599700,48.19
2004-01-28,48.77,48.84,47.16,47.48,2661700,47.48
2004-01-29,47.44,47.79,45.83,47.44,3479000,47.44
2004-01-30,47.47,48.12,46.33,46.94,2689900,46.94
2004-02-02,46.9,47.77,46.35,47.1,2627700,47.1
2004-02-03,46.75,48.17,46.65,47.91,1925500,47.91
2004-02-04,47.61,48.24,46.56,47.34,3532000,47.34
2004-02-05,47.52,47.73,46.57,46.7,2078000,46.7
2004-02-06,46.81,48.02,46.56,48.0,2204400,48.0
2004-02-09,47.98,48.45,47.72,48.27,1899100,48.27
2004-02-10,48.4,49.22,47.98,48.41,1879000,48.41
2004-02-11,48.33,49.35,47.85,48.77,1985400,48.77
2004-02-12,48.6,49.28,48.14,48.19,1488700,48.19
2004-02-13,48.15,48.86,46.94,47.61,1464300,47.61
2004-02-17,48.06,48.2,47.39,48.12,1791600,48.12
2004-02-18,47.98,50.41,47.7,50.1,3971800,50.1
2004-02-19,50.0,50.2,48.58,48.61,2343900,48.61
2004-02-20,48.6,49.36,47.56,48.71,2182900,48.71
2004-02-23,48.75,49.11,47.18,47.67,2215200,47.67
2004-02-24,47.18,48.37,46.91,47.35,2226200,47.35
2004-02-25,47.35,47.93,46.5,47.19,2090200,47.19
2004-02-26,47.15,47.75,46.53,47.45,1705500,47.45
2004-02-27,47.6,48.55,47.32,48.54,2256500,48.54
2004-03-01,48.15,49.4,48.05,49.11,1987800,49.11
2004-03-02,48.75,48.93,46.56,46.83,6872800,46.83
2004-03-03,46.98,47.19,46.0,46.26,4521100,46.26
2004-03-04,46.14,47.0,46.0,46.39,2853800,46.39
2004-03-05,46.0,46.93,45.89,46.44,3214700,46.44
2004-03-08,46.5,46.92,44.62,44.75,4577000,44.75
2004-03-09,44.9,45.21,43.63,44.35,3894000,44.35
2004-03-10,44.35,44.74,43.48,43.49,3916400,43.49
2004-03-11,43.64,44.15,42.71,42.9,3559100,42.9
2004-03-12,43.56,43.8,42.94,43.73,3067800,43.73
2004-03-15,43.47,43.62,41.53,41.85,3777400,41.85
2004-03-16,42.26,42.64,41.34,42.38,3426100,42.38
2004-03-17,43.13,43.43,42.68,42.93,1881500,42.93
2004-03-18,42.74,42.9,41.7,42.68,2839200,42.68
2004-03-19,43.13,43.84,42.73,43.14,3315500,43.14
2004-03-22,42.94,43.07,41.21,41.9,3889700,41.9
2004-03-23,42.36,43.14,42.06,42.07,3120500,42.07
2004-03-24,42.19,42.98,41.88,42.46,2563100,42.46
2004-03-25,42.76,44.14,42.68,43.83,3142900,43.83
2004-03-26,43.62,44.82,43.54,43.97,1948600,43.97
2004-03-29,44.33,45.05,44.21,44.6,1944300,44.6
2004-03-30,44.68,44.89,43.76,44.56,1337900,44.56
2004-03-31,44.58,45.11,43.96,44.8,2119200,44.8
2004-04-01,44.67,45.2,44.5,45.05,2281900,45.05
2004-04-02,46.01,46.6,45.65,46.35,2363900,46.35
2004-04-05,46.28,46.98,46.28,46.84,1936100,46.84
2004-04-06,46.5,46.88,46.28,46.51,1431000,46.51
2004-04-07,46.51,46.57,45.54,46.19,1441800,46.19
2004-04-08,46.75,47.14,46.18,46.45,1521100,46.45
2004-04-12,46.43,46.82,45.92,46.22,1236200,46.22
2004-06-23,49.22,50.19,49.15,49.99,2257400,49.99
2004-06-24,49.91,50.94,49.87,50.44,1953900,50.44
2004-06-25,50.3,50.67,48.93,50.6,2779000,50.6
2004-06-28,50.06,50.45,49.72,49.77,1303900,49.77
2004-06-29,49.75,50.66,49.61,49.85,1357200,49.85
2004-06-30,49.85,50.16,49.36,49.83,1733700,49.83
2004-07-01,49.55,50.08,49.01,49.02,2157500,49.02
2004-07-02,49.0,49.22,47.79,48.0,2733500,48.0
2004-07-06,47.96,48.0,45.79,46.17,5643600,46.17
2004-07-07,45.78,46.05,44.67,45.19,3441300,45.19
2004-07-08,43.97,44.41,43.15,43.31,5475000,43.31
2004-07-09,43.97,45.58,43.67,45.08,4321900,45.08
2004-07-12,44.76,45.0,43.95,44.51,1732400,44.51
2004-07-13,44.5,44.97,43.93,44.11,1380500,44.11
2004-07-14,43.75,44.18,43.51,43.68,2534500,43.68
2004-07-15,43.7,44.0,43.0,43.14,2129400,43.14
2004-07-16,43.41,43.46,41.8,42.26,2967900,42.26
2004-07-19,42.57,42.67,41.65,41.98,1773000,41.98
2004-07-20,41.96,42.76,41.0,42.73,2580400,42.73
2004-07-21,36.25,38.5,35.37,37.93,28921400,37.93
2004-07-22,37.8,37.8,35.9,36.31,5564400,36.31
2004-07-23,36.14,36.15,35.22,35.47,3616400,35.47
2004-07-26,35.6,36.57,34.7,35.07,3300800,35.07
2004-07-27,35.21,35.48,34.99,35.23,2181300,35.23
2004-07-28,35.16,35.83,33.93,35.39,4413400,35.39
2004-07-29,35.84,36.72,35.69,36.3,3028200,36.3
2004-07-30,36.15,37.48,35.8,36.56,2691400,36.56
2004-08-02,36.48,36.54,35.64,35.87,2046200,35.87
2004-08-03,36.05,36.19,34.2,34.3,3889600,34.3
2004-08-04,34.25,34.59,33.62,34.15,3407600,34.15
2004-08-05,34.48,34.62,33.98,34.1,3016000,34.1
2004-08-06,33.75,33.93,32.78,32.95,3467200,32.95
2004-08-09,33.0,33.51,32.7,33.08,2855000,33.08
2004-08-10,33.2,34.47,33.0,34.15,3321600,34.15
2004-08-11,33.49,33.73,32.77,33.39,2814300,33.39
2004-08-12,33.05,33.5,32.92,33.05,3119400,33.05
2004-08-13,33.36,34.38,32.87,34.01,3577600,34.01
2004-08-16,33.5,34.96,33.44,34.77,2383500,34.77
2004-08-17,34.96,35.71,34.96,35.31,2063700,35.31
2004-08-18,35.11,36.15,35.0,36.02,2021100,36.02
2004-08-19,36.03,36.34,35.28,35.62,1770300,35.62
2004-08-20,35.59,37.03,35.47,36.28,1917900,36.28
2004-08-23,36.54,36.73,36.07,36.07,1233600,36.07
2004-08-24,36.49,36.49,35.3,35.58,2076800,35.58
2004-08-25,36.15,36.41,35.76,36.03,1895400,36.03
2004-08-26,35.95,36.35,35.64,35.7,902200,35.7
2004-08-27,36.08,36.1,35.39,35.5,1364900,35.5
2004-08-30,35.52,35.55,34.65,34.72,1593500,34.72
2004-08-31,34.93,34.95,34.04,34.51,1814700,34.51
2004-09-01,34.52,35.14,34.17,34.71,2041500,34.71
2004-09-02,34.63,35.25,34.39,35.09,1096600,35.09
2004-09-03,34.55,34.89,33.39,33.89,2009900,33.89
2004-09-07,34.2,34.89,34.19,34.62,1847800,34.62
2004-09-08,34.46,34.7,32.89,33.07,4918700,33.07
2004-09-09,33.21,33.45,32.1,32.68,4541400,32.68
2004-09-10,32.95,35.32,32.8,35.14,4063600,35.14
2004-09-13,36.2,37.7,35.89,37.19,5687200,37.19
2004-09-14,36.92,38.25,36.9,37.77,3043600,37.77
2004-09-15,37.49,37.69,36.64,36.71,2257200,36.71
2004-09-16,35.52,36.99,35.49,36.48,3210500,36.48
2004-09-17,36.8,37.32,36.51,36.88,1800100,36.88
2004-09-20,36.79,37.49,36.54,36.72,2328000,36.72
2004-09-21,36.87,36.95,36.12,36.43,2441600,36.43
2004-09-22,36.34,36.39,34.97,35.0,3583600,35.0
2004-09-23,35.11,35.18,34.41,34.71,3186500,34.71
2004-09-24,34.78,34.8,34.05,34.15,2177600,34.15
2004-10-07,39.0,39.3,38.7,38.93,2316400,38.93
2004-10-08,38.78,38.78,37.78,37.97,3156600,37.97
2004-10-11,38.04,38.28,37.61,37.92,1272100,37.92
2004-10-12,37.46,37.83,36.91,37.59,2289300,37.59
2004-10-13,37.82,38.46,37.81,37.97,2230700,37.97
2004-10-14,37.8,38.0,36.98,37.13,2259100,37.13
2004-10-15,37.2,37.46,36.6,37.22,2286200,37.22
2004-10-18,37.28,38.78,37.22,38.69,2156700,38.69
2004-10-19,39.61,39.63,38.6,38.77,2072300,38.77
