Date,Open,High,Low,Close,Volume,Adj Close
2004-08-23,37.56,37.75,37.2,37.49,211100,37.49
2004-08-24,37.46,37.55,36.48,36.71,515000,36.71
2004-08-25,36.89,37.49,36.27,37.39,691800,37.39
2004-08-26,37.29,37.4,36.79,36.81,158000,36.81
2004-08-27,37.08,37.08,36.41,36.52,147700,36.52
2004-08-30,36.38,36.52,36.0,36.03,332900,36.03
2004-08-31,36.19,36.76,36.0,36.65,135300,36.65
2004-09-01,36.06,37.0,35.95,36.8,409000,36.8
2004-09-02,36.97,36.97,36.44,36.82,239200,36.82
2004-09-03,36.61,38.32,36.54,37.9,1228800,37.9
2004-09-07,38.24,39.0,37.95,38.86,380600,38.86
2004-09-08,38.52,39.12,38.07,38.8,244600,38.8
2004-09-09,38.5,39.02,38.05,38.3,502400,38.3
2004-09-10,38.35,39.43,38.09,38.8,1104700,38.8
2004-09-13,39.05,40.53,38.8,40.43,1126400,40.43
2004-09-14,40.21,40.42,39.52,40.29,1285100,40.29
2004-09-15,40.1,40.3,39.8,40.07,471800,40.07
2004-09-16,40.05,40.9,40.05,40.47,501200,40.47
2004-09-17,40.4,40.89,40.39,40.71,273500,40.71
2004-09-20,40.63,41.23,40.39,41.04,1112800,41.04
2004-09-21,41.31,41.78,41.2,41.74,563600,41.74
2004-09-22,41.45,41.9,41.3,41.6,751600,41.6
2004-09-23,41.44,43.25,41.44,42.75,1225100,42.75
2004-09-24,42.91,43.85,42.45,43.51,1260000,43.51
2004-09-27,41.85,42.73,41.49,42.27,2349400,42.27
2004-09-28,40.3,40.75,39.8,40.55,3208800,40.55
2004-09-29,40.43,41.14,40.43,41.1,935100,41.1
2004-09-30,41.05,41.53,40.86,41.21,681100,41.21
2004-10-01,41.39,41.6,41.05,41.28,487400,41.28
2004-10-04,41.65,42.93,41.1,41.89,3248100,41.89
2004-10-05,41.8,42.17,41.29,42.0,890200,42.0
2004-10-06,42.0,42.58,41.63,42.19,633900,42.19
2004-10-07,42.52,42.52,42.1,42.2,533400,42.2
2004-10-08,42.03,42.5,41.92,42.02,267800,42.02
2004-10-11,42.23,42.56,41.71,42.19,195400,42.19
2004-10-12,42.03,42.33,41.75,42.16,320700,42.16
2004-10-13,42.28,42.59,41.51,41.6,632300,41.6
2004-10-14,41.51,42.24,41.42,41.77,394900,41.77
2004-10-15,41.86,42.0,41.54,41.58,363300,41.58
2004-10-18,41.6,41.86,41.51,41.79,191900,41.79
2004-10-19,41.98,43.14,41.88,42.72,372900,42.72
2004-10-20,42.75,43.52,42.19,43.23,434600,43.23
2004-10-21,43.61,43.62,42.9,43.0,741800,43.0
2004-10-22,42.95,43.24,42.77,42.88,372000,42.88
2004-10-25,43.0,43.12,42.47,42.95,417300,42.95
2004-10-26,42.76,43.73,42.67,43.73,630500,43.73
2004-10-27,43.53,44.27,43.08,44.25,561700,44.25
2004-10-28,44.3,44.3,43.35,43.63,381100,43.63
2004-10-29,43.7,44.5,43.7,44.27,406900,44.27
2004-11-01,44.16,44.27,43.5,43.6,603600,43.6
2004-11-02,43.7,44.0,42.83,43.08,790000,43.08
2004-11-03,43.55,44.19,42.75,44.1,792800,44.1
2004-11-04,42.42,43.53,41.5,41.9,2529900,41.9
2004-11-05,42.2,44.48,42.0,42.24,1198000,42.24
2004-11-08,42.25,42.4,42.0,42.05,392300,42.05
2004-11-09,42.36,42.51,41.73,42.07,376000,42.07
2004-11-10,42.07,42.17,41.64,42.02,715600,42.02
2004-11-11,41.85,42.31,41.16,42.31,1159500,42.31
2004-11-12,42.45,42.97,41.92,42.52,700700,42.52
2004-11-15,42.07,42.92,42.07,42.28,631500,42.28
2004-11-16,42.27,43.79,41.64,43.47,1290900,43.47
2004-11-17,43.44,43.75,42.44,42.72,682700,42.72
2004-11-18,42.53,43.11,42.14,42.55,398300,42.55
2004-11-19,42.6,42.67,40.66,41.14,770600,41.14
2004-11-22,40.74,43.18,40.55,43.09,1235900,43.09
2004-11-23,43.15,43.5,42.18,43.26,667900,43.26
2006-03-22,51.56,52.53,50.86,52.28,635300,52.28
2006-03-23,52.28,53.86,52.26,52.9,1117200,52.9
2006-03-24,52.85,54.63,52.85,54.35,1490000,54.35
2006-03-27,55.26,56.19,54.67,55.72,3054800,55.72
2006-03-28,55.71,56.45,55.28,55.9,2765600,55.9
2006-03-29,55.92,57.53,55.5,57.25,2064200,57.25
2006-03-30,57.05,58.04,55.98,57.92,1562200,57.92
2006-03-31,58.02,59.34,57.75,58.97,3730200,58.97
2006-04-03,59.4,59.91,58.65,58.68,2313800,58.68
2006-04-04,58.68,59.11,58.42,58.89,1133200,58.89
2006-04-05,58.62,59.13,57.58,58.69,1611000,58.69
2006-04-06,58.69,58.71,56.6,57.29,1859100,57.29
2006-04-07,57.58,58.25,55.74,56.21,1804600,56.21
2006-04-10,56.59,57.49,56.35,56.98,1062800,56.98
2006-04-11,57.26,57.65,55.25,55.61,1186900,55.61
2006-04-12,55.56,56.78,55.56,56.51,735400,56.51
2006-04-13,56.73,58.02,55.67,57.78,953300,57.78
2006-04-17,57.9,58.49,57.47,58.24,882600,58.24
2006-04-18,58.08,59.74,57.5,59.33,1389400,59.33
2006-04-19,59.13,59.18,57.8,58.94,1151300,58.94
2006-04-20,58.7,59.4,58.19,58.94,895800,58.94
2006-04-21,59.02,59.4,57.71,58.25,888400,58.25
2006-04-24,58.55,59.68,57.78,59.36,1099800,59.36
2006-04-25,59.67,60.25,59.1,60.07,2097300,60.07
2006-04-26,60.25,60.93,59.88,60.77,2188400,60.77
2006-04-27,61.49,61.81,57.55,58.17,2778100,58.17
2006-04-28,58.65,60.4,58.46,59.9,2553400,59.9
2006-05-01,59.0,60.02,58.59,59.37,1757100,59.37
2006-05-02,59.31,61.18,59.21,60.86,2165200,60.86
2006-05-03,60.74,61.03,59.99,60.7,1076800,60.7
2006-05-04,60.63,61.9,60.58,61.77,1204000,61.77
2006-05-05,61.81,64.55,61.63,63.66,2541300,63.66
2006-05-08,63.24,65.85,63.24,65.34,3400400,65.34
2006-05-09,65.07,66.25,64.93,66.02,1762900,66.02
2006-05-10,66.0,66.84,65.03,66.73,1848800,66.73
2006-05-11,66.13,67.18,64.1,65.0,2526400,65.0
2006-05-12,64.65,64.67,62.13,62.36,2684000,62.36
2006-05-15,61.81,63.17,60.79,61.72,2162400,61.72
