Date,Open,High,Low,Close,Volume,Adj Close
2004-07-09,7.0,7.02,6.85,6.93,7856800,6.93
2004-07-12,6.85,6.95,6.6,6.75,5653200,6.75
2004-07-13,6.68,6.8,6.43,6.54,7394700,6.54
2004-07-14,6.39,7.18,6.34,7.02,15429400,7.02
2004-07-15,7.02,7.19,6.93,7.07,5646400,7.07
2004-07-16,7.29,7.34,7.04,7.1,9103100,7.1
2004-07-19,7.2,7.22,6.87,6.99,7472600,6.99
2004-07-20,7.06,7.25,6.99,7.21,3819200,7.21
2004-07-21,7.21,7.3,6.89,6.92,4487000,6.92
2004-07-22,6.82,7.07,6.72,7.01,4322100,7.01
2004-07-23,6.89,6.94,6.68,6.79,3247900,6.79
2004-07-26,6.8,6.83,6.32,6.43,5752600,6.43
2004-07-27,6.44,6.76,6.44,6.68,4580100,6.68
2004-07-28,6.7,6.71,6.45,6.58,2612200,6.58
2004-07-29,6.57,6.89,6.57,6.79,4167500,6.79
2004-07-30,6.8,7.02,6.71,6.84,3679300,6.84
2004-08-02,7.05,7.29,7.0,7.27,11837900,7.27
2004-08-03,7.27,7.28,6.83,6.92,5306500,6.92
2004-08-04,6.81,7.07,6.77,6.94,3751500,6.94
2004-08-05,6.95,7.17,6.83,6.9,6397700,6.9
2004-08-06,6.67,6.86,6.5,6.6,4617800,6.6
2004-08-09,6.68,6.77,6.44,6.51,5426600,6.51
2004-08-10,6.48,6.71,6.48,6.7,4217100,6.7
2004-08-11,6.53,6.72,6.4,6.71,5397300,6.71
2004-08-12,6.67,6.74,6.15,6.29,9299100,6.29
2004-08-13,6.39,6.41,6.17,6.23,3334100,6.23
2004-08-16,6.26,6.46,6.16,6.32,7298700,6.32
2004-08-17,6.39,6.61,6.33,6.36,4577400,6.36
2004-08-18,6.3,6.56,6.12,6.55,3807900,6.55
2004-08-19,6.56,6.68,6.33,6.39,7692200,6.39
2004-08-20,6.03,6.35,5.87,6.26,12440900,6.26
2004-08-23,6.35,6.41,6.3,6.34,5095800,6.34
2004-08-24,6.37,6.47,6.2,6.25,4515800,6.25
2004-08-25,6.32,6.37,6.14,6.31,4265100,6.31
2004-08-26,6.36,6.37,6.15,6.18,2297000,6.18
2004-08-27,6.21,6.28,6.11,6.16,2597700,6.16
2004-08-30,6.12,6.18,5.9,5.91,4405800,5.91
2004-08-31,5.98,6.0,5.62,5.9,6907500,5.9
2004-09-01,5.92,5.95,5.8,5.9,2892000,5.9
2004-09-02,5.87,6.09,5.82,6.07,3848100,6.07
2004-09-03,6.07,6.13,5.76,5.79,3265600,5.79
2004-09-07,5.9,6.06,5.81,5.94,3318600,5.94
2004-09-08,5.98,6.0,5.75,5.78,3251100,5.78
2004-09-09,5.82,5.99,5.8,5.92,2722600,5.92
2004-09-10,5.95,6.45,5.91,6.42,7634300,6.42
2004-09-13,6.54,6.74,6.45,6.55,7600000,6.55
2004-09-14,6.56,7.03,6.43,7.0,10722900,7.0
2004-09-15,6.98,7.01,6.75,6.81,5222200,6.81
2004-09-16,6.81,7.15,6.74,6.98,6408100,6.98
2004-09-17,7.02,7.19,6.95,6.98,4367400,6.98
2004-09-20,7.05,7.14,6.95,6.97,3508100,6.97
2004-09-21,6.88,6.98,6.66,6.74,7524900,6.74
2004-09-22,6.8,6.84,6.56,6.57,3232800,6.57
2004-09-23,6.57,6.67,6.5,6.58,2875800,6.58
2004-09-24,6.63,6.74,6.48,6.49,5837200,6.49
2004-09-27,6.49,6.5,6.36,6.38,3225800,6.38
2004-09-28,6.42,6.47,6.07,6.26,5843900,6.26
2004-09-29,6.24,6.55,6.19,6.4,3186300,6.4
2004-09-30,6.45,6.5,6.23,6.31,6298300,6.31
2004-10-01,6.4,6.91,6.36,6.85,6990100,6.85
2004-10-04,7.03,7.22,6.82,6.89,4962800,6.89
2004-10-05,6.95,7.11,6.9,6.98,3942600,6.98
2004-10-06,6.95,7.45,6.95,7.39,7721000,7.39
2004-10-07,7.24,7.35,7.18,7.2,5160400,7.2
2004-10-08,7.15,7.29,7.01,7.07,4426200,7.07
2004-10-11,7.06,7.23,7.02,7.19,2606600,7.19
2006-11-10,6.74,6.75,6.59,6.66,6976900,6.66
2006-11-13,6.75,6.77,6.64,6.71,4018900,6.71
2006-11-14,6.75,6.77,6.61,6.67,3326000,6.67
2006-11-15,6.66,6.71,6.62,6.66,4671100,6.66
2006-11-16,6.71,6.71,6.34,6.39,9732600,6.39
2006-11-17,6.37,6.4,6.26,6.3,7315800,6.3
2006-11-20,6.22,6.31,6.17,6.22,4932200,6.22
2006-11-21,6.22,6.32,6.21,6.29,4886300,6.29
2006-11-22,6.3,6.38,6.29,6.36,7479300,6.36
2006-11-24,6.28,6.33,6.25,6.28,1467400,6.28
2006-11-27,6.27,6.28,6.18,6.2,5542200,6.2
2006-11-28,6.19,6.21,6.11,6.2,6199000,6.2
2006-11-29,6.2,6.31,6.2,6.27,7744000,6.27
2006-11-30,6.26,6.31,6.25,6.28,5989000,6.28
2006-12-01,6.36,6.36,6.25,6.29,3537900,6.29
2006-12-04,6.32,6.33,6.27,6.3,5205000,6.3
2006-12-05,6.32,6.35,6.23,6.33,9648000,6.33
2006-12-06,5.88,6.04,5.7,5.99,23800500,5.99
2006-12-07,6.02,6.05,5.89,5.92,11956700,5.92
2006-12-08,5.9,6.14,5.89,6.07,8994700,6.07
2006-12-11,6.03,6.14,6.02,6.08,2723700,6.08
2006-12-12,6.08,6.1,5.98,6.0,4869900,6.0
2006-12-13,6.02,6.11,5.97,6.02,6432400,6.02
2006-12-14,6.02,6.22,6.01,6.17,3935900,6.17
2006-12-15,6.2,6.21,6.08,6.2,6246500,6.2
2006-12-18,6.18,6.2,6.12,6.15,6672000,6.15
2006-12-19,6.07,6.17,6.04,6.12,8073100,6.12
2006-12-20,6.1,6.16,6.01,6.12,5215800,6.12
2006-12-21,6.1,6.13,6.05,6.1,5179200,6.1
2006-12-22,6.09,6.18,6.08,6.14,4764400,6.14
2006-12-26,6.14,6.28,6.12,6.25,3285500,6.25
2006-12-27,6.25,6.34,6.25,6.32,9882100,6.32
2006-12-28,6.29,6.35,6.25,6.32,3067100,6.32
2006-12-29,6.26,6.34,6.18,6.2,4165400,6.2
2007-01-03,6.2,6.29,6.05,6.17,5073100,6.17
2007-01-04,6.2,6.46,6.12,6.4,6591300,6.4
2007-01-05,6.35,6.41,6.31,6.37,3018800,6.37
2007-01-08,6.32,6.4,6.24,6.33,3541500,6.33
2007-01-09,6.51,6.7,6.4,6.64,12815400,6.64
2007-01-10,6.6,6.62,6.49,6.59,4131300,6.59
2007-01-11,6.57,6.63,6.51,6.62,6167600,6.62
2007-01-12,6.6,6.73,6.56,6.69,5265100,6.69
2007-01-16,6.72,6.74,6.61,6.66,4116800,6.66
2007-01-17,6.81,6.87,6.73,6.8,6131000,6.8
2007-01-18,6.82,6.82,6.7,6.72,4751600,6.72
2007-01-19,6.65,6.73,6.62,6.69,3712100,6.69
2007-01-22,6.87,6.87,6.73,6.81,5478200,6.81
2007-01-23,6.92,7.09,6.89,7.0,15460500,7.0
2007-01-24,7.03,7.23,6.96,7.02,8510000,7.02
2007-01-25,7.09,7.09,6.96,6.99,3352400,6.99
2007-01-26,6.97,7.11,6.89,7.07,5863300,7.07
2007-01-29,7.09,7.14,7.03,7.13,4736800,7.13
2007-01-30,7.12,7.17,7.12,7.16,5140700,7.16
2007-01-31,7.15,7.35,7.07,7.25,7967900,7.25
2007-02-01,7.24,7.3,7.08,7.18,5757200,7.18
2007-02-02,7.19,7.32,7.12,7.16,7340800,7.16
2007-02-05,7.02,7.24,7.02,7.05,5783300,7.05
