Date,Open,High,Low,Close,Volume,Adj Close
2004-05-13,60.12,60.12,57.79,58.07,1346800,58.07
2004-05-14,57.81,59.25,54.83,55.28,2277100,55.28
2004-05-17,54.85,55.0,52.97,53.06,1669500,53.06
2004-05-18,53.64,55.0,53.3,54.16,646600,54.16
2004-05-19,54.64,57.0,54.63,55.57,1128800,55.57
2004-05-20,55.43,56.5,55.08,55.51,655900,55.51
2004-05-21,55.37,56.81,55.29,56.47,356300,56.47
2004-05-24,56.75,57.03,55.7,56.17,474500,56.17
2004-05-25,55.8,59.05,55.8,59.02,720800,59.02
2004-05-26,59.08,59.96,58.58,59.33,591300,59.33
2004-05-27,58.99,59.36,58.3,58.88,447200,58.88
2004-05-28,58.93,59.46,58.75,59.1,294400,59.1
2004-06-01,58.85,59.24,58.26,58.95,283100,58.95
2004-06-02,59.25,61.53,59.25,61.02,798700,61.02
2004-06-03,60.88,61.05,59.54,60.19,518000,60.19
2004-06-04,60.46,61.98,60.3,61.85,1084500,61.85
2004-06-07,61.96,63.7,61.75,63.46,701800,63.46
2004-06-08,63.15,63.39,62.4,62.76,278300,62.76
2004-06-09,62.46,62.5,61.41,61.82,288800,61.82
2004-06-10,61.86,62.05,61.2,61.69,454400,61.69
2004-06-14,61.36,61.62,59.63,59.86,536000,59.86
2004-06-15,60.68,60.72,59.26,59.38,536300,59.38
2004-06-16,59.67,59.9,58.8,58.97,339500,58.97
2004-06-17,58.76,60.4,58.76,59.52,498800,59.52
2004-06-18,59.76,61.45,59.56,60.63,964500,60.63
2004-06-21,60.85,61.24,60.41,60.93,473400,60.93
2004-06-22,61.09,61.12,59.5,60.2,554800,60.2
2004-06-23,60.14,60.68,59.73,60.08,528700,60.08
2004-06-24,59.97,60.4,59.01,59.31,421000,59.31
2004-06-25,59.3,59.84,58.4,58.4,584300,58.4
2004-06-28,59.07,60.49,57.92,58.13,672100,58.13
2004-06-29,58.07,58.57,57.1,57.63,826900,57.63
2004-06-30,56.8,57.89,56.77,57.62,727100,57.62
2004-07-01,57.41,57.89,56.84,57.16,511800,57.16
2004-07-02,57.38,57.78,56.42,56.89,334400,56.89
2004-07-06,57.31,57.73,55.85,57.24,796400,57.24
2004-07-07,57.21,57.88,56.57,57.12,759400,57.12
2004-07-08,56.86,57.41,56.41,57.19,1011400,57.19
2004-07-09,57.15,57.65,56.56,57.53,520200,57.53
2004-07-12,57.16,58.18,56.79,57.77,568500,57.77
2004-07-13,57.66,57.75,55.34,56.01,1101800,56.01
2004-07-14,56.04,56.48,54.8,55.1,1314000,55.1
2004-07-15,54.94,55.74,54.94,55.65,749700,55.65
2004-07-16,55.85,56.0,54.82,55.01,1099100,55.01
2004-07-19,55.13,55.95,54.4,54.99,1048000,54.99
2004-07-20,54.84,56.09,54.84,56.05,774700,56.05
2004-07-21,56.12,56.48,55.39,55.58,674900,55.58
2004-07-22,55.34,56.21,53.52,54.4,1174800,54.4
2004-07-23,54.1,54.31,52.89,54.1,1233400,54.1
2004-07-26,54.17,54.17,52.49,53.11,1436800,53.11
2004-07-27,53.21,54.29,52.89,53.58,691900,53.58
2004-07-28,53.23,53.75,52.43,52.43,683000,52.43
2004-07-29,52.9,53.21,51.81,52.08,1010800,52.08
2004-07-30,52.1,52.35,51.53,52.12,507000,52.12
2004-08-02,52.0,53.4,52.0,52.84,841300,52.84
2004-08-03,53.07,53.59,52.75,52.94,850700,52.94
2004-08-04,52.4,52.8,46.65,48.99,5884500,48.99
2004-08-05,49.02,49.38,47.66,48.18,3113800,48.18
2004-08-06,47.95,48.51,47.39,47.94,1904700,47.94
2004-08-09,48.2,48.32,47.03,47.22,944600,47.22
