Date,Open,High,Low,Close,Volume,Adj Close
2004-07-14,73.2,74.06,73.0,73.34,347600,73.34
2004-07-15,72.97,73.86,72.23,73.22,284300,73.22
2004-07-16,73.06,73.42,72.03,72.03,345300,72.03
2004-07-19,72.14,73.23,72.1,73.02,280500,73.02
2004-07-20,73.1,73.84,72.72,73.84,251400,73.84
2004-07-21,73.93,74.26,71.65,71.77,373500,71.77
2004-07-22,71.87,72.43,70.54,72.08,400400,72.08
2004-07-23,71.8,72.09,71.06,71.64,333900,71.64
2004-07-26,71.6,72.06,68.76,69.84,750900,69.84
2004-07-27,69.89,74.89,69.72,73.95,968700,73.95
2004-07-28,73.73,74.01,72.02,73.64,576900,73.64
2004-07-29,73.99,74.05,72.4,73.04,645900,73.04
2004-07-30,73.15,74.47,72.9,73.42,468700,73.42
2004-08-02,73.25,75.3,73.02,75.3,599700,75.3
2004-08-03,74.99,76.95,74.93,76.2,641000,76.2
2004-08-04,76.15,76.3,75.15,75.59,1344600,75.59
2004-08-05,75.8,76.31,74.45,75.04,853500,75.04
2004-08-06,75.09,75.1,73.0,73.4,853600,73.4
2004-08-09,73.18,74.4,73.0,73.01,314900,73.01
2004-08-10,73.3,74.74,73.0,74.65,402100,74.65
2004-08-11,74.4,75.95,74.0,75.76,580600,75.76
2004-08-12,75.3,75.7,74.69,75.45,471400,75.45
2004-08-13,75.54,76.4,75.21,75.39,395600,75.39
2004-08-16,75.2,76.02,74.6,74.86,288900,74.86
2004-08-17,74.57,75.43,74.0,74.9,302400,74.9
2004-08-18,74.9,76.0,74.45,75.99,523300,75.99
2004-08-19,75.69,75.9,74.92,75.49,257600,75.49
2004-08-20,75.54,76.8,75.25,76.29,350100,76.29
2004-08-23,76.1,77.18,75.61,76.49,461300,76.49
2004-08-24,76.65,77.14,76.5,76.65,622100,76.65
2004-08-25,76.75,77.0,75.73,76.4,485500,76.4
2004-08-26,74.1,75.29,73.9,74.85,1033800,74.85
2004-08-27,74.9,75.24,74.46,74.9,241400,74.9
2004-08-30,74.76,74.88,73.63,73.63,307800,73.63
2004-08-31,73.6,73.81,72.6,73.23,523800,73.23
2004-09-01,73.15,73.65,72.63,73.6,396400,73.6
2004-09-02,73.55,74.93,73.55,73.93,353000,73.93
2004-09-03,74.06,74.74,72.86,73.31,198600,73.31
2004-09-07,73.49,74.78,73.24,74.32,284600,74.32
2004-09-08,74.03,75.0,73.84,74.26,434300,74.26
2004-09-09,74.47,74.8,73.5,74.15,409200,74.15
2004-09-10,74.07,74.25,73.53,74.19,202700,74.19
2004-09-13,74.28,75.1,73.61,74.45,452900,74.45
2004-09-14,74.68,74.88,73.71,74.22,286400,74.22
2004-09-15,74.49,75.24,74.3,74.83,634200,74.83
2004-09-16,75.3,75.3,74.61,74.68,384600,74.68
2004-09-17,74.93,75.26,74.26,74.93,389600,74.93
2004-09-20,74.97,75.34,74.58,74.93,399300,74.93
2004-09-21,74.93,75.17,74.76,75.16,269700,75.16
2004-09-22,75.05,75.05,73.45,74.0,391400,74.0
2004-09-23,74.0,75.0,73.89,74.53,345200,74.53
2004-09-24,74.43,75.66,74.0,75.15,493000,75.15
2004-09-27,75.2,75.2,74.0,74.25,284500,74.25
2004-09-28,74.21,75.18,73.88,74.75,215000,74.75
2004-09-29,74.7,76.36,74.3,76.25,636700,76.25
2004-09-30,76.45,76.93,75.81,76.56,572700,76.56
2004-10-01,76.9,78.02,76.3,77.3,441700,77.3
2004-10-04,77.29,77.85,76.69,77.33,431100,77.33
2004-10-05,77.3,78.0,77.08,77.2,395200,77.2
2004-10-06,77.28,77.28,76.37,76.92,444900,76.92
2004-10-07,76.84,76.84,75.24,75.33,304500,75.33
2004-10-08,75.47,76.78,75.44,75.92,359700,75.92
2004-10-11,76.23,76.43,75.39,75.71,235500,75.71
2004-10-12,75.56,75.76,74.37,74.79,481600,74.79
2004-10-13,75.0,75.34,74.33,74.8,553300,74.8
2004-10-14,74.97,76.27,74.82,75.31,398700,75.31
2005-01-07,42.82,43.1,42.36,42.81,419900,42.81
