Date,Open,High,Low,Close,Volume,Adj Close
2003-07-10,14.74,14.75,14.29,14.44,3748100,14.44
2003-07-11,14.52,14.65,14.27,14.49,1399100,14.49
2003-07-14,14.7,14.95,14.16,14.2,2499500,14.2
2003-07-15,14.25,14.7,14.25,14.46,2108600,14.46
2003-07-16,14.7,14.74,14.26,14.29,1410800,14.29
2003-07-17,14.1,14.35,13.66,13.67,2114700,13.67
2003-07-18,14.52,14.63,13.55,13.84,2453500,13.84
2003-07-21,14.09,14.11,13.5,13.51,2496500,13.51
2003-07-22,14.54,14.71,13.63,14.32,2470900,14.32
2003-07-23,14.01,14.45,13.52,13.93,1871300,13.93
2003-07-24,14.0,14.15,13.55,13.6,988600,13.6
2003-07-25,13.64,13.71,12.65,13.17,1638900,13.17
2003-07-28,13.24,14.46,13.18,14.11,2251100,14.11
2003-07-29,14.23,14.44,13.8,13.9,1623600,13.9
2003-07-30,12.71,13.1,12.28,12.75,5221800,12.75
2003-07-31,12.65,12.98,12.45,12.77,2893900,12.77
2003-08-01,12.85,12.9,12.23,12.35,1231500,12.35
2003-08-04,12.34,12.63,11.75,12.23,1432000,12.23
2003-08-05,12.01,12.25,11.37,11.57,1776600,11.57
2003-08-06,11.32,11.6,11.2,11.32,1486500,11.32
2003-08-07,11.55,12.2,11.29,11.81,2488600,11.81
2003-08-08,11.9,12.21,11.81,12.07,2219400,12.07
2003-08-11,12.0,12.7,12.0,12.61,2952700,12.61
2003-08-12,12.77,14.73,12.69,14.34,6677800,14.34
2003-08-13,14.38,14.8,13.95,14.13,2440600,14.13
2003-08-14,14.15,14.5,14.0,14.5,1350700,14.5
2003-08-15,11.05,11.65,10.0,10.85,20796200,10.85
2003-08-18,11.0,11.41,10.95,11.24,3645500,11.24
2003-08-19,11.46,11.5,11.12,11.38,2701800,11.38
2003-08-20,11.27,11.79,11.12,11.63,1873400,11.63
2003-08-21,11.62,11.96,11.38,11.8,1588000,11.8
2003-08-22,11.95,12.0,11.42,11.47,1076700,11.47
2003-08-25,11.7,11.74,11.25,11.48,1101400,11.48
2003-08-26,11.51,11.56,11.22,11.36,1044500,11.36
2003-08-27,11.39,11.73,11.33,11.67,1124400,11.67
2003-08-28,11.71,12.19,11.65,12.04,1493800,12.04
2003-08-29,12.03,12.37,12.0,12.22,1223000,12.22
2003-09-02,12.22,12.66,12.03,12.54,1536500,12.54
2003-09-03,12.7,12.91,12.14,12.25,1845800,12.25
2003-09-04,12.3,12.82,12.2,12.76,1401600,12.76
2003-09-05,12.7,13.69,12.5,13.17,2944400,13.17
2003-09-08,13.43,13.9,13.26,13.9,2447100,13.9
2003-09-09,13.91,14.44,13.75,14.37,2982200,14.37
2003-09-10,14.4,14.4,13.12,13.33,4647400,13.33
2003-09-11,13.41,13.72,12.94,13.3,2219300,13.3
2003-09-12,13.07,13.48,13.0,13.37,1061200,13.37
2003-09-15,13.46,13.62,12.9,13.09,1766000,13.09
2003-09-16,13.11,13.14,12.82,13.0,2262100,13.0
2003-09-17,13.0,13.51,12.94,13.43,2303900,13.43
2003-09-18,13.49,14.16,13.37,14.12,2110900,14.12
2003-09-19,14.97,15.0,14.53,14.71,4911000,14.71
2003-09-22,14.6,14.65,14.11,14.45,1789700,14.45
2003-09-23,14.6,15.1,14.5,14.99,2677800,14.99
2003-09-24,14.97,14.98,13.98,14.09,2989800,14.09
2003-09-25,14.6,14.8,13.88,14.14,2411000,14.14
2003-09-26,14.1,14.31,13.81,13.98,1716000,13.98
2003-09-29,14.11,14.24,13.8,14.05,1638000,14.05
2003-09-30,14.45,14.49,13.85,14.05,1981800,14.05
2003-10-01,14.09,14.2,13.69,13.79,1896600,13.79
2003-10-02,14.0,14.78,13.95,14.7,2299000,14.7
2003-10-03,14.81,15.01,14.48,14.54,1992500,14.54
2003-10-06,14.56,14.64,14.45,14.54,621500,14.54
2003-10-07,14.51,15.0,14.45,14.85,1375200,14.85
2003-10-08,14.89,15.05,14.49,14.55,1825300,14.55
2003-10-09,14.83,14.97,14.7,14.92,1134800,14.92
2003-10-10,14.89,15.0,14.42,14.65,1294300,14.65
2003-10-13,14.95,14.98,14.68,14.88,1016900,14.88
2003-10-14,14.46,15.0,14.46,14.87,992600,14.87
2003-10-15,15.02,15.31,14.45,14.52,1886400,14.52
2003-10-16,14.5,14.7,14.11,14.29,1609100,14.29
2003-10-17,14.65,14.66,13.57,13.67,1998800,13.67
2003-10-20,13.48,14.09,13.05,13.7,1233100,13.7
2003-10-21,13.67,14.27,13.65,14.22,978000,14.22
2003-10-22,13.99,14.0,13.4,13.62,1032700,13.62
