Date,Open,High,Low,Close,Volume,Adj Close
2003-07-22,66.13,66.99,65.25,66.67,242300,66.67
2003-07-23,66.6,66.66,65.75,66.55,234400,66.55
2003-07-24,66.75,66.75,65.95,66.2,340900,66.2
2003-07-25,66.3,67.15,65.75,67.14,331900,67.14
2003-07-28,66.37,66.7,65.77,66.4,497700,66.4
2003-07-29,66.45,67.79,65.74,67.01,374300,67.01
2003-07-30,67.2,68.16,66.96,67.59,627500,67.59
2003-07-31,67.53,68.95,67.2,67.8,374800,67.8
2003-08-01,67.9,68.01,66.48,66.99,345400,66.99
2003-08-04,66.85,69.2,66.11,68.59,593500,68.59
2003-08-05,68.49,69.18,67.7,68.27,353100,68.27
2003-08-06,68.05,68.2,67.25,67.5,372400,67.5
2003-08-07,67.55,67.55,65.04,65.56,1260300,65.56
2003-08-08,63.84,66.35,63.35,65.78,1443900,65.78
2003-08-11,65.88,66.93,65.53,66.54,547100,66.54
2003-08-12,65.62,66.82,65.62,66.59,384200,66.59
2003-08-13,66.7,67.4,66.52,66.9,281900,66.9
2003-08-14,66.93,67.29,66.0,66.87,558800,66.87
2003-08-15,66.75,66.94,65.88,66.51,154500,66.51
2003-08-18,66.78,68.4,66.61,67.92,392800,67.92
2003-08-19,67.4,68.2,67.3,68.13,355600,68.13
2003-08-20,67.7,68.21,67.39,67.95,315700,67.95
2003-08-21,68.1,71.58,68.1,71.51,1505400,71.51
2003-08-22,72.06,72.25,71.61,71.89,680800,71.89
2003-08-25,71.73,71.94,70.7,70.99,363500,70.99
2003-08-26,70.72,71.04,69.5,71.02,346900,71.02
2003-08-27,70.83,71.98,70.44,71.55,433200,71.55
2003-08-28,71.17,72.5,70.75,72.16,527100,72.16
2003-08-29,72.4,73.39,72.24,72.74,490500,72.74
2003-09-02,72.85,74.03,72.46,74.0,538400,74.0
2003-09-03,74.06,74.8,73.53,74.2,641300,74.2
2003-09-04,73.95,74.52,73.72,74.17,373800,74.17
2003-09-05,74.16,74.16,72.69,73.18,325200,73.18
2003-09-08,73.4,75.15,73.1,73.7,483300,73.7
2003-09-09,73.45,73.55,72.35,73.29,605200,73.29
2003-09-10,73.15,73.87,70.66,70.95,438000,70.95
2003-09-11,70.79,72.2,70.52,71.61,236000,71.61
2003-09-12,70.7,70.95,69.74,70.73,498500,70.73
2003-09-15,70.8,70.98,70.19,70.47,322500,70.47
2003-09-16,70.51,71.65,70.24,71.6,226200,71.6
2003-09-17,71.41,72.7,70.76,71.41,332000,71.41
2003-09-18,71.31,72.51,70.71,72.13,387600,72.13
2003-09-19,72.44,72.45,70.42,71.65,346200,71.65
