Date,Open,High,Low,Close,Volume,Adj Close
2003-08-29,13.79,14.27,13.79,14.25,4049200,14.25
2003-09-02,14.35,14.54,13.81,14.5,6233800,14.5
2003-09-03,14.79,15.17,14.2,14.26,10794600,14.26
2003-09-04,14.31,14.64,13.95,14.52,7903700,14.52
2003-09-05,14.06,14.91,14.06,14.38,4415600,14.38
2003-09-08,14.49,15.01,14.48,14.97,3251900,14.97
2003-09-09,14.94,15.37,14.62,14.87,5536600,14.87
2003-09-10,14.64,14.67,13.58,13.78,7468400,13.78
2003-09-11,13.34,13.78,12.87,13.65,9685100,13.65
2003-09-12,13.53,14.08,13.36,13.99,4971400,13.99
2003-09-15,13.95,14.24,13.47,13.54,4084500,13.54
2003-09-16,13.55,14.42,13.51,14.38,4198800,14.38
2003-09-17,14.31,14.49,14.0,14.15,3618100,14.15
2003-09-18,14.07,14.3,13.95,14.22,2570800,14.22
2003-09-19,14.13,14.2,13.9,14.12,3096300,14.12
2003-09-22,13.78,14.2,13.65,13.96,2945200,13.96
2003-09-23,14.05,14.18,13.83,14.15,2762100,14.15
2003-09-24,14.19,14.42,13.53,13.55,4010100,13.55
2003-09-25,13.61,13.85,13.18,13.35,3177700,13.35
2003-09-26,13.32,13.6,12.79,12.88,3457600,12.88
2003-09-29,13.06,13.59,12.79,13.58,3916300,13.58
2003-09-30,13.31,13.45,12.85,13.19,6295400,13.19
2003-10-01,13.4,13.7,13.29,13.45,4563500,13.45
2003-10-02,13.52,14.1,13.46,13.98,5067500,13.98
2003-10-03,14.49,14.96,14.3,14.81,5116200,14.81
2003-10-06,14.75,15.63,14.65,15.4,5142400,15.4
2003-10-07,15.14,16.25,15.12,16.14,7960500,16.14
2003-10-08,16.22,16.47,15.84,16.27,5588500,16.27
2003-10-09,16.67,17.11,16.4,16.91,7480300,16.91
2003-10-10,17.05,17.16,16.71,16.94,4654800,16.94
2003-10-13,17.05,17.05,16.38,16.45,4937200,16.45
2003-10-14,16.35,16.96,16.34,16.96,3294600,16.96
2003-10-15,17.34,17.38,16.52,16.67,4965900,16.67
2003-10-16,16.48,16.7,16.26,16.3,5445500,16.3
2003-10-17,16.94,17.0,15.6,15.64,11755200,15.64
2003-10-20,15.64,16.53,15.57,16.48,6137600,16.48
2003-10-21,16.5,16.93,16.32,16.49,4472600,16.49
2003-10-22,16.27,16.55,16.14,16.34,3075300,16.34
2003-10-23,15.9,16.21,15.77,15.99,3646900,15.99
2003-10-24,15.85,16.03,15.65,15.95,3398400,15.95
2003-10-27,16.0,16.51,15.95,16.37,2869900,16.37
