Date,Open,High,Low,Close,Volume,Adj Close
2004-07-19,34.98,36.49,34.98,35.4,1790700,35.4
2004-07-20,35.03,35.95,35.0,35.64,898300,35.64
2004-07-21,35.55,35.98,34.65,34.7,669800,34.7
2004-07-22,34.7,35.1,34.32,34.71,565400,34.71
2004-07-23,34.94,35.0,34.32,34.36,298300,34.36
2004-07-26,34.45,35.0,34.05,34.06,343600,34.06
2004-07-27,34.1,34.5,33.8,34.33,644600,34.33
2004-07-28,34.24,34.54,33.59,34.37,486900,34.37
2004-07-29,34.2,34.83,34.11,34.45,277000,34.45
2004-07-30,34.45,35.3,34.17,35.06,406000,35.06
2004-08-02,35.0,35.0,34.69,34.82,309500,34.82
2004-08-03,35.0,35.34,34.5,34.86,374400,34.86
2004-08-04,34.85,34.86,33.63,33.94,368000,33.94
2004-08-05,33.79,33.94,32.98,33.28,544300,33.28
2004-08-06,33.15,33.4,32.94,33.32,319200,33.32
2004-08-09,33.25,34.07,32.45,32.72,633900,32.72
2004-08-10,32.9,33.59,32.71,33.4,272000,33.4
2004-08-11,33.11,33.55,32.81,33.37,256300,33.37
2004-08-12,33.26,33.75,32.92,32.97,281500,32.97
2004-08-13,33.0,33.22,32.95,33.07,108600,33.07
2004-08-16,33.0,33.63,32.99,33.6,273300,33.6
2004-08-17,33.64,33.91,32.95,33.11,322700,33.11
2004-08-18,33.21,33.48,33.05,33.17,315000,33.17
2004-08-19,33.22,34.1,33.1,33.5,411100,33.5
2004-08-20,33.62,33.92,33.03,33.73,332200,33.73
2004-08-23,33.62,34.43,33.52,33.69,249900,33.69
2004-08-24,33.6,34.25,33.58,34.25,347700,34.25
2004-08-25,34.1,34.29,33.68,34.25,306600,34.25
2004-08-26,34.25,34.25,33.91,34.05,211200,34.05
2004-08-27,34.03,34.26,33.83,34.12,238400,34.12
2004-08-30,34.03,34.16,33.5,33.7,347100,33.7
2004-08-31,33.72,33.98,33.55,33.95,298500,33.95
2004-09-01,33.96,34.2,33.74,33.96,247000,33.96
2004-09-02,33.89,34.71,33.79,34.58,162700,34.58
2004-09-03,34.65,35.06,34.41,34.57,209500,34.57
