Date,Open,High,Low,Close,Volume,Adj Close
2003-06-30,48.68,49.1,47.8,48.24,3099100,48.24
2003-07-01,47.71,49.32,47.17,49.32,4438800,49.32
2003-07-02,49.36,50.36,49.09,50.25,3906300,50.25
2003-07-03,49.77,50.58,49.56,50.0,2633400,50.0
2003-07-07,50.54,52.25,50.53,52.0,3494500,52.0
2003-07-08,51.6,52.97,51.33,52.66,3864300,52.66
2003-07-09,52.59,53.32,51.65,52.41,4301700,52.41
2003-07-10,51.86,52.15,51.25,51.44,3297000,51.44
2003-07-11,51.49,51.78,50.8,50.88,3284900,50.88
2003-07-14,51.53,53.57,51.52,52.07,6025300,52.07
2003-07-15,52.35,53.25,51.69,52.56,7608500,52.56
2003-07-16,52.6,53.2,51.1,51.35,8393000,51.35
2003-07-17,46.47,48.25,46.43,46.54,13420000,46.54
2003-07-18,47.3,47.54,46.34,47.3,6992000,47.3
2003-07-21,47.3,47.83,46.59,47.2,6123600,47.2
2003-07-22,47.44,47.9,45.13,45.36,10503600,45.36
2003-07-23,45.6,46.63,44.6,45.68,9178500,45.68
2003-07-24,46.1,46.78,44.54,44.69,5208200,44.69
2003-07-25,44.88,45.82,43.95,45.75,5206200,45.75
2003-07-28,45.73,46.61,45.36,45.61,4424000,45.61
2003-07-29,45.7,45.97,44.48,44.51,4246700,44.51
2003-07-30,44.34,44.87,43.08,43.19,6936400,43.19
2003-07-31,43.9,44.29,42.1,42.1,8649500,42.1
2003-08-01,41.92,44.08,41.29,43.42,8231500,43.42
2003-08-04,43.46,44.38,42.86,44.14,6179700,44.14
2003-08-05,44.1,44.17,41.91,42.06,5142600,42.06
2003-08-06,42.1,42.8,41.26,41.61,6693300,41.61
2003-08-07,41.87,43.42,41.8,43.05,6972900,43.05
2003-08-08,43.85,43.95,42.55,42.66,5545600,42.66
2003-08-11,42.78,43.43,42.65,43.21,3920400,43.21
2003-08-12,43.4,44.49,42.85,44.48,3543300,44.48
2003-08-13,44.75,45.57,44.46,45.08,4971700,45.08
2003-08-14,45.17,45.25,44.26,44.8,3258000,44.8
2003-08-15,44.73,47.2,44.71,45.02,1678300,45.02
2003-08-18,45.24,47.09,44.94,46.94,4184900,46.94
2003-08-19,47.08,47.4,46.08,46.92,4351800,46.92
2003-08-20,46.88,47.82,46.54,47.07,3408400,47.07
2003-08-21,47.27,49.67,47.12,49.55,7118600,49.55
2003-08-22,50.9,50.95,48.95,49.03,6435500,49.03
2003-08-25,48.69,48.82,47.95,48.35,2804700,48.35
2003-08-26,48.17,48.43,46.92,48.39,4033400,48.39
2003-08-27,48.37,49.41,48.24,49.41,3575600,49.41
2003-08-28,49.41,49.53,48.5,49.35,3209600,49.35
2003-08-29,49.2,49.37,48.58,49.06,1991200,49.06
2003-09-02,49.19,49.5,48.61,49.41,3385500,49.41
2003-09-03,49.7,50.18,49.0,49.24,3942600,49.24
2003-09-04,49.15,51.28,49.15,50.85,5605700,50.85
2003-09-05,50.71,51.75,50.05,50.8,4166500,50.8
2003-09-08,51.05,52.11,50.71,51.65,4372900,51.65
2003-09-09,51.55,52.62,51.13,51.8,4970500,51.8
2003-09-10,51.4,51.49,49.21,49.21,4993000,49.21
2003-09-11,49.65,49.89,48.85,49.1,4290400,49.1
2003-09-12,49.0,50.17,47.5,50.07,3958600,50.07
2003-09-15,50.01,50.65,49.4,49.63,2871500,49.63
2003-09-16,49.43,50.35,48.82,50.21,4679800,50.21
2003-09-17,50.15,50.77,49.37,49.67,3458300,49.67
2003-09-18,49.89,51.87,49.25,51.49,5246300,51.49
2003-09-19,51.76,51.77,50.41,51.18,3503800,51.18
2003-09-22,50.42,50.47,49.7,50.1,3223100,50.1
2003-09-23,50.0,50.9,49.4,50.71,4004900,50.71
2003-09-24,50.76,50.78,48.0,48.07,3808400,48.07
2003-09-25,48.14,49.58,48.1,48.11,4147100,48.11
2003-09-26,48.27,48.99,47.1,47.35,4660900,47.35
2003-09-29,47.65,49.11,47.6,48.79,4254200,48.79
2003-09-30,48.5,48.59,46.85,47.01,5226600,47.01
2003-10-01,47.2,47.86,46.76,47.47,5130100,47.47
2004-01-07,52.0,52.23,51.5,51.7,3208100,51.7
