Date,Open,High,Low,Close,Volume,Adj Close
2003-09-11,9.65,9.9,9.44,9.81,13160000,9.81
2003-09-12,9.75,10.13,9.62,10.13,10044300,10.13
2003-09-15,10.23,10.48,9.86,10.1,16134500,10.1
2003-09-16,10.16,10.27,9.96,10.14,13630300,10.14
2003-09-17,10.05,10.27,9.96,10.03,6721700,10.03
2003-09-18,10.02,10.41,9.81,10.28,14510300,10.28
2003-09-19,10.37,10.39,10.05,10.06,6449400,10.06
2003-09-22,9.82,10.22,9.75,10.01,12328500,10.01
2003-09-23,10.04,10.31,9.95,10.24,10051700,10.24
2003-09-24,10.3,10.33,9.6,9.61,11331100,9.61
2003-09-25,9.7,9.89,9.29,9.37,11327700,9.37
2003-09-26,9.37,9.5,9.05,9.14,12586200,9.14
2003-09-29,9.35,9.5,9.08,9.35,9802300,9.35
2003-09-30,9.5,9.58,9.05,9.24,12658100,9.24
2003-10-01,9.38,9.56,9.16,9.49,11027800,9.49
2003-10-02,9.51,9.82,9.38,9.52,10196100,9.52
2003-10-03,9.87,10.17,9.78,9.96,12345300,9.96
2003-10-06,9.96,10.34,9.88,10.32,7432900,10.32
2003-10-07,10.14,10.69,10.06,10.65,14526600,10.65
2003-10-08,10.74,10.94,10.58,10.81,13064400,10.81
2003-10-09,11.03,11.24,10.85,10.95,16080000,10.95
2003-10-10,11.3,11.35,11.09,11.24,7888400,11.24
2003-10-13,11.57,11.64,11.35,11.54,9499100,11.54
2003-10-14,11.2,11.54,11.07,11.46,10511900,11.46
2003-10-15,11.74,11.75,10.95,11.27,2405900,11.27
2003-10-16,11.08,11.41,10.81,11.26,10041600,11.26
2003-10-17,11.35,11.36,10.83,10.87,9007100,10.87
2003-10-20,10.94,11.2,10.88,11.13,10032500,11.13
2003-10-21,11.39,11.67,11.29,11.42,18153600,11.42
2003-10-22,11.76,12.02,11.56,11.67,34954200,11.67
2003-10-23,11.36,11.42,11.13,11.23,15016200,11.23
2003-10-24,11.15,11.26,10.93,11.19,9119100,11.19
2003-10-27,11.38,11.5,11.25,11.35,5890800,11.35
2003-10-28,11.49,11.8,11.44,11.78,10080900,11.78
2003-10-29,11.79,12.12,11.68,12.08,9378800,12.08
2003-10-30,12.5,12.51,12.05,12.09,8993000,12.09
2003-10-31,11.89,11.97,11.66,11.69,8660400,11.69
2003-11-03,12.0,12.49,11.88,12.43,11962700,12.43
2003-11-04,12.38,12.49,12.19,12.28,8836200,12.28
2003-11-05,12.31,12.4,12.05,12.31,6973700,12.31
