Date,Open,High,Low,Close,Volume,Adj Close
2004-03-17,11.17,11.26,10.95,11.12,12087900,11.12
2004-03-18,11.11,11.18,10.75,11.06,6903300,11.06
2004-03-19,11.01,11.34,10.99,11.14,8472900,11.14
2004-03-22,11.05,11.06,10.45,10.67,11400000,10.67
2004-03-23,10.83,10.95,10.65,10.72,6700200,10.72
2004-03-24,10.7,10.83,10.43,10.5,7433500,10.5
2004-03-25,10.58,11.39,10.58,11.27,13306100,11.27
2004-03-26,11.52,11.76,11.36,11.6,11417800,11.6
2004-03-29,11.7,11.89,11.6,11.61,7395900,11.61
2004-03-30,11.63,11.65,11.26,11.5,7786200,11.5
2004-03-31,11.64,11.65,11.25,11.53,9576200,11.53
2004-04-01,11.49,12.17,11.25,12.06,14812100,12.06
2004-04-02,12.39,12.43,12.09,12.29,9287100,12.29
2004-04-05,12.81,12.86,12.26,12.4,16919300,12.4
2004-04-06,12.2,12.53,12.15,12.29,9640200,12.29
2004-04-07,12.24,12.26,11.97,12.09,9485000,12.09
2004-04-08,12.26,12.32,12.1,12.15,5294300,12.15
2004-04-12,12.17,12.33,12.14,12.18,3823100,12.18
2004-04-13,12.26,12.37,12.03,12.11,6408000,12.11
2004-04-14,11.99,12.2,11.74,11.85,7541700,11.85
2004-04-15,11.96,11.97,11.45,11.66,10819200,11.66
2004-04-16,11.34,11.6,11.15,11.4,8345900,11.4
2004-04-19,11.31,11.62,11.25,11.54,3989500,11.54
2004-04-20,11.42,11.81,11.29,11.36,8100600,11.36
2004-04-21,11.38,11.45,10.98,11.14,6564000,11.14
2004-04-22,11.06,11.67,11.05,11.61,5725400,11.61
2004-04-23,11.69,11.7,11.36,11.47,4353500,11.47
2004-04-26,11.53,11.55,11.1,11.15,4092800,11.15
2004-04-27,11.27,11.36,11.05,11.14,5551000,11.14
2004-04-28,11.11,11.12,10.71,10.85,7424900,10.85
2004-04-29,10.84,10.98,10.43,10.62,8026800,10.62
2004-04-30,10.59,10.65,10.23,10.29,5787600,10.29
2004-05-03,10.31,10.8,10.21,10.62,11331800,10.62
2004-05-04,10.65,10.7,10.27,10.38,12642400,10.38
2004-05-05,10.41,10.74,10.26,10.67,7718600,10.67
2004-05-06,10.6,10.61,10.15,10.33,8218400,10.33
2004-05-07,10.15,10.55,10.05,10.12,5440400,10.12
2004-05-10,10.0,10.15,9.86,10.01,9794900,10.01
2004-05-11,10.0,10.23,9.98,10.19,5676700,10.19
2004-05-12,10.03,10.18,9.7,10.14,7966700,10.14
2004-05-13,10.06,10.47,10.02,10.34,7289400,10.34
2004-05-14,10.19,10.24,9.85,10.02,8297600,10.02
2004-05-17,9.73,9.86,9.62,9.65,6687700,9.65
2004-05-18,9.76,9.94,9.71,9.89,5405700,9.89
2004-05-19,10.12,10.18,9.86,9.92,7644900,9.92
2004-05-20,9.94,10.01,9.75,9.78,3845400,9.78
2004-05-21,9.99,10.08,9.88,9.97,5260200,9.97
2004-05-24,10.17,10.17,9.83,9.88,8256500,9.88
2004-05-25,9.84,10.01,9.74,9.97,7780100,9.97
2004-05-26,9.89,10.14,9.85,10.08,8412000,10.08
2004-05-27,10.31,11.1,10.25,10.95,26843400,10.95
2004-05-28,11.02,11.08,10.62,10.82,6640100,10.82
2004-06-01,10.9,11.01,10.55,10.74,10407900,10.74
2004-06-02,11.15,11.3,10.75,11.04,13110100,11.04
2004-06-03,11.0,11.15,10.87,10.95,6501600,10.95
2004-06-04,11.04,11.23,10.96,11.04,7262600,11.04
2004-06-07,11.14,11.49,11.11,11.45,7986800,11.45
2004-06-08,11.49,11.5,11.25,11.34,5297600,11.34
2004-06-09,11.32,11.41,11.08,11.13,3269100,11.13
2004-06-10,11.16,11.31,11.06,11.19,5876500,11.19
2004-06-14,11.05,11.12,10.76,10.8,4581100,10.8
2004-06-15,10.95,11.12,10.9,11.07,5475700,11.07
2004-06-16,10.98,11.29,10.93,11.01,6060900,11.01
2004-06-17,11.06,11.08,10.65,10.7,7005900,10.7
2004-06-18,10.43,10.8,10.42,10.63,9133900,10.63
2004-06-21,10.74,10.78,10.49,10.59,3534400,10.59
2004-06-22,10.82,10.96,10.67,10.9,5758000,10.9
2004-06-23,10.97,11.12,10.81,11.05,5244500,11.05
2004-06-24,11.07,11.35,10.99,11.24,8031300,11.24
2004-06-25,11.18,11.31,11.01,11.01,4953700,11.01
2004-06-28,11.11,11.26,10.95,11.01,6175900,11.01
2004-06-29,10.75,10.8,10.34,10.59,16777200,10.59
2004-06-30,10.53,10.78,10.5,10.69,5908600,10.69
2004-07-01,10.63,10.7,10.01,10.14,12265500,10.14
2004-07-02,10.02,10.07,9.85,9.89,7318000,9.89
2004-07-06,9.76,9.8,8.95,8.98,15164600,8.98
2004-07-07,8.85,9.39,8.83,9.21,14877300,9.21
2004-07-08,8.18,8.38,7.93,7.98,45569600,7.98
2004-07-09,8.25,8.33,8.05,8.11,21262200,8.11
2004-07-12,8.21,8.26,7.97,8.13,9350200,8.13
2004-07-13,8.13,8.22,7.83,7.93,15240700,7.93
2004-07-14,7.82,8.05,7.76,7.87,7783000,7.87
2004-07-15,7.9,8.1,7.88,7.9,9182200,7.9
2004-07-16,8.03,8.05,7.57,7.6,9100600,7.6
2004-07-19,7.72,7.83,7.58,7.73,8400200,7.73
2004-07-20,7.78,8.11,7.72,8.05,9475100,8.05
2004-07-21,8.03,8.16,7.74,7.74,9677300,7.74
2004-07-22,7.92,8.11,7.76,8.08,9518800,8.08
2004-07-23,7.97,7.99,7.76,7.78,6164300,7.78
2004-07-26,7.81,7.95,7.62,7.71,9749800,7.71
2004-07-27,7.72,8.05,7.71,7.98,7223500,7.98
2004-07-28,7.95,7.97,7.7,7.89,6874500,7.89
2004-07-29,7.92,8.08,7.9,8.01,6126900,8.01
2004-07-30,8.0,8.25,7.94,8.1,4458900,8.1
2004-08-02,7.83,8.01,7.82,7.88,6303400,7.88
2004-08-03,7.91,7.93,7.58,7.59,6794600,7.59
2004-08-04,7.66,7.75,7.57,7.63,7616700,7.63
2004-08-05,7.73,7.77,7.46,7.46,6466000,7.46
2004-08-06,7.41,7.46,7.12,7.18,10730000,7.18
2004-08-09,7.24,7.29,7.14,7.23,5438100,7.23
2004-08-10,7.25,7.49,7.25,7.44,6345200,7.44
2004-08-11,7.26,7.3,7.13,7.25,6652500,7.25
2004-08-12,7.19,7.31,6.97,7.07,10709400,7.07
2004-08-13,7.12,7.2,7.03,7.05,6131800,7.05
2004-08-16,7.04,7.25,7.01,7.19,9885700,7.19
2004-08-17,7.16,7.42,7.13,7.16,7156600,7.16
2004-08-18,7.04,7.41,7.03,7.38,5869000,7.38
2004-08-19,7.66,7.79,7.57,7.64,10449400,7.64
2004-08-20,7.6,7.8,7.55,7.74,4315500,7.74
2004-08-23,7.78,7.99,7.72,7.9,6942600,7.9
2004-08-24,7.95,7.99,7.71,7.77,4720800,7.77
2004-08-25,7.75,7.9,7.67,7.84,5903700,7.84
2004-08-26,7.8,7.84,7.68,7.74,4142100,7.74
2004-08-27,7.81,7.86,7.71,7.82,2269500,7.82
2004-08-30,7.74,7.74,7.53,7.6,5335000,7.6
2004-08-31,7.57,7.64,7.4,7.61,6752400,7.61
2004-09-01,7.55,7.7,7.41,7.61,5445300,7.61
2004-09-02,7.63,7.81,7.48,7.76,5012100,7.76
2004-09-03,7.65,7.76,7.46,7.47,6243700,7.47
2004-09-07,7.52,7.78,7.52,7.7,6671700,7.7
2004-09-08,7.63,7.69,7.42,7.42,5370300,7.42
