Date,Open,High,Low,Close,Volume,Adj Close
2004-07-13,48.97,49.54,48.91,49.25,1055100,49.25
2004-07-14,49.03,49.8,48.86,49.37,1504000,49.37
2004-07-15,50.25,51.25,49.73,49.8,2035200,49.8
2004-07-16,49.97,50.36,49.58,49.92,1055700,49.92
2004-07-19,50.0,50.31,48.01,49.07,2371700,49.07
2004-07-20,49.17,49.77,48.39,49.67,859100,49.67
2004-07-21,49.79,49.92,46.07,46.43,1881900,46.43
2004-07-22,46.28,46.43,44.5,45.47,3103400,45.47
2004-07-23,45.25,45.61,44.3,44.43,1318700,44.43
2004-07-26,44.61,44.93,42.76,43.55,2167300,43.55
2004-07-27,40.25,45.0,39.85,44.42,10559200,44.42
2004-07-28,44.37,45.24,43.46,44.83,1555000,44.83
2004-07-29,44.8,46.14,44.17,45.82,1496100,45.82
2004-07-30,45.97,46.37,45.11,45.97,693500,45.97
2004-08-02,45.84,45.94,44.72,45.45,1506000,45.45
2004-08-03,45.29,45.95,44.74,44.77,1156000,44.77
2004-08-04,44.68,45.13,43.9,44.54,986600,44.54
2004-08-05,44.49,44.73,43.69,43.78,903000,43.78
2004-08-06,43.7,43.79,42.8,43.06,1141400,43.06
2004-08-09,43.03,43.73,42.6,42.73,1134500,42.73
2004-08-10,42.86,43.61,42.53,43.47,837200,43.47
2004-08-11,43.17,45.52,43.02,45.15,2005000,45.15
2004-08-12,45.09,45.77,44.88,45.37,1095100,45.37
2004-08-13,45.34,45.96,44.68,44.98,573000,44.98
2004-08-16,45.03,46.15,44.9,45.66,764400,45.66
2004-08-17,45.75,46.48,45.6,45.63,828900,45.63
2004-08-18,45.33,47.42,45.22,47.25,1428200,47.25
2004-08-19,47.19,48.02,46.87,47.54,878700,47.54
2004-08-20,47.5,48.28,47.11,48.01,706100,48.01
2004-08-23,47.91,48.25,47.26,47.65,3064200,47.65
2004-08-24,47.48,49.88,47.43,49.35,7783100,49.35
2004-08-25,49.3,51.35,49.12,50.8,6025900,50.8
2004-08-26,50.81,50.91,50.01,50.43,2587000,50.43
2004-08-27,50.37,51.53,50.35,50.99,3328300,50.99
2004-08-30,50.96,51.0,50.14,50.33,1396900,50.33
2004-08-31,50.41,50.75,49.51,49.61,1187400,49.61
2004-09-01,49.3,50.14,49.16,49.79,2182100,49.79
2004-09-02,49.74,50.66,49.6,50.15,772600,50.15
2004-09-03,50.02,50.75,49.95,50.02,766600,50.02
2004-09-07,50.29,51.13,50.01,50.81,3170900,50.81
2004-09-08,50.77,51.45,50.0,50.26,2773100,50.26
2004-09-09,50.14,50.66,49.63,50.24,809400,50.24
2004-09-10,50.26,50.92,49.86,50.72,1118400,50.72
2004-09-13,50.88,52.18,50.74,51.85,2561300,51.85
2004-09-14,51.85,52.9,51.66,52.57,1339000,52.57
2004-09-15,52.54,52.71,51.92,52.02,1039600,52.02
2004-09-16,52.02,52.51,51.56,51.69,917200,51.69
2004-09-17,50.33,50.95,49.85,50.47,9504400,50.47
2004-09-20,50.25,50.7,49.88,50.13,2365200,50.13
2004-09-21,50.03,50.49,49.51,50.25,1264700,50.25
2004-09-22,50.16,50.21,48.74,48.94,1605800,48.94
2004-09-23,48.51,49.2,48.25,48.54,1113000,48.54
2004-09-24,48.42,49.11,48.19,48.68,1371300,48.68
2004-09-27,48.29,48.52,47.7,48.31,1057300,48.31
2004-09-28,48.25,48.82,48.0,48.4,1052400,48.4
2004-09-29,48.38,48.75,46.94,47.42,2048900,47.42
2004-09-30,47.3,48.8,47.14,48.78,1428900,48.78
2004-10-01,48.6,49.47,48.41,48.84,1631100,48.84
2004-10-04,48.97,49.7,48.4,48.73,999000,48.73
2004-10-05,48.7,48.78,47.53,47.67,952600,47.67
2004-10-06,47.53,48.47,47.2,48.33,864900,48.33
2004-10-07,48.27,48.39,47.07,47.35,964700,47.35
2004-10-08,47.09,48.12,46.9,47.3,1324600,47.3
2004-10-11,47.27,48.25,47.27,47.81,932300,47.81
2004-10-12,47.6,47.67,46.73,47.26,1039900,47.26
2004-10-13,46.31,46.6,44.49,45.08,2744900,45.08
2006-05-24,48.61,50.37,47.24,50.04,5413900,50.04
2006-05-25,51.01,52.0,50.14,51.84,4617100,51.84
2006-05-26,51.69,53.0,51.53,52.94,2128400,52.94
2006-05-30,52.42,52.63,50.57,50.62,2493500,50.62
2006-05-31,50.68,51.77,50.26,51.77,1861700,51.77
2006-06-01,51.79,51.79,50.2,51.32,2394200,51.32
2006-06-02,51.75,52.25,50.28,51.2,1942800,51.2
2006-06-05,49.45,50.38,48.8,49.05,4636600,49.05
2006-06-06,49.32,50.35,49.07,50.32,3506000,50.32
2006-06-07,50.33,51.56,50.05,51.19,3158000,51.19
2006-06-08,51.13,51.24,49.1,50.49,3009000,50.49
2006-06-09,50.72,51.14,50.03,50.04,1542600,50.04
2006-06-12,49.9,50.28,48.47,48.59,1732100,48.59
2006-06-13,48.96,49.02,47.11,47.29,2206500,47.29
2006-06-14,47.17,47.56,46.17,47.12,1894100,47.12
2006-06-15,47.5,49.1,46.78,48.81,2630300,48.81
2006-06-16,48.84,49.75,48.69,49.52,2219600,49.52
2006-06-19,49.51,55.0,47.33,54.15,13048300,54.15
2006-06-20,53.89,56.6,53.35,55.53,6122200,55.53
2006-06-21,54.85,56.3,54.32,56.13,3391400,56.13
2006-06-22,55.76,57.09,55.37,56.42,2367000,56.42
2006-06-23,59.08,60.75,58.0,60.26,7427300,60.26
2006-06-26,57.79,59.25,57.51,58.17,4216000,58.17
2006-06-27,57.98,58.28,56.16,56.72,2629900,56.72
2006-06-28,57.25,57.25,55.76,56.6,2892400,56.6
2006-06-29,56.66,57.94,55.64,57.39,2448300,57.39
2006-06-30,57.55,58.0,56.93,57.14,1429100,57.14
2006-07-03,57.34,57.4,55.8,56.21,1105000,56.21
2006-07-05,56.0,56.0,54.11,54.92,2512700,54.92
2006-07-06,54.92,56.25,54.66,55.5,1526900,55.5
2006-07-07,55.42,56.14,54.65,55.05,1775500,55.05
2006-07-10,54.88,54.88,52.61,53.42,2600900,53.42
2006-07-11,53.5,53.72,52.65,53.04,1936400,53.04
2006-07-12,53.18,53.39,51.72,51.76,1854900,51.76
2006-07-13,51.6,51.83,50.33,50.48,2828400,50.48
2006-07-14,50.35,50.53,48.39,49.35,3746900,49.35
2006-07-17,49.0,49.26,47.36,47.53,3739800,47.53
2006-07-18,47.65,48.82,47.03,48.61,3173900,48.61
2006-07-19,48.76,49.64,47.92,48.5,2104600,48.5
2006-07-20,48.52,49.36,47.11,47.97,3884000,47.97
2006-07-21,44.12,49.39,43.84,48.07,10490800,48.07
2006-07-24,47.8,48.51,47.32,48.09,3531900,48.09
2006-07-25,48.25,48.34,47.34,47.85,2537400,47.85
2006-07-26,47.51,49.75,46.93,49.09,2859500,49.09
2006-07-27,49.04,49.59,48.06,48.27,1841300,48.27
2006-07-28,48.55,49.38,48.11,48.66,881100,48.66
2006-07-31,48.89,49.62,48.42,49.4,1594700,49.4
2006-08-01,49.23,50.57,48.69,50.33,2567700,50.33
2006-08-02,50.37,50.68,49.42,49.49,1815900,49.49
2006-08-03,49.49,50.2,48.95,49.97,1408500,49.97
2006-08-04,50.18,51.0,49.33,49.69,1536900,49.69
2006-08-07,49.49,49.64,47.56,47.96,2038000,47.96
2006-08-08,48.02,48.09,46.8,47.5,2104300,47.5
2006-08-09,47.88,48.66,46.91,46.97,1833500,46.97
2006-08-10,46.4,48.57,45.85,48.34,2227700,48.34
2006-08-11,47.95,48.3,47.12,47.55,1296200,47.55
2006-08-14,47.62,47.77,46.04,46.55,1975100,46.55
2006-08-15,47.21,47.38,46.05,46.96,2099500,46.96
2006-08-16,47.27,47.77,46.7,47.39,2091600,47.39
2006-08-17,47.54,47.98,46.76,47.84,1227900,47.84
2006-08-18,47.94,48.0,46.94,47.3,1715300,47.3
2006-08-21,47.09,47.23,45.7,45.93,2102600,45.93
2006-08-22,45.64,46.22,45.1,45.9,2013900,45.9
2006-08-23,46.2,46.85,45.44,45.96,1198600,45.96
2006-08-24,46.27,46.27,45.23,45.76,1642300,45.76
2006-08-25,45.86,46.88,45.55,46.56,1785200,46.56
2006-08-28,46.36,47.0,46.03,46.41,1093600,46.41
2006-08-29,46.61,47.74,46.37,47.51,1671000,47.51
2006-08-30,47.64,47.99,47.05,47.52,1390200,47.52
2006-08-31,47.55,47.55,46.6,47.01,1334700,47.01
2006-09-01,47.03,47.62,46.92,47.25,972600,47.25
2006-09-05,47.94,47.99,46.79,47.3,1149300,47.3
2006-09-06,47.04,47.2,46.43,47.02,1812600,47.02
2006-09-07,47.01,47.19,46.4,46.65,1204000,46.65
2006-09-08,46.45,47.2,45.77,46.96,2206600,46.96
2006-09-11,47.0,48.19,46.21,47.97,3363900,47.97
2006-09-12,48.16,49.15,47.66,48.74,3247200,48.74
2006-09-13,48.82,49.29,48.3,48.82,1651300,48.82
2006-09-14,48.67,49.5,48.38,48.57,1285400,48.57
2006-09-15,48.68,49.24,47.7,48.09,2748400,48.09
2006-09-18,48.0,48.5,47.06,47.26,1205700,47.26
2006-09-19,47.25,47.73,46.25,46.66,2273100,46.66
2006-09-20,47.0,47.12,46.25,46.79,2853600,46.79
2006-09-21,47.1,47.77,46.47,46.71,3438300,46.71
2006-09-22,46.72,47.22,46.03,46.6,2191800,46.6
2006-09-25,46.77,47.86,46.27,47.43,2123100,47.43
2006-09-26,47.4,47.46,46.25,46.69,1701800,46.69
2006-09-27,48.29,49.29,47.43,48.66,6990600,48.66
2006-09-28,48.51,49.0,47.66,48.54,2816500,48.54
2006-09-29,48.69,49.01,48.07,48.44,2435800,48.44
2006-10-02,49.33,49.91,48.67,48.88,3617200,48.88
2006-10-03,47.76,48.8,47.74,48.41,3147800,48.41
2006-10-04,48.21,49.13,48.15,48.94,2322000,48.94
2006-10-05,49.02,49.75,48.71,49.55,1265400,49.55
