Date,Open,High,Low,Close,Volume,Adj Close
2004-05-27,57.49,57.83,57.01,57.51,452000,57.51
2004-05-28,57.64,57.64,56.77,57.11,252600,57.11
2004-06-01,57.12,57.18,56.61,57.12,357400,57.12
2004-06-02,57.2,57.24,56.5,57.01,294300,57.01
2004-06-03,56.8,57.23,56.25,56.25,288600,56.25
2004-06-04,56.49,57.14,56.46,56.56,313400,56.56
2004-06-07,56.4,57.59,56.39,57.57,261000,57.57
2004-06-08,57.17,58.03,57.15,58.03,382700,58.03
2004-06-09,58.32,58.38,57.66,57.72,327700,57.72
2004-06-10,57.62,58.1,57.49,57.73,173000,57.73
2004-06-14,57.62,57.77,56.72,57.0,268800,57.0
2004-06-15,57.4,57.95,57.06,57.54,359900,57.54
2004-06-16,57.87,57.89,56.88,57.48,263800,57.48
2004-06-17,57.43,57.44,56.85,57.26,286100,57.26
2004-06-18,56.68,57.91,56.67,57.67,418200,57.67
2004-08-30,56.65,57.2,55.84,56.12,274700,56.12
2004-08-31,56.06,57.33,56.0,57.29,404000,57.29
2004-09-01,57.0,58.09,57.0,57.71,402900,57.71
2004-09-02,57.84,58.49,57.68,58.24,366100,58.24
2004-09-03,58.49,58.55,57.64,57.75,284600,57.75
2004-09-07,58.23,58.41,57.56,57.93,313100,57.93
2004-09-08,58.19,58.2,56.37,56.51,539500,56.51
2004-09-09,56.66,57.19,56.61,57.01,312700,57.01
2004-09-10,57.16,57.24,56.38,57.04,257600,57.04
2004-09-13,57.18,57.49,56.72,57.39,290400,57.39
2004-09-14,56.92,57.35,56.71,56.89,208200,56.89
2004-09-15,57.14,57.23,56.48,56.48,268800,56.48
2004-09-16,56.74,57.46,56.74,57.19,156400,57.19
2004-09-17,57.68,58.0,57.49,57.75,303800,57.75
2004-09-20,57.73,58.36,57.35,57.76,348500,57.76
2004-09-21,57.81,58.0,57.4,57.91,178700,57.91
2004-09-22,57.55,57.83,56.51,56.73,277700,56.73
2004-09-23,56.76,56.99,56.21,56.21,248800,56.21
2004-09-24,56.51,57.12,56.0,56.72,202000,56.72
2004-09-27,56.57,56.77,55.82,56.14,177400,56.14
2004-09-28,56.75,57.53,56.14,57.4,212000,57.4
2004-09-29,57.18,57.57,56.87,57.37,249600,57.37
2004-09-30,57.06,58.09,57.01,58.0,355200,58.0
2004-10-01,58.49,58.5,57.75,58.29,381100,58.29
2004-10-04,58.12,58.38,57.84,57.85,262200,57.85
2004-10-05,58.08,58.19,57.5,57.83,267900,57.83
2004-10-06,57.75,58.2,57.75,58.2,259100,58.2
2004-10-07,58.07,58.27,56.92,57.0,154500,57.0
2004-10-08,57.26,57.36,56.47,56.9,226100,56.9
2004-10-11,57.2,58.1,56.9,57.23,234000,57.23
2004-10-12,57.07,57.12,56.11,56.56,361100,56.56
2004-10-13,56.52,56.98,55.8,55.96,619700,55.96
2004-10-14,56.06,57.34,56.06,56.42,287500,56.42
2004-10-15,57.07,57.68,56.43,57.19,560400,57.19
2004-10-18,57.17,58.26,57.01,57.59,492800,57.59
2004-10-19,57.33,57.59,56.71,56.75,317800,56.75
2004-10-20,56.78,56.78,55.76,55.95,741800,55.95
2004-10-21,56.15,56.18,55.43,55.99,423100,55.99
2004-10-22,55.27,55.39,53.7,53.92,1024900,53.92
2004-10-25,53.67,54.67,53.6,54.06,499000,54.06
2004-10-26,54.24,54.31,53.25,54.07,536600,54.07
2004-10-27,53.83,54.95,53.44,54.65,420300,54.65
2004-10-28,54.11,54.66,53.46,54.64,491700,54.64
2004-10-29,54.69,55.9,54.66,55.64,548700,55.64
2004-11-01,56.16,56.96,55.72,56.0,528100,56.0
2004-11-02,56.1,56.82,55.48,55.58,469500,55.58
2004-11-03,56.22,56.76,55.69,56.35,565100,56.35
2004-11-04,56.1,58.12,55.67,58.01,552600,58.01
2004-11-05,58.2,58.42,57.36,57.59,419800,57.59
2004-11-08,57.99,58.23,57.4,58.23,414700,58.23
2004-11-09,58.25,58.26,57.58,58.15,310600,58.15
2004-11-10,58.38,58.45,57.65,58.06,298100,58.06
2004-11-11,58.2,59.15,57.78,58.72,402800,58.72
2004-11-12,58.74,58.74,58.18,58.58,333500,58.58
2004-11-15,58.57,58.68,57.92,58.57,310800,58.57
2004-11-29,59.4,60.25,59.16,59.92,530000,59.92
2004-11-30,59.76,60.16,59.47,59.73,458200,59.73
2004-12-01,59.73,60.51,59.73,60.14,448300,60.14
2004-12-02,60.18,60.39,59.67,60.18,309500,60.18
2004-12-03,59.84,60.24,59.26,59.35,480600,59.35
2004-12-06,59.72,59.91,59.37,59.57,279300,59.57
2004-12-07,59.61,59.61,58.17,58.19,390400,58.19
2004-12-08,58.44,59.1,58.1,58.88,530700,58.88
2004-12-09,58.7,59.2,58.07,59.12,462000,59.12
2004-12-10,59.32,59.32,58.55,59.11,322500,59.11
2004-12-13,59.46,59.87,59.4,59.75,409600,59.75
2004-12-14,59.38,60.57,59.37,60.46,418300,60.46
2004-12-15,60.69,60.91,60.16,60.82,388500,60.82
2004-12-16,60.92,60.93,60.34,60.56,428300,60.56
2004-12-17,60.71,61.12,60.26,60.8,551700,60.8
2004-12-20,61.2,61.5,60.68,60.85,315700,60.85
2004-12-21,61.01,61.3,60.5,60.89,285800,60.89
2004-12-22,61.18,61.38,60.52,61.34,360200,61.34
2004-12-23,61.58,61.62,60.58,60.72,211300,60.72
2004-12-27,60.71,60.9,59.53,60.33,354700,60.33
2004-12-28,60.52,61.0,60.19,60.98,297000,60.98
2004-12-29,61.2,61.21,60.67,60.86,276400,60.86
2004-12-30,61.0,61.07,60.3,60.82,220400,60.82
2004-12-31,60.78,60.85,60.36,60.46,217700,60.46
2005-01-03,59.35,60.25,59.08,59.91,493800,59.91
2005-01-04,59.67,60.06,58.25,58.7,542200,58.7
2005-01-05,58.33,59.0,57.93,58.38,584200,58.38
2005-01-06,58.79,59.52,58.35,59.35,377200,59.35
2005-01-07,59.35,59.95,59.09,59.17,342200,59.17
2005-01-10,59.18,59.29,58.73,58.91,478400,58.91
2005-01-11,58.89,59.37,58.52,59.27,331700,59.27
2005-01-12,59.49,59.53,58.55,59.22,305200,59.22
2005-01-13,58.67,59.02,57.54,57.8,443800,57.8
2005-01-14,57.5,58.54,57.5,58.5,303000,58.5
2005-01-18,58.46,59.7,57.95,59.53,431600,59.53
2005-01-19,60.28,62.27,60.15,60.28,775300,60.28
2005-01-20,61.38,62.16,61.28,61.5,688200,61.5
2005-01-21,60.93,61.89,60.87,61.55,852100,61.55
2005-01-24,61.92,62.59,61.31,61.36,468900,61.36
2005-01-25,61.53,63.53,61.38,62.31,769600,62.31
2005-01-26,62.28,62.83,62.09,62.13,390300,62.13
2005-02-25,62.0,62.65,61.42,62.63,227300,62.63
2005-02-28,62.74,62.82,61.33,61.61,384400,61.61
2005-03-01,61.8,62.49,61.48,62.37,328600,62.37
2005-03-02,62.11,62.97,61.91,62.62,347600,62.62
2005-03-03,63.0,63.0,62.1,62.46,310300,62.46
2005-03-04,62.6,64.13,62.58,63.69,375700,63.69
2005-03-07,64.01,64.8,63.88,64.5,415300,64.5
2005-03-08,64.76,64.76,63.72,63.79,334900,63.79
2005-03-09,63.85,64.34,63.3,63.49,344600,63.49
2005-03-10,63.6,63.85,62.61,63.34,283800,63.34
2005-03-11,63.28,63.65,62.66,62.75,296700,62.75
2005-03-14,63.2,63.86,63.01,63.73,312800,63.73
2005-03-15,63.92,64.08,62.93,63.0,300400,63.0
2005-03-16,62.93,63.47,61.75,62.11,292000,62.11
2005-03-17,62.14,62.32,61.65,61.79,216500,61.79
2005-03-18,61.74,62.52,61.57,62.52,388500,62.52
2005-03-21,62.59,62.86,62.02,62.61,238100,62.61
2005-03-22,62.51,63.17,61.95,62.07,439900,62.07
2005-03-23,61.97,62.89,61.77,62.47,404500,62.47
2005-03-24,62.32,63.0,62.02,62.57,224900,62.57
2005-03-28,62.69,63.3,62.35,62.43,261700,62.43
2005-03-29,62.27,63.03,62.02,62.3,251800,62.3
2005-03-30,62.0,62.09,61.21,61.8,563800,61.8
2005-03-31,61.56,61.85,61.12,61.25,531800,61.25
2005-04-01,61.3,61.56,60.36,60.84,450500,60.84
2005-04-04,60.75,61.04,60.39,60.82,451400,60.82
2005-04-05,60.65,61.25,60.63,61.0,312400,61.0
2005-04-06,61.3,61.71,60.85,60.9,409500,60.9
2005-04-07,61.06,61.49,60.57,61.2,284800,61.2
2005-04-08,61.05,61.57,60.61,60.62,296500,60.62
2005-04-11,60.84,61.17,60.31,60.62,199400,60.62
2005-04-12,60.59,60.78,59.88,60.55,663400,60.55
2005-04-13,60.67,60.67,59.28,59.51,504500,59.51
2005-04-14,59.82,59.96,58.61,58.92,601700,58.92
2005-04-15,58.7,59.42,58.22,58.58,601300,58.58
2005-04-18,58.94,58.96,58.03,58.29,511100,58.29
2005-04-19,58.75,59.0,57.25,58.49,543400,58.49
2005-04-20,58.52,58.7,56.9,57.0,621400,57.0
2005-04-21,57.25,58.69,57.0,58.4,643800,58.4
2005-04-22,58.67,58.89,57.2,57.57,365300,57.57
2005-04-25,57.95,58.47,57.07,58.16,663500,58.16
2005-04-26,58.26,58.4,57.38,57.6,517000,57.6
2005-04-27,57.33,58.3,56.49,58.18,625100,58.18
2005-04-28,58.01,58.57,57.15,57.15,584500,57.15
2005-05-27,60.25,60.47,60.01,60.24,213100,60.24
2005-05-31,60.04,60.24,59.55,59.89,406500,59.89
2005-06-01,59.7,61.1,59.7,60.65,512100,60.65
2005-06-02,60.65,60.65,59.95,60.26,407100,60.26
2005-06-03,60.47,60.71,59.6,59.81,335500,59.81
2005-06-06,59.82,59.89,59.51,59.78,198900,59.78
2005-06-07,59.91,60.95,59.59,59.78,320700,59.78
2005-06-08,59.98,60.25,59.06,59.19,307700,59.19
2005-06-09,59.49,59.49,58.1,58.6,560800,58.6
2005-06-10,58.8,58.8,58.2,58.23,360400,58.23
2005-06-13,58.06,58.51,58.03,58.26,413000,58.26
2005-06-14,57.97,58.83,57.97,58.4,285200,58.4
2005-06-15,59.12,59.12,58.09,58.4,344400,58.4
2005-06-16,58.25,59.27,58.25,59.04,261400,59.04
2005-06-17,57.6,58.95,56.32,57.5,1404900,57.5
2005-06-20,57.08,57.67,57.06,57.19,448800,57.19
2005-06-21,57.51,57.51,56.31,56.6,586500,56.6
2005-06-22,57.15,57.15,56.11,56.25,543900,56.25
2005-06-23,56.4,56.71,55.56,56.01,715000,56.01
2005-06-24,56.18,56.33,55.34,55.72,758000,55.72
2005-06-27,55.95,56.17,55.4,55.76,553900,55.76
2005-06-28,56.19,57.1,56.05,56.97,606200,56.97
2005-06-29,57.03,57.09,56.46,56.62,283600,56.62
2005-06-30,56.45,56.91,55.99,56.04,239400,56.04
2005-07-01,56.32,56.32,55.5,56.22,403600,56.22
2005-07-05,56.0,56.37,55.75,55.99,343600,55.99
2005-07-06,55.98,56.44,55.96,56.18,493000,56.18
2005-07-07,55.99,56.4,55.7,56.27,360600,56.27
2005-07-08,56.37,57.85,56.11,57.65,656800,57.65
2005-07-11,57.98,58.29,57.61,58.12,383900,58.12
2005-07-12,58.15,58.15,57.25,57.49,502100,57.49
2005-07-13,57.55,57.55,56.81,57.0,524700,57.0
2005-07-14,57.44,57.85,56.95,57.6,325700,57.6
2005-07-15,57.52,58.28,57.46,58.0,394500,58.0
2005-07-18,58.0,58.78,58.0,58.14,359700,58.14
2005-07-19,58.37,58.53,57.79,57.93,275300,57.93
2005-07-20,58.18,58.98,57.97,58.76,539600,58.76
2005-07-21,58.76,58.89,58.08,58.08,384400,58.08
2005-07-22,58.2,58.54,57.97,58.49,261800,58.49
2005-07-25,58.66,58.89,57.91,57.92,188800,57.92
2005-07-26,58.15,58.15,57.35,57.69,261100,57.69
2005-07-27,59.5,65.59,59.5,64.96,2521900,64.96
2005-07-28,64.98,65.58,64.15,64.93,817800,64.93
