Date,Open,High,Low,Close,Volume,Adj Close
2004-06-18,29.46,29.95,29.07,29.34,4624000,29.34
2004-06-21,29.29,29.57,29.15,29.25,2916900,29.25
2004-06-22,29.18,29.75,29.1,29.7,2369800,29.7
2004-06-23,29.68,30.18,29.52,30.14,4354700,30.14
2004-06-24,29.72,30.35,29.67,30.15,2770200,30.15
2004-06-25,30.14,30.5,29.61,29.61,4245900,29.61
2004-06-28,30.11,30.44,29.68,29.94,3550300,29.94
2004-06-29,29.82,30.0,29.22,29.33,3440900,29.33
2004-06-30,29.29,29.45,28.89,29.41,3693500,29.41
2004-07-01,29.64,29.66,28.38,28.68,4945400,28.68
2004-07-02,28.67,29.34,28.51,28.76,2439000,28.76
2004-07-06,28.75,29.08,28.41,28.52,3398800,28.52
2004-07-07,28.45,28.75,28.28,28.61,4351500,28.61
2004-07-08,28.8,28.8,28.19,28.2,2668700,28.2
2004-07-09,28.42,28.45,27.72,28.01,3657200,28.01
2004-07-12,28.1,29.03,28.02,28.71,2899700,28.71
2004-07-13,28.79,29.35,28.67,29.19,2645000,29.19
2004-07-14,29.04,29.43,28.9,28.99,3250400,28.99
2004-07-15,28.95,29.31,28.55,29.1,2176000,29.1
2004-07-16,29.36,29.38,28.6,28.66,3534800,28.66
2004-07-19,28.87,29.0,28.42,28.55,2795300,28.55
2004-07-20,28.96,29.9,28.89,29.65,3331600,29.65
2004-07-21,29.76,29.76,29.02,29.03,2202600,29.03
2004-07-22,28.68,28.69,27.29,28.19,6189900,28.19
2004-07-23,28.13,28.5,27.93,28.4,2597500,28.4
2004-07-26,28.53,28.6,27.78,27.99,2385000,27.99
2004-07-27,28.07,28.47,27.97,28.42,2187000,28.42
2004-07-28,28.2,28.55,27.5,28.42,2256200,28.42
2004-07-29,28.77,29.18,28.64,28.88,2723100,28.88
2004-07-30,28.92,29.17,28.7,28.88,1912200,28.88
2004-08-02,28.52,29.2,28.44,29.02,1747400,29.02
2004-08-03,28.8,29.15,28.38,28.49,1874400,28.49
2004-08-04,28.37,28.55,27.84,28.05,2407100,28.05
2004-08-05,28.15,28.36,27.63,27.69,4137100,27.69
2004-08-06,27.55,27.62,25.87,26.78,4654000,26.78
2004-08-09,26.87,27.53,26.79,27.26,2752800,27.26
2004-08-10,27.42,27.97,27.34,27.96,2049200,27.96
2004-08-11,27.84,27.85,27.4,27.54,1911200,27.54
2004-08-12,27.43,27.69,26.8,26.91,2294400,26.91
2004-08-13,26.63,27.14,26.63,26.78,1951800,26.78
2004-08-16,26.94,28.0,26.74,27.88,3565800,27.88
2004-08-17,28.46,29.66,28.02,28.87,6617100,28.87
2004-08-18,28.78,29.41,28.72,29.35,2905800,29.35
2004-08-19,29.27,29.64,28.91,29.5,2396700,29.5
2004-08-20,29.36,29.5,29.12,29.12,2133100,29.12
2004-08-23,29.14,29.38,28.74,28.84,1776400,28.84
2004-08-24,29.07,29.67,28.71,28.89,2178100,28.89
2004-08-25,29.01,29.49,28.7,29.36,2077000,29.36
2004-08-26,29.22,29.49,29.18,29.3,1672200,29.3
2004-08-27,29.21,29.52,29.14,29.4,1294000,29.4
2004-08-30,29.17,29.49,28.9,28.93,1401500,28.93
2004-08-31,28.95,29.16,28.43,28.68,2469900,28.68
2004-09-01,28.56,28.84,28.17,28.71,2111100,28.71
2004-09-02,28.5,29.43,28.49,29.33,2808200,29.33
2004-09-03,29.26,29.65,29.04,29.16,2559500,29.16
2004-09-07,29.27,29.76,29.18,29.51,3251400,29.51
2004-09-08,29.48,29.69,29.3,29.33,1966300,29.33
2004-09-09,29.29,29.74,29.11,29.4,2424400,29.4
2004-09-10,29.32,30.09,28.81,30.0,3927600,30.0
2004-09-13,30.09,30.43,29.87,30.2,2816600,30.2
2004-09-14,29.21,30.13,29.2,29.7,5167900,29.7
2004-09-15,29.79,29.85,29.39,29.59,2530600,29.59
2004-09-16,29.49,29.73,29.19,29.64,2882700,29.64
2004-09-17,29.79,29.93,29.17,29.24,3253900,29.24
2004-09-20,29.21,29.41,28.9,29.13,2748300,29.13
2004-09-21,29.31,29.57,29.14,29.39,2751500,29.39
2004-09-22,29.32,29.4,28.9,29.04,1828100,29.04
2004-09-23,29.12,29.26,28.84,29.01,2011200,29.01
2004-09-24,29.07,29.69,28.88,29.37,2219000,29.37
2004-09-27,29.29,29.52,29.1,29.22,2204300,29.22
2004-09-28,29.23,29.43,29.0,29.25,1373600,29.25
2004-09-29,29.19,29.23,28.42,29.12,4817900,29.12
2004-09-30,28.96,30.09,28.8,29.82,5078200,29.82
2004-10-01,30.25,30.31,29.59,29.69,2808700,29.69
2004-10-04,29.89,30.53,29.73,30.47,4176400,30.47
2004-10-05,30.4,30.64,30.24,30.41,1648400,30.41
2004-10-06,30.39,30.47,29.98,30.24,1943500,30.24
2004-10-07,30.35,30.38,29.86,29.87,1509000,29.87
2004-10-08,29.92,29.96,29.17,29.4,2270500,29.4
2004-10-11,29.47,29.91,29.4,29.75,1024000,29.75
2004-10-12,29.6,29.68,29.06,29.53,2230000,29.53
2004-10-13,29.61,29.75,29.04,29.3,1728500,29.3
2004-10-14,29.06,29.06,28.6,28.71,2434700,28.71
2004-10-15,28.79,29.25,28.55,28.8,2513300,28.8
2004-10-18,28.82,29.39,28.47,29.38,2045100,29.38
2004-10-19,29.19,29.37,28.41,28.51,3143400,28.51
2004-11-24,31.97,32.14,31.5,32.04,2656700,32.04
2004-11-26,32.03,32.25,31.97,32.2,1004400,32.2
2004-11-29,32.1,32.46,32.0,32.34,2287700,32.34
2004-11-30,32.26,32.39,31.8,31.91,4277400,31.91
2004-12-01,32.19,32.96,32.05,32.96,4188100,32.96
2004-12-02,32.68,32.88,32.1,32.83,2879900,32.83
2004-12-03,32.67,33.05,32.63,32.81,2715100,32.81
2004-12-06,32.66,32.78,31.99,32.0,2873400,32.0
2004-12-07,31.9,32.42,31.76,31.78,2665000,31.78
2004-12-08,31.78,32.58,31.78,32.47,2514900,32.47
2004-12-09,32.21,32.99,32.12,32.77,2353400,32.77
2004-12-10,32.46,33.29,32.4,32.89,2150900,32.89
2004-12-13,32.93,32.98,32.48,32.89,2717100,32.89
2004-12-14,32.78,33.35,32.63,33.18,2132100,33.18
2004-12-15,33.05,33.85,33.01,33.3,3609300,33.3
2004-12-16,33.36,33.43,33.01,33.01,3408700,33.01
2004-12-17,33.21,33.59,32.95,32.97,3432500,32.97
2004-12-20,33.2,33.48,32.69,32.73,2697800,32.73
2004-12-21,32.91,33.22,32.68,33.11,3083400,33.11
2004-12-22,32.78,33.53,32.66,33.53,2818400,33.53
2004-12-23,33.45,33.55,33.2,33.39,1548600,33.39
2004-12-27,33.45,33.47,32.7,32.82,2079800,32.82
2004-12-28,32.94,33.36,32.66,33.35,1477000,33.35
2004-12-29,33.37,33.37,33.07,33.35,1631300,33.35
2004-12-30,33.4,33.61,33.24,33.45,1494600,33.45
2004-12-31,33.5,33.83,33.35,33.71,1555200,33.71
2005-01-03,33.56,33.88,32.7,32.85,3173100,32.85
2005-01-04,33.08,33.24,32.18,32.18,2781200,32.18
2005-01-05,32.29,32.61,32.13,32.14,2086600,32.14
2005-01-06,32.13,32.37,32.04,32.16,2501700,32.16
2005-01-07,32.2,32.92,32.13,32.4,2664600,32.4
2005-01-10,32.26,32.74,32.08,32.3,2548600,32.3
2005-01-11,32.0,32.85,32.0,32.55,2963500,32.55
2005-01-12,32.64,32.75,32.15,32.72,2987900,32.72
2005-01-13,32.54,32.7,32.25,32.37,2481700,32.37
2005-01-14,32.27,33.12,32.27,32.89,2858400,32.89
2005-01-18,32.61,33.37,32.61,33.25,2293600,33.25
2005-01-19,33.33,33.39,32.64,32.69,2319900,32.69
2005-01-20,32.73,32.8,32.11,32.18,2036600,32.18
2005-01-21,32.22,32.35,31.65,31.74,3314700,31.74
2005-01-24,31.71,32.09,31.51,31.75,2574300,31.75
2005-01-25,31.86,32.67,31.75,32.48,3494700,32.48
2005-01-26,32.42,32.68,32.03,32.39,2337400,32.39
2005-01-27,32.31,32.52,32.0,32.39,1938100,32.39
2005-01-28,32.24,32.36,31.58,32.14,2388400,32.14
2005-01-31,32.53,32.79,32.31,32.74,1528500,32.74
2005-02-01,32.72,33.01,32.52,32.73,1818500,32.73
2005-02-02,32.7,32.81,32.13,32.26,2517200,32.26
2005-02-03,32.18,32.41,31.72,31.93,3127900,31.93
2005-02-04,31.94,32.36,31.5,32.32,3153000,32.32
2005-02-07,32.23,32.31,31.9,31.97,2360700,31.97
2005-02-08,31.9,32.3,31.8,32.14,2306200,32.14
2005-02-09,32.0,32.15,31.32,31.4,1983500,31.4
2005-02-10,31.34,31.41,30.89,31.34,3653100,31.34
2005-02-11,31.3,32.38,31.13,32.18,2271000,32.18
2005-02-14,32.31,32.52,31.9,32.26,2528700,32.26
2005-02-15,32.18,32.38,32.05,32.29,2472000,32.29
2005-02-16,32.04,32.49,32.0,32.27,1921300,32.27
2005-02-17,32.1,32.41,31.67,31.71,2608200,31.71
2005-02-18,31.63,31.8,31.29,31.49,2135500,31.49
2005-02-22,31.3,31.75,31.17,31.19,2239600,31.19
2005-02-23,31.32,32.03,31.32,31.81,2831700,31.81
2005-02-24,32.13,32.41,31.24,32.3,3906600,32.3
2005-02-25,32.2,32.32,31.72,32.1,2927700,32.1
2005-02-28,32.09,32.23,31.52,31.52,3314300,31.52
2005-03-01,31.8,31.92,31.53,31.65,2796900,31.65
2006-12-15,27.75,27.95,27.4,27.41,7728600,27.41
2006-12-18,27.43,28.0,27.08,27.15,5139400,27.15
2006-12-19,27.0,27.13,26.61,27.0,5199500,27.0
2006-12-20,26.71,27.17,26.64,26.97,3198700,26.97
2006-12-21,27.01,27.28,26.81,26.85,2579700,26.85
2006-12-22,26.8,26.97,26.45,26.65,3522000,26.65
2006-12-26,26.61,27.02,26.59,26.87,2300300,26.87
2006-12-27,27.26,27.43,26.87,27.08,3048800,27.08
2006-12-28,26.95,27.2,26.91,26.97,1915200,26.97
2006-12-29,26.97,27.12,26.62,26.7,1770600,26.7
2007-01-03,26.51,27.25,26.05,26.4,5852000,26.4
2007-01-04,26.33,26.47,25.88,26.24,6052700,26.24
2007-01-05,26.27,26.5,25.77,26.02,5102900,26.02
2007-01-08,25.9,25.99,25.56,25.74,6326000,25.74
2007-01-09,25.93,26.5,25.82,26.4,6607600,26.4
2007-01-10,26.08,26.43,25.99,26.43,4756800,26.43
