Date,Open,High,Low,Close,Volume,Adj Close
2003-07-07,4.85,5.12,4.8,5.09,42712200,5.09
2003-07-08,5.08,5.18,5.04,5.11,39258400,5.11
2003-07-09,5.13,5.17,4.89,4.97,57033100,4.97
2003-07-10,4.9,5.11,4.89,5.1,46238200,5.1
2003-07-11,5.1,5.15,4.94,5.0,49428800,5.0
2003-07-14,5.08,5.15,4.97,5.04,40560800,5.04
2003-07-15,5.09,5.1,4.92,4.98,52520100,4.98
2003-07-16,5.03,5.05,4.71,4.76,62972900,4.76
2003-07-17,4.63,4.67,4.48,4.56,47721600,4.56
2003-07-18,4.63,4.7,4.42,4.59,34781700,4.59
2003-07-21,4.58,4.63,4.41,4.56,47709300,4.56
2003-07-22,4.65,4.85,4.51,4.77,68855000,4.77
2003-07-23,4.3,4.31,3.71,3.85,239388300,3.85
2003-07-24,3.91,4.09,3.82,3.95,75312500,3.95
2003-07-25,4.0,4.01,3.86,3.97,40711800,3.97
2003-07-28,4.01,4.04,3.86,3.9,45240700,3.9
2003-07-29,3.93,3.93,3.74,3.85,58929900,3.85
2003-07-30,3.88,3.88,3.68,3.74,60523800,3.74
2003-07-31,3.78,3.9,3.7,3.76,73258700,3.76
2003-08-01,3.79,3.9,3.68,3.74,41860600,3.74
2003-08-04,3.75,3.85,3.73,3.83,54033200,3.83
2003-08-05,3.83,3.87,3.64,3.68,57687500,3.68
2003-08-06,3.66,3.74,3.62,3.7,44529000,3.7
2003-08-07,3.73,3.73,3.59,3.62,36696400,3.62
2003-08-08,3.64,3.67,3.51,3.57,43841800,3.57
2003-08-11,3.57,3.65,3.52,3.58,36586200,3.58
2003-08-12,3.53,3.6,3.39,3.59,84775200,3.59
2003-08-13,3.58,3.6,3.49,3.55,38292500,3.55
2003-08-14,3.52,3.67,3.52,3.54,51118600,3.54
2003-08-15,3.53,3.6,3.51,3.53,16180500,3.53
2003-08-18,3.57,3.72,3.56,3.71,42401200,3.71
2003-08-19,3.74,3.85,3.6,3.83,57977300,3.83
2003-08-20,3.77,3.83,3.72,3.78,34149000,3.78
2003-08-21,3.83,4.0,3.8,3.89,50209500,3.89
2003-08-22,3.96,3.99,3.82,3.84,39843800,3.84
2003-08-25,3.82,3.84,3.75,3.79,19776400,3.79
2003-08-26,3.76,3.81,3.7,3.81,30815400,3.81
2003-08-27,3.77,3.83,3.74,3.81,25047200,3.81
2003-08-28,3.82,3.84,3.74,3.79,28533100,3.79
2003-08-29,3.76,3.95,3.74,3.9,31471900,3.9
2003-09-02,3.97,4.02,3.94,3.99,49869900,3.99
2003-09-03,4.04,4.22,3.97,4.08,62569300,4.08
2003-09-04,4.07,4.17,4.04,4.15,38655800,4.15
2003-09-05,4.1,4.2,4.06,4.1,34360200,4.1
2003-09-08,4.09,4.25,4.05,4.24,51982000,4.24
2003-09-09,4.19,4.22,4.08,4.11,44157300,4.11
2003-09-10,4.04,4.06,3.78,3.8,80794800,3.8
2003-09-11,3.84,3.99,3.82,3.93,45752100,3.93
2003-09-12,3.89,3.97,3.85,3.92,29485000,3.92
2003-09-15,3.93,3.95,3.84,3.86,35056700,3.86
2003-09-16,3.92,4.11,3.91,4.04,53293800,4.04
2003-09-17,4.09,4.15,4.0,4.02,41532200,4.02
2003-09-18,4.09,4.21,4.03,4.17,54976900,4.17
2003-09-19,4.18,4.23,4.06,4.1,48351800,4.1
2003-09-22,4.0,4.08,3.94,3.96,49703300,3.96
2003-09-23,4.06,4.16,4.0,4.1,62017300,4.1
2003-09-24,4.13,4.19,4.0,4.05,50091600,4.05
2003-09-25,4.08,4.1,3.9,3.93,41631900,3.93
2003-09-26,3.94,3.97,3.8,3.84,45780900,3.84
2003-09-29,3.91,3.92,3.76,3.86,41916500,3.86
2003-09-30,3.26,3.37,3.24,3.31,163605200,3.31
2003-10-01,3.33,3.34,3.14,3.25,98843000,3.25
2003-10-02,3.2,3.25,3.15,3.2,75407000,3.2
2003-10-03,3.27,3.35,3.2,3.31,55020500,3.31
