Date,Open,High,Low,Close,Volume,Adj Close
2006-11-29,13.42,13.77,13.42,13.63,253900,13.63
2006-11-30,13.54,13.85,13.54,13.81,274300,13.81
2006-12-01,13.85,13.86,13.7,13.8,135000,13.8
2006-12-04,13.85,14.0,13.7,13.83,387500,13.83
2006-12-05,13.75,13.81,13.5,13.58,765800,13.58
2006-12-06,13.41,13.51,13.1,13.38,2968800,13.38
2006-12-07,13.28,13.49,13.14,13.39,168400,13.39
2006-12-08,13.35,13.7,13.35,13.66,104400,13.66
2006-12-11,13.61,13.7,13.42,13.7,74100,13.7
2006-12-12,13.58,13.8,13.32,13.58,95400,13.58
2006-12-13,13.52,13.6,13.31,13.33,228700,13.33
2006-12-14,13.33,13.54,13.26,13.43,228400,13.43
2006-12-15,13.4,13.6,13.33,13.58,396600,13.58
2006-12-18,13.53,13.75,13.35,13.57,220100,13.57
2006-12-19,13.5,13.64,13.34,13.5,151800,13.5
2006-12-20,13.45,13.7,13.29,13.4,160900,13.4
2006-12-21,13.37,13.55,13.35,13.41,267200,13.41
2006-12-22,13.46,13.61,13.43,13.51,240100,13.51
2006-12-26,13.42,13.57,13.42,13.54,82100,13.54
2006-12-27,13.49,13.64,13.48,13.64,135900,13.64
2006-12-28,13.65,13.74,13.59,13.69,225600,13.69
2006-12-29,13.64,13.86,13.59,13.82,595300,13.82
2007-01-03,13.87,14.32,13.87,13.96,1133200,13.96
2007-01-04,14.0,14.05,13.79,13.83,435600,13.83
2007-01-05,13.88,13.88,13.32,13.35,1183900,13.35
2007-01-08,13.34,13.65,13.34,13.55,341100,13.55
2007-01-09,13.6,13.6,13.38,13.5,396400,13.5
2007-01-10,13.55,13.64,13.5,13.57,84600,13.57
2007-01-11,13.57,13.82,13.56,13.75,251200,13.75
2007-01-12,13.8,14.3,13.8,14.1,659500,14.1
2007-01-16,14.25,14.25,14.02,14.07,300800,14.07
2007-01-17,14.1,14.28,14.05,14.22,290200,14.22
2007-01-18,14.14,14.3,14.14,14.19,362800,14.19
2007-01-19,14.24,14.62,14.21,14.45,196600,14.45
2007-01-22,14.4,14.4,14.04,14.22,273200,14.22
2007-01-23,14.15,14.55,14.08,14.45,374900,14.45
2007-01-24,14.65,15.2,14.62,15.01,857500,15.01
2007-01-25,15.06,15.25,14.73,15.0,1364600,15.0
2007-01-26,15.05,15.22,14.27,14.43,3276800,14.43
2007-01-29,14.48,15.0,14.48,14.76,117400,14.76
2007-01-30,14.95,15.01,14.43,14.5,640000,14.5
2007-01-31,14.55,14.85,14.46,14.85,169900,14.85
2007-02-01,14.8,15.11,14.75,14.91,192600,14.91
2007-02-02,14.96,15.01,14.8,15.0,65200,15.0
2007-02-05,14.94,15.0,14.58,14.72,61300,14.72
2007-02-06,14.67,14.88,14.54,14.58,1639300,14.58
2007-02-07,14.63,14.75,14.5,14.75,1221500,14.75
2007-02-08,14.67,15.0,14.41,14.88,281700,14.88
2007-02-09,14.83,14.96,14.7,14.72,299900,14.72
2007-02-12,14.68,14.74,14.28,14.71,2459800,14.71
2007-02-13,14.66,14.9,14.53,14.65,68600,14.65
2007-02-14,14.67,15.04,14.6,14.84,789100,14.84
2007-02-15,14.8,14.81,14.51,14.65,43500,14.65
2007-02-16,14.7,14.7,14.5,14.7,120700,14.7
2007-02-20,14.65,14.71,14.49,14.56,141700,14.56
2007-02-21,14.66,14.66,14.48,14.52,96300,14.52
2007-02-22,14.52,14.6,14.5,14.51,102200,14.51
2007-02-23,14.8,15.24,14.72,15.15,456400,15.15
2007-02-26,15.2,15.38,15.14,15.22,219300,15.22
2007-02-27,15.04,15.15,14.63,14.73,649200,14.73
2007-02-28,14.66,14.95,14.6,14.88,367000,14.88
2007-03-01,14.75,14.86,14.49,14.75,887700,14.75
2007-03-02,14.7,14.72,14.23,14.23,297500,14.23
2007-03-05,14.27,14.45,14.25,14.32,213100,14.32
2007-03-06,14.32,14.77,14.11,14.63,246600,14.63
2007-03-07,14.75,14.9,14.19,14.51,2236200,14.51
