Date,Open,High,Low,Close,Volume,Adj Close
2003-08-29,13.74,13.87,13.51,13.7,1942100,13.7
2003-09-02,13.78,13.96,13.6,13.92,3490800,13.92
2003-09-03,14.0,14.14,13.65,13.87,3554800,13.87
2003-09-04,13.71,13.83,13.57,13.69,2502100,13.69
2003-09-05,13.69,13.75,13.35,13.47,2167900,13.47
2003-09-08,13.7,14.76,13.54,14.58,7824300,14.58
2003-09-09,14.8,16.4,14.75,16.1,13541000,16.1
2003-09-10,16.08,16.15,15.2,15.57,4992900,15.57
2003-09-11,15.65,15.85,15.47,15.84,2985700,15.84
2003-09-12,15.84,16.23,15.79,15.95,3332600,15.95
2003-09-15,16.08,16.9,15.91,16.38,7606600,16.38
2003-09-16,16.6,16.63,16.06,16.23,3338600,16.23
2003-09-17,16.35,16.49,15.64,15.84,3226800,15.84
2003-09-18,15.69,16.0,15.66,15.78,2181400,15.78
2003-09-19,15.95,16.1,15.46,15.76,2867500,15.76
2003-09-22,15.61,15.86,15.01,15.6,3589100,15.6
2003-09-23,15.75,16.25,15.63,16.09,3453400,16.09
2003-09-24,16.2,16.25,15.71,15.74,2893700,15.74
2003-09-25,15.91,16.0,15.25,15.44,2768400,15.44
2003-09-26,15.33,15.37,14.34,14.57,6624400,14.57
2003-09-29,14.89,15.41,14.36,15.34,3473200,15.34
2003-09-30,15.8,15.8,15.15,15.5,3916200,15.5
2003-10-01,15.64,16.38,15.56,15.95,7678400,15.95
2003-10-02,16.11,16.14,15.84,15.89,2271400,15.89
2003-10-03,16.14,16.15,15.7,15.82,2987000,15.82
2003-10-06,15.71,16.34,15.71,16.2,2944400,16.2
2003-10-07,16.1,16.55,16.1,16.55,3677500,16.55
2003-10-08,16.58,17.23,16.5,17.1,6447500,17.1
2003-10-09,17.35,18.25,17.3,17.99,7898600,17.99
2003-10-10,18.34,19.5,18.3,19.1,8830800,19.1
2003-10-13,19.29,19.37,18.49,19.11,4709700,19.11
2003-10-14,19.09,19.32,19.05,19.27,3476200,19.27
2003-10-15,19.26,19.64,18.81,18.83,3839000,18.83
2003-10-16,18.73,20.94,18.31,20.31,9092000,20.31
2003-10-17,20.57,20.84,19.52,19.99,4894500,19.99
2003-10-20,20.09,20.65,18.89,19.55,5215500,19.55
2003-10-21,19.26,20.0,19.11,19.64,3678000,19.64
2003-10-22,19.63,19.98,19.25,19.64,2552000,19.64
2003-10-23,19.29,19.7,19.0,19.08,2990200,19.08
2003-10-24,18.86,19.0,17.26,18.21,7897400,18.21
