Date,Count,Top,Type,Tickers,Weights
2000-06-30,29,MSFT,Recon,MSFT|INTC|CSCO|DELL|QCOM|JAVA|FULO|ORCL|YHOO|AMGN|AMZN|AMAT|JDSU|BIIB|AAPL|CMCSA|XLNX|VRTS|BMC|GIB|TLAB|LVLT|ALTR|LLTC|MXIM|GLBC|Q|ATHM|IMNX,0.204556|0.111911|0.103106|0.050258|0.045000|0.040264|0.035271|0.034618|0.028795|0.024980|0.023142|0.019486|0.019152|0.018810|0.018363|0.017918|0.017765|0.017019|0.016864|0.016551|0.016470|0.015955|0.015705|0.015566|0.015441|0.015329|0.014955|0.014116|0.012634
2000-09-18,29,MSFT,Recon,MSFT|CSCO|INTC|QCOM|JAVA|DELL|ORCL|AMZN|YHOO|AMGN|BIIB|AAPL|XLNX|LLTC|CMCSA|VRTS|BMC|GIB|JDSU|AMAT|FULO|ALTR|LVLT|MXIM|GLBC|Q|ATHM|TLAB|IMNX,0.140165|0.084774|0.081331|0.056829|0.051114|0.050124|0.041535|0.035904|0.032181|0.030520|0.029349|0.027935|0.022440|0.022295|0.021981|0.021489|0.021291|0.021052|0.020535|0.020417|0.020082|0.019814|0.019781|0.019477|0.019334|0.018859|0.017789|0.016264|0.015339
2000-12-18,29,MSFT,Recon,MSFT|CSCO|QCOM|INTC|DELL|BIIB|JAVA|ORCL|AMGN|LVLT|CMCSA|TLAB|FULO|AMZN|XLNX|COST|VRTS|BMC|IMNX|LLTC|ALTR|MXIM|GLBC|Q|PAYX|ATHM|JDSU|AMAT|GIB,0.134739|0.086730|0.083524|0.069371|0.048855|0.048855|0.045000|0.044632|0.038380|0.033790|0.029198|0.026267|0.022471|0.021480|0.020599|0.020240|0.019733|0.019552|0.019365|0.018391|0.018206|0.017900|0.017770|0.017336|0.017055|0.016361|0.016053|0.014526|0.013621
2001-03-19,27,MSFT,Recon,MSFT|INTC|QCOM|JAVA|ORCL|FULO|OSIS|VRTS|AMGN|JDSU|JNPR|IMNX|ITWO|PMCS|GMST|XLNX|CIEN|AMAT|GLBC|MXIM|AMCC|DELL|LLTC|ALTR|VRSN|NTAP|YHOO,0.107258|0.081934|0.062930|0.059911|0.053934|0.053855|0.046103|0.045000|0.041046|0.039863|0.033712|0.030986|0.029631|0.027866|0.027790|0.027744|0.025421|0.025378|0.023996|0.023690|0.022417|0.021813|0.020671|0.019936|0.018634|0.017011|0.011471
2001-06-18,27,MSFT,Recon,MSFT|INTC|JAVA|QCOM|ORCL|OSIS|VRTS|AMGN|FULO|JNPR|IMNX|ITWO|VRSN|PMCS|GMST|XLNX|AMAT|GLBC|MXIM|AMCC|DELL|LLTC|ALTR|CIEN|JDSU|YHOO|NTAP,0.136222|0.086082|0.060034|0.055817|0.053474|0.049705|0.045000|0.044343|0.037725|0.033783|0.033475|0.029694|0.028489|0.027926|0.027850|0.027803|0.027695|0.024049|0.023742|0.022467|0.021861|0.021824|0.019980|0.019450|0.017741|0.012128|0.011643
2001-09-24,27,OSIS,Recon,OSIS|MSFT|INTC|ORCL|JAVA|QCOM|AMGN|VRTS|IMNX|FULO|JNPR|VRSN|ITWO|PMCS|GMST|XLNX|LLTC|MXIM|AMAT|AMCC|GLBC|DELL|ALTR|JDSU|NTAP|YHOO|CIEN,0.112645|0.109941|0.069146|0.053405|0.050066|0.049753|0.044592|0.044309|0.039987|0.038453|0.034459|0.032570|0.030279|0.028471|0.028394|0.028346|0.025570|0.024194|0.023833|0.022890|0.022438|0.022271|0.020348|0.015453|0.010308|0.009645|0.008233
2001-12-24,27,INTC,Recon,INTC|NTAP|MSFT|JAVA|JDSU|OSIS|ORCL|VRTS|QCOM|JNPR|CIEN|ITWO|PMCS|XLNX|YHOO|MXIM|AMCC|GLBC|DELL|LLTC|ALTR|AMAT|VRSN|AMGN|IMNX|GMST|FULO,0.089103|0.081992|0.080790|0.062876|0.062311|0.061558|0.045000|0.045000|0.040949|0.035735|0.034476|0.031612|0.029828|0.029704|0.026007|0.025609|0.024323|0.023877|0.023712|0.021851|0.021815|0.020968|0.020229|0.019595|0.017751|0.013798|0.009530
2002-03-18,28,MSFT,Recon,MSFT|AMGN|QCOM|INTC|OSIS|NTAP|CSCO|ORCL|VRTS|DELL|CMCSA|MXIM|GOLD|JNPR|LLTC|IMNX|VRSN|AMAT|ITWO|YHOO|PAYX|PMCS|BIIB|GENZ|CHIR|JAVA|BMET|XLNX,0.140752|0.095122|0.091397|0.065804|0.065190|0.045000|0.041048|0.033778|0.029577|0.026256|0.024032|0.023816|0.023627|0.023090|0.022355|0.022325|0.021972|0.021896|0.020338|0.020001|0.019393|0.019147|0.018523|0.017623|0.017565|0.017468|0.017339|0.015567
2002-06-24,28,MSFT,Recon,MSFT|AMGN|QCOM|OSIS|INTC|CSCO|NTAP|ORCL|VRTS|DELL|CMCSA|AMAT|BMET|MXIM|GOLD|JNPR|INTU|YHOO|EBAY|IMNX|PAYX|BNSOF|LLTC|ITWO|PMCS|SBUX|GENZ|CHIR,0.167892|0.087052|0.076692|0.068248|0.055094|0.045000|0.043008|0.031571|0.028428|0.025222|0.024230|0.022890|0.022886|0.022865|0.022683|0.022165|0.022100|0.021383|0.020769|0.020385|0.020166|0.020065|0.019908|0.019507|0.018357|0.017719|0.016886|0.016829
2002-09-23,28,MSFT,Recon,MSFT|AMGN|QCOM|OSIS|CSCO|INTC|ORCL|NTAP|BMET|VRTS|INTU|CMCSA|DELL|IMNX|EBAY|MXIM|GOLD|JNPR|PAYX|ITWO|PMCS|SBUX|CTAS|BIIB|GENZ|CHIR|JAVA|BNSOF,0.166860|0.099210|0.093450|0.068933|0.048359|0.045000|0.033327|0.031875|0.031322|0.027025|0.026623|0.025183|0.023979|0.023200|0.022067|0.021740|0.021567|0.021075|0.018827|0.018550|0.017458|0.017299|0.017055|0.016286|0.016061|0.016007|0.015918|0.015744
