Date,Count,Top,BufferRule,Type,Tickers,Weights
2000-06-30,9,MSFT,True,Rebal,MSFT|INTC|CSCO|DELL|QCOM|JAVA|FULO|ORCL|YHOO,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2000-09-18,9,MSFT,True,Rebal,MSFT|CSCO|INTC|QCOM|JAVA|DELL|ORCL|AMZN|YHOO,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2000-12-18,9,MSFT,True,Recon,MSFT|CSCO|QCOM|INTC|DELL|BIIB|JAVA|ORCL|AMGN,0.300000|0.207445|0.199778|0.165924|0.116853|0.002500|0.002500|0.002500|0.002500
2001-03-19,9,MSFT,True,Rebal,MSFT|INTC|QCOM|JAVA|ORCL|FULO|OSIS|VRTS|AMGN,0.252930|0.193213|0.148398|0.141278|0.127185|0.126997|0.003333|0.003333|0.003333
2001-06-18,9,MSFT,True,Rebal,MSFT|INTC|JAVA|QCOM|ORCL|OSIS|VRTS|AMGN|FULO,0.300000|0.194671|0.135765|0.126228|0.120929|0.112407|0.003333|0.003333|0.003333
2001-09-24,9,OSIS,True,Rebal,OSIS|MSFT|INTC|ORCL|JAVA|QCOM|AMGN|VRTS|IMNX,0.250628|0.244612|0.153845|0.118822|0.111394|0.110698|0.003333|0.003333|0.003333
2001-12-24,9,INTC,True,Recon,INTC|NTAP|MSFT|JAVA|JDSU|OSIS|ORCL|VRTS|QCOM,0.176911|0.162793|0.160405|0.124837|0.123716|0.122221|0.119117|0.005000|0.005000
2002-03-18,9,MSFT,True,Rebal,MSFT|AMGN|QCOM|INTC|OSIS|NTAP|ORCL|CSCO|VRTS,0.257407|0.173960|0.167146|0.120343|0.119220|0.090333|0.061590|0.005000|0.005000
2002-06-24,9,MSFT,True,Rebal,MSFT|AMGN|QCOM|OSIS|INTC|NTAP|ORCL|CSCO|VRTS,0.300000|0.166121|0.146352|0.130238|0.105135|0.082051|0.060103|0.005000|0.005000
2002-09-23,9,MSFT,True,Rebal,MSFT|AMGN|QCOM|OSIS|INTC|ORCL|NTAP|CSCO|BMET,0.300000|0.182724|0.172115|0.126959|0.088379|0.061257|0.058566|0.005000|0.005000
