Date,Count,Top,Type,Tickers,Weights
2000-06-30,3,MSFT,Rebal,MSFT|INTC|CSCO,0.350000|0.338308|0.311692
2000-09-18,3,MSFT,Rebal,MSFT|CSCO|INTC,0.350000|0.331737|0.318263
2000-12-18,5,MSFT,Recon,MSFT|CSCO|QCOM|INTC|DELL,0.318367|0.204930|0.197355|0.163912|0.115436
2001-03-19,6,MSFT,Rebal,MSFT|INTC|QCOM|JAVA|ORCL|FULO,0.255485|0.195164|0.149897|0.142705|0.128469|0.128279
2001-06-18,6,MSFT,Rebal,MSFT|INTC|JAVA|QCOM|ORCL|OSIS,0.308660|0.195049|0.136029|0.126473|0.121164|0.112625
2001-09-24,6,OSIS,Rebal,OSIS|MSFT|INTC|ORCL|JAVA|QCOM,0.253160|0.247083|0.155399|0.120023|0.112520|0.111816
2001-12-24,7,INTC,Recon,INTC|NTAP|MSFT|JAVA|JDSU|OSIS|ORCL,0.178698|0.164437|0.162026|0.126098|0.124966|0.123456|0.120320
2002-03-18,7,MSFT,Rebal,MSFT|AMGN|QCOM|INTC|OSIS|NTAP|ORCL,0.260007|0.175717|0.168835|0.121558|0.120425|0.091246|0.062213
2002-06-24,7,MSFT,Rebal,MSFT|AMGN|QCOM|OSIS|INTC|NTAP|ORCL,0.317094|0.164413|0.144847|0.128899|0.104055|0.081207|0.059485
2002-09-23,7,MSFT,Rebal,MSFT|AMGN|QCOM|OSIS|INTC|ORCL|NTAP,0.308147|0.183214|0.172577|0.127300|0.088617|0.061421|0.058723
2002-12-23,7,MSFT,Recon,MSFT|AMGN|QCOM|INTC|CSCO|ORCL|BMET,0.276739|0.213517|0.162821|0.097560|0.090617|0.090617|0.068129
2003-03-24,6,INTC,Rebal,INTC|AMGN|CSCO|QCOM|ORCL|BMET,0.252554|0.191130|0.189272|0.179433|0.110604|0.077006
2003-06-23,6,INTC,Rebal,INTC|CSCO|AMGN|DELL|QCOM|ORCL,0.234908|0.196420|0.173813|0.152698|0.138024|0.104137
2003-09-22,6,INTC,Rebal,INTC|CSCO|AMGN|DELL|QCOM|ORCL,0.275856|0.198317|0.155450|0.145057|0.143554|0.081766
2003-12-22,14,INTC,Recon,INTC|CSCO|QCOM|SBAC|DELL|AMGN|ORCL|EBAY|AMAT|BNSOF|EA|BBBY|LLTC|MXIM,0.164841|0.128139|0.094267|0.088650|0.085169|0.077757|0.050486|0.048293|0.047183|0.044681|0.042928|0.042541|0.042540|0.042525
2004-03-22,14,MSFT,Rebal,MSFT|INTC|QCOM|CSCO|AMGN|DELL|FULO|EBAY|CMCSA|BBBY|IAC|ORCL|MXIM|SBUX,0.195640|0.115204|0.090569|0.090089|0.077095|0.062341|0.054127|0.053977|0.052420|0.049643|0.046742|0.042678|0.035505|0.033970
2004-06-21,14,MSFT,Rebal,MSFT|INTC|QCOM|CSCO|EBAY|AMGN|DELL|BBBY|CMCSA|IAC|FULO|ORCL|SBUX|MXIM,0.211780|0.113245|0.089184|0.086239|0.065611|0.063375|0.061447|0.056732|0.049296|0.046446|0.045009|0.039256|0.037383|0.034996
2004-09-20,14,MSFT,Rebal,MSFT|QCOM|INTC|CSCO|EBAY|AMGN|FULO|DELL|BBBY|CMCSA|ORCL|SBUX|IAC|AAPL,0.208469|0.106033|0.087215|0.073609|0.070677|0.070265|0.068286|0.060912|0.054284|0.049374|0.040595|0.039400|0.035663|0.035217
2004-12-20,12,MSFT,Recon,MSFT|QCOM|BBBY|INTC|EBAY|AMGN|CSCO|DELL|AAPL|FULO|CMCSA|SBAC,0.209911|0.109464|0.107180|0.087428|0.081768|0.070450|0.067004|0.062746|0.054017|0.052479|0.049875|0.047678
2005-03-21,12,MSFT,Rebal,MSFT|QCOM|INTC|CSCO|EBAY|FULO|DELL|AMGN|CMCSA|SBUX|AAPL|ORCL,0.190215|0.149928|0.094174|0.086523|0.079981|0.076838|0.063619|0.062088|0.056436|0.048301|0.047445|0.044452
2005-06-20,12,MSFT,Rebal,MSFT|QCOM|FULO|INTC|CSCO|EBAY|DELL|AMGN|CMCSA|SBUX|ORCL|AAPL,0.187294|0.137033|0.103836|0.102317|0.089420|0.077983|0.062361|0.061838|0.050369|0.047670|0.041252|0.038626
2005-09-19,12,MSFT,Rebal,MSFT|QCOM|INTC|AMGN|CSCO|EBAY|FULO|DELL|AAPL|CMCSA|ORCL|SBUX,0.189675|0.162456|0.091807|0.084988|0.080836|0.075433|0.070879|0.062770|0.052719|0.045625|0.043080|0.039731
2005-12-19,12,MSFT,Recon,MSFT|QCOM|FULO|INTC|EBAY|CSCO|AMGN|AAPL|DELL|SBUX|YHOO|GILD,0.180533|0.153138|0.093122|0.088498|0.083796|0.071478|0.070414|0.065745|0.060576|0.048148|0.043662|0.040891
2006-03-20,10,QCOM,Rebal,QCOM|AAPL|INTC|CSCO|AMGN|EBAY|SBUX|DELL|GILD|YHOO,0.216378|0.122647|0.113745|0.111475|0.106803|0.086452|0.072649|0.069650|0.052868|0.047333
2006-06-19,10,QCOM,Rebal,QCOM|AAPL|INTC|CSCO|AMGN|SBUX|EBAY|DELL|YHOO|GILD,0.208364|0.122086|0.118360|0.113487|0.107343|0.078861|0.075488|0.071038|0.052554|0.052418
2006-09-18,10,QCOM,Rebal,QCOM|AAPL|CSCO|INTC|AMGN|DELL|SBUX|EBAY|GILD|YHOO,0.170564|0.152559|0.126509|0.124050|0.110171|0.072537|0.071364|0.065093|0.058577|0.048576
2006-12-18,14,QCOM,Recon,QCOM|AAPL|CSCO|INTC|AMGN|CMCSA|ORCL|GEN|DELL|EBAY|SBUX|BBRY|GENZ|GILD,0.125292|0.121045|0.104900|0.090682|0.075884|0.074850|0.065539|0.056047|0.054621|0.053932|0.052778|0.045156|0.039731|0.039542
2007-03-19,14,AAPL,Rebal,AAPL|MSFT|QCOM|CSCO|GOOG|ORCL|INTC|GILD|AMGN|SBUX|CMCSA|EBAY|SHLD|GENZ,0.150981|0.131522|0.128267|0.076808|0.074076|0.060186|0.059021|0.052706|0.050832|0.049283|0.047854|0.045423|0.038777|0.034263
2007-06-18,14,AAPL,Rebal,AAPL|MSFT|QCOM|GOOG|CSCO|INTC|ORCL|GILD|CMCSA|AMGN|EBAY|SBUX|SHLD|BBRY,0.184542|0.128809|0.113030|0.075986|0.070761|0.066816|0.061735|0.053392|0.046035|0.044858|0.040358|0.039106|0.038150|0.036421
2007-09-24,14,AAPL,Rebal,AAPL|MSFT|QCOM|GOOG|CSCO|INTC|ORCL|BBRY|GILD|EBAY|AMGN|SHLD|CMCSA|SBUX,0.202354|0.113966|0.103233|0.077496|0.076690|0.066746|0.062878|0.054253|0.048794|0.045521|0.039145|0.037393|0.036024|0.035507
2007-12-24,11,AAPL,Recon,AAPL|MSFT|QCOM|GOOG|INTC|CSCO|BBRY|ORCL|GILD|EBAY|SHLD,0.265846|0.140942|0.098277|0.093680|0.069044|0.067700|0.066372|0.064357|0.056398|0.039508|0.037876
2008-03-24,11,AAPL,Rebal,AAPL|MSFT|QCOM|CSCO|GOOG|BBRY|INTC|ORCL|EBAY|GILD|CMCSA,0.243189|0.114368|0.101288|0.092408|0.089814|0.083757|0.067698|0.058014|0.051192|0.050396|0.047877
2008-06-23,11,AAPL,Rebal,AAPL|QCOM|MSFT|BBRY|GOOG|CSCO|INTC|ORCL|GILD|EBAY|CMCSA,0.270709|0.109249|0.098727|0.096107|0.095367|0.079364|0.061721|0.055319|0.049896|0.042714|0.040828
2008-09-22,11,AAPL,Rebal,AAPL|QCOM|MSFT|GOOG|CSCO|BBRY|INTC|ORCL|CMCSA|GILD|EBAY,0.245845|0.126401|0.108013|0.090285|0.089648|0.078872|0.061661|0.059376|0.051035|0.048885|0.039980
